model,category,layer,head,attention
fp16,bullet_points,0,0,0.003200531
fp16,bullet_points,0,1,0.0054611205
fp16,bullet_points,0,2,0.0023853302
fp16,bullet_points,0,3,0.010270691
fp16,bullet_points,0,4,0.0029243468
fp16,bullet_points,0,5,0.0060035707
fp16,bullet_points,0,6,0.004650116
fp16,bullet_points,0,7,0.0028152466
fp16,bullet_points,0,8,0.0019699098
fp16,bullet_points,0,9,0.0017669678
fp16,bullet_points,0,10,0.010209655
fp16,bullet_points,0,11,0.0030288696
fp16,bullet_points,0,12,0.004613495
fp16,bullet_points,0,13,0.001701355
fp16,bullet_points,0,14,0.0022407533
fp16,bullet_points,0,15,0.01005249
fp16,bullet_points,0,16,0.009020996
fp16,bullet_points,0,17,0.0021400452
fp16,bullet_points,0,18,0.0042350767
fp16,bullet_points,0,19,0.008666992
fp16,bullet_points,0,20,0.0023960113
fp16,bullet_points,0,21,0.010212707
fp16,bullet_points,0,22,0.0023204803
fp16,bullet_points,0,23,0.005181885
fp16,bullet_points,0,24,0.0051544188
fp16,bullet_points,0,25,0.0050697327
fp16,bullet_points,0,26,0.0044906614
fp16,bullet_points,0,27,0.0037559508
fp16,bullet_points,1,0,0.008033752
fp16,bullet_points,1,1,0.005696106
fp16,bullet_points,1,2,0.0024944306
fp16,bullet_points,1,3,0.008366394
fp16,bullet_points,1,4,0.0064102174
fp16,bullet_points,1,5,0.0037017823
fp16,bullet_points,1,6,0.0025741577
fp16,bullet_points,1,7,0.0011116028
fp16,bullet_points,1,8,0.004724121
fp16,bullet_points,1,9,0.0024726868
fp16,bullet_points,1,10,0.0026306151
fp16,bullet_points,1,11,0.0014213562
fp16,bullet_points,1,12,0.001474762
fp16,bullet_points,1,13,0.002652359
fp16,bullet_points,1,14,0.003364563
fp16,bullet_points,1,15,0.0035968781
fp16,bullet_points,1,16,0.0031593323
fp16,bullet_points,1,17,0.005783081
fp16,bullet_points,1,18,0.003942871
fp16,bullet_points,1,19,0.009352112
fp16,bullet_points,1,20,0.0022674561
fp16,bullet_points,1,21,0.0035255433
fp16,bullet_points,1,22,0.002519989
fp16,bullet_points,1,23,0.0030021667
fp16,bullet_points,1,24,0.003857422
fp16,bullet_points,1,25,0.012644959
fp16,bullet_points,1,26,0.0054229735
fp16,bullet_points,1,27,0.002576828
fp16,bullet_points,2,0,0.0009601593
fp16,bullet_points,2,1,0.001241684
fp16,bullet_points,2,2,0.0013877868
fp16,bullet_points,2,3,0.0013961792
fp16,bullet_points,2,4,0.0011686325
fp16,bullet_points,2,5,0.0021411895
fp16,bullet_points,2,6,0.0008267403
fp16,bullet_points,2,7,0.002817917
fp16,bullet_points,2,8,0.0030155182
fp16,bullet_points,2,9,0.0066101076
fp16,bullet_points,2,10,0.0051158904
fp16,bullet_points,2,11,0.0033901215
fp16,bullet_points,2,12,0.012110901
fp16,bullet_points,2,13,0.0021308898
fp16,bullet_points,2,14,0.0037399293
fp16,bullet_points,2,15,0.0050582886
fp16,bullet_points,2,16,0.0072219847
fp16,bullet_points,2,17,0.005380249
fp16,bullet_points,2,18,0.0020370483
fp16,bullet_points,2,19,0.0031593323
fp16,bullet_points,2,20,0.006539917
fp16,bullet_points,2,21,0.0047019958
fp16,bullet_points,2,22,0.0011449814
fp16,bullet_points,2,23,0.0020751953
fp16,bullet_points,2,24,0.00262146
fp16,bullet_points,2,25,0.0017284394
fp16,bullet_points,2,26,0.00088596344
fp16,bullet_points,2,27,0.003830719
fp16,bullet_points,3,0,0.0011796951
fp16,bullet_points,3,1,0.0011842728
fp16,bullet_points,3,2,0.0004950523
fp16,bullet_points,3,3,0.0033443451
fp16,bullet_points,3,4,0.0028465271
fp16,bullet_points,3,5,0.0018001556
fp16,bullet_points,3,6,0.0012908935
fp16,bullet_points,3,7,0.0042289733
fp16,bullet_points,3,8,0.00087776186
fp16,bullet_points,3,9,0.0023918152
fp16,bullet_points,3,10,0.004138184
fp16,bullet_points,3,11,0.0016799927
fp16,bullet_points,3,12,0.0018388748
fp16,bullet_points,3,13,0.0037475587
fp16,bullet_points,3,14,0.0024929047
fp16,bullet_points,3,15,0.0027908324
fp16,bullet_points,3,16,0.00266304
fp16,bullet_points,3,17,0.0030204772
fp16,bullet_points,3,18,0.0010412217
fp16,bullet_points,3,19,0.003364563
fp16,bullet_points,3,20,0.013948059
fp16,bullet_points,3,21,0.0018068313
fp16,bullet_points,3,22,0.002523613
fp16,bullet_points,3,23,0.0025527955
fp16,bullet_points,3,24,0.0038513183
fp16,bullet_points,3,25,0.007744598
fp16,bullet_points,3,26,0.0055358885
fp16,bullet_points,3,27,0.0057624816
