model,category,layer,head,attention
gptq2,regex_or_format,0,0,0.0058820723
gptq2,regex_or_format,0,1,0.008868408
gptq2,regex_or_format,0,2,0.008334351
gptq2,regex_or_format,0,3,0.018504333
gptq2,regex_or_format,0,4,0.0049890517
gptq2,regex_or_format,0,5,0.009669495
gptq2,regex_or_format,0,6,0.008544922
gptq2,regex_or_format,0,7,0.0062854765
gptq2,regex_or_format,0,8,0.0029633522
gptq2,regex_or_format,0,9,0.0023059845
gptq2,regex_or_format,0,10,0.019833375
gptq2,regex_or_format,0,11,0.009257126
gptq2,regex_or_format,0,12,0.005439377
gptq2,regex_or_format,0,13,0.0029188157
gptq2,regex_or_format,0,14,0.006362724
gptq2,regex_or_format,0,15,0.01795349
gptq2,regex_or_format,0,16,0.013423157
gptq2,regex_or_format,0,17,0.0030177832
gptq2,regex_or_format,0,18,0.006279373
gptq2,regex_or_format,0,19,0.023844529
gptq2,regex_or_format,0,20,0.008353615
gptq2,regex_or_format,0,21,0.018471528
gptq2,regex_or_format,0,22,0.0042284965
gptq2,regex_or_format,0,23,0.00843811
gptq2,regex_or_format,0,24,0.0070560453
gptq2,regex_or_format,0,25,0.004669571
gptq2,regex_or_format,0,26,0.0076068877
gptq2,regex_or_format,0,27,0.004983902
gptq2,regex_or_format,1,0,0.012766266
gptq2,regex_or_format,1,1,0.0134975435
gptq2,regex_or_format,1,2,0.0077466965
gptq2,regex_or_format,1,3,0.016294861
gptq2,regex_or_format,1,4,0.008167267
gptq2,regex_or_format,1,5,0.0073898314
gptq2,regex_or_format,1,6,0.005921745
gptq2,regex_or_format,1,7,0.0045779226
gptq2,regex_or_format,1,8,0.009420013
gptq2,regex_or_format,1,9,0.0060770037
gptq2,regex_or_format,1,10,0.011376953
gptq2,regex_or_format,1,11,0.007967377
gptq2,regex_or_format,1,12,0.0068943026
gptq2,regex_or_format,1,13,0.0045463564
gptq2,regex_or_format,1,14,0.007490349
gptq2,regex_or_format,1,15,0.012057495
gptq2,regex_or_format,1,16,0.011364746
gptq2,regex_or_format,1,17,0.010292053
gptq2,regex_or_format,1,18,0.007859421
gptq2,regex_or_format,1,19,0.018826295
gptq2,regex_or_format,1,20,0.005796814
gptq2,regex_or_format,1,21,0.008722687
gptq2,regex_or_format,1,22,0.014591217
gptq2,regex_or_format,1,23,0.008465576
gptq2,regex_or_format,1,24,0.00901146
gptq2,regex_or_format,1,25,0.022903442
gptq2,regex_or_format,1,26,0.02147522
gptq2,regex_or_format,1,27,0.007060051
gptq2,regex_or_format,2,0,0.004124546
gptq2,regex_or_format,2,1,0.0063850405
gptq2,regex_or_format,2,2,0.00559082
gptq2,regex_or_format,2,3,0.005582428
gptq2,regex_or_format,2,4,0.0023557662
gptq2,regex_or_format,2,5,0.008592987
gptq2,regex_or_format,2,6,0.0069677355
gptq2,regex_or_format,2,7,0.0066633224
gptq2,regex_or_format,2,8,0.0078042983
gptq2,regex_or_format,2,9,0.008535767
gptq2,regex_or_format,2,10,0.008953857
gptq2,regex_or_format,2,11,0.0072278976
gptq2,regex_or_format,2,12,0.015973281
gptq2,regex_or_format,2,13,0.0048067095
gptq2,regex_or_format,2,14,0.0052619935
gptq2,regex_or_format,2,15,0.01241951
gptq2,regex_or_format,2,16,0.016353607
gptq2,regex_or_format,2,17,0.011518478
gptq2,regex_or_format,2,18,0.004854679
gptq2,regex_or_format,2,19,0.011201477
gptq2,regex_or_format,2,20,0.013341904
gptq2,regex_or_format,2,21,0.006876373
gptq2,regex_or_format,2,22,0.0067415237
gptq2,regex_or_format,2,23,0.007083893
gptq2,regex_or_format,2,24,0.008153915
gptq2,regex_or_format,2,25,0.0071380613
gptq2,regex_or_format,2,26,0.006176567
gptq2,regex_or_format,2,27,0.009412384
gptq2,regex_or_format,3,0,0.002150631
gptq2,regex_or_format,3,1,0.008768082
gptq2,regex_or_format,3,2,0.00096507074
gptq2,regex_or_format,3,3,0.014319611
gptq2,regex_or_format,3,4,0.0096031185
gptq2,regex_or_format,3,5,0.0059734345
gptq2,regex_or_format,3,6,0.0022994042
gptq2,regex_or_format,3,7,0.006664276
gptq2,regex_or_format,3,8,0.0040976526
gptq2,regex_or_format,3,9,0.007026291
gptq2,regex_or_format,3,10,0.010092163
gptq2,regex_or_format,3,11,0.0050498964
gptq2,regex_or_format,3,12,0.0059051514
gptq2,regex_or_format,3,13,0.007433319
gptq2,regex_or_format,3,14,0.013637161
gptq2,regex_or_format,3,15,0.01762085
gptq2,regex_or_format,3,16,0.0057201385
gptq2,regex_or_format,3,17,0.009234619
gptq2,regex_or_format,3,18,0.0030268193
gptq2,regex_or_format,3,19,0.0033914566
gptq2,regex_or_format,3,20,0.031930543
gptq2,regex_or_format,3,21,0.0044524195
gptq2,regex_or_format,3,22,0.011906624
gptq2,regex_or_format,3,23,0.00632782
gptq2,regex_or_format,3,24,0.011563492
gptq2,regex_or_format,3,25,0.01341629
gptq2,regex_or_format,3,26,0.010219192
gptq2,regex_or_format,3,27,0.0117729185
gptq2,regex_or_format,4,0,0.0036652565
gptq2,regex_or_format,4,1,0.006870651
gptq2,regex_or_format,4,2,0.018488312
gptq2,regex_or_format,4,3,0.0025675774
gptq2,regex_or_format,4,4,0.025455475
gptq2,regex_or_format,4,5,0.0042760847
gptq2,regex_or_format,4,6,0.0114830015
gptq2,regex_or_format,4,7,2.7418136e-07
gptq2,regex_or_format,4,8,0.00030100346
gptq2,regex_or_format,4,9,0.00022364855
gptq2,regex_or_format,4,10,0.00017297268
gptq2,regex_or_format,4,11,0.00093259814
gptq2,regex_or_format,4,12,0.0014454841
gptq2,regex_or_format,4,13,2.2113323e-05
gptq2,regex_or_format,4,14,0.0042526247
gptq2,regex_or_format,4,15,0.0029218674
gptq2,regex_or_format,4,16,0.0030147552
gptq2,regex_or_format,4,17,0.005030823
gptq2,regex_or_format,4,18,0.0032445907
gptq2,regex_or_format,4,19,0.007955933
gptq2,regex_or_format,4,20,0.0019206047
gptq2,regex_or_format,4,21,0.0056819916
gptq2,regex_or_format,4,22,0.0037052154
gptq2,regex_or_format,4,23,0.004312134
gptq2,regex_or_format,4,24,0.0031972886
gptq2,regex_or_format,4,25,0.011287689
gptq2,regex_or_format,4,26,0.006795502
gptq2,regex_or_format,4,27,0.004387283
gptq2,regex_or_format,5,0,0.002880752
gptq2,regex_or_format,5,1,0.009208679
gptq2,regex_or_format,5,2,0.00766983
gptq2,regex_or_format,5,3,0.011238098
gptq2,regex_or_format,5,4,0.011868286
gptq2,regex_or_format,5,5,0.0011982203
gptq2,regex_or_format,5,6,0.0027252198
gptq2,regex_or_format,5,7,0.004305077
gptq2,regex_or_format,5,8,0.004597378
gptq2,regex_or_format,5,9,0.0072689056
gptq2,regex_or_format,5,10,0.007179451
gptq2,regex_or_format,5,11,0.0028029443
gptq2,regex_or_format,5,12,0.008033371
gptq2,regex_or_format,5,13,0.0034738542
gptq2,regex_or_format,5,14,0.002365303
gptq2,regex_or_format,5,15,0.0009787083
gptq2,regex_or_format,5,16,0.0040350435
gptq2,regex_or_format,5,17,0.0014537812
gptq2,regex_or_format,5,18,0.0010817051
gptq2,regex_or_format,5,19,0.0011392593
gptq2,regex_or_format,5,20,0.0009681702
gptq2,regex_or_format,5,21,0.00088552234
gptq2,regex_or_format,5,22,0.004761696
gptq2,regex_or_format,5,23,0.0065662386
gptq2,regex_or_format,5,24,0.0033863068
gptq2,regex_or_format,5,25,0.0034619332
gptq2,regex_or_format,5,26,0.0026179433
gptq2,regex_or_format,5,27,0.019667054
gptq2,regex_or_format,6,0,0.00537529
gptq2,regex_or_format,6,1,0.0042633056
gptq2,regex_or_format,6,2,0.009494019
gptq2,regex_or_format,6,3,0.0065134047
