model,category,layer,head,attention
gptq3,bullet_points,0,0,0.0029953003
gptq3,bullet_points,0,1,0.0051330565
gptq3,bullet_points,0,2,0.002507782
gptq3,bullet_points,0,3,0.010194397
gptq3,bullet_points,0,4,0.00279541
gptq3,bullet_points,0,5,0.0055763246
gptq3,bullet_points,0,6,0.0045135496
gptq3,bullet_points,0,7,0.003112793
gptq3,bullet_points,0,8,0.0019355774
gptq3,bullet_points,0,9,0.0018169403
gptq3,bullet_points,0,10,0.010202026
gptq3,bullet_points,0,11,0.0030029297
gptq3,bullet_points,0,12,0.004522705
gptq3,bullet_points,0,13,0.0016807556
gptq3,bullet_points,0,14,0.0022636415
gptq3,bullet_points,0,15,0.01005249
gptq3,bullet_points,0,16,0.009753418
gptq3,bullet_points,0,17,0.0023826598
gptq3,bullet_points,0,18,0.004386139
gptq3,bullet_points,0,19,0.009844971
gptq3,bullet_points,0,20,0.0025554658
gptq3,bullet_points,0,21,0.010542298
gptq3,bullet_points,0,22,0.0024951934
gptq3,bullet_points,0,23,0.0055900575
gptq3,bullet_points,0,24,0.0057273866
gptq3,bullet_points,0,25,0.005648804
gptq3,bullet_points,0,26,0.0049789427
gptq3,bullet_points,0,27,0.00430069
gptq3,bullet_points,1,0,0.007977295
gptq3,bullet_points,1,1,0.005112457
gptq3,bullet_points,1,2,0.0025203705
gptq3,bullet_points,1,3,0.008682251
gptq3,bullet_points,1,4,0.006300354
gptq3,bullet_points,1,5,0.0035850524
gptq3,bullet_points,1,6,0.0027130127
gptq3,bullet_points,1,7,0.0010478974
gptq3,bullet_points,1,8,0.005377197
gptq3,bullet_points,1,9,0.0024032593
gptq3,bullet_points,1,10,0.0025871277
gptq3,bullet_points,1,11,0.0013999939
gptq3,bullet_points,1,12,0.0014865876
gptq3,bullet_points,1,13,0.002493286
gptq3,bullet_points,1,14,0.0035049438
gptq3,bullet_points,1,15,0.0035079955
gptq3,bullet_points,1,16,0.0032318116
gptq3,bullet_points,1,17,0.0056015016
gptq3,bullet_points,1,18,0.0035980225
gptq3,bullet_points,1,19,0.0100540165
gptq3,bullet_points,1,20,0.0020973205
gptq3,bullet_points,1,21,0.0032032013
gptq3,bullet_points,1,22,0.0027050017
gptq3,bullet_points,1,23,0.0028259277
gptq3,bullet_points,1,24,0.004128265
gptq3,bullet_points,1,25,0.011937713
gptq3,bullet_points,1,26,0.005255127
gptq3,bullet_points,1,27,0.0025485992
gptq3,bullet_points,2,0,0.0008916855
gptq3,bullet_points,2,1,0.0012737274
gptq3,bullet_points,2,2,0.0017730712
gptq3,bullet_points,2,3,0.0014858246
gptq3,bullet_points,2,4,0.00089912413
gptq3,bullet_points,2,5,0.0023628236
gptq3,bullet_points,2,6,0.0009819984
gptq3,bullet_points,2,7,0.0025657653
gptq3,bullet_points,2,8,0.002653885
gptq3,bullet_points,2,9,0.0055130003
gptq3,bullet_points,2,10,0.0042861938
gptq3,bullet_points,2,11,0.002702713
gptq3,bullet_points,2,12,0.010844422
gptq3,bullet_points,2,13,0.0019695282
gptq3,bullet_points,2,14,0.0034812926
gptq3,bullet_points,2,15,0.0051345825
gptq3,bullet_points,2,16,0.0061851502
gptq3,bullet_points,2,17,0.005369568
gptq3,bullet_points,2,18,0.0019866943
gptq3,bullet_points,2,19,0.0032966614
gptq3,bullet_points,2,20,0.006616211
gptq3,bullet_points,2,21,0.004852295
gptq3,bullet_points,2,22,0.0011833191
gptq3,bullet_points,2,23,0.0022895813
gptq3,bullet_points,2,24,0.0025619506
gptq3,bullet_points,2,25,0.0016305924
gptq3,bullet_points,2,26,0.0009191513
gptq3,bullet_points,2,27,0.00422287
gptq3,bullet_points,3,0,0.0012203216
gptq3,bullet_points,3,1,0.0011781693
gptq3,bullet_points,3,2,0.0005315781
gptq3,bullet_points,3,3,0.0028377534
gptq3,bullet_points,3,4,0.0027206421
gptq3,bullet_points,3,5,0.0016101837
gptq3,bullet_points,3,6,0.001376152
gptq3,bullet_points,3,7,0.004598236
gptq3,bullet_points,3,8,0.0009368897
gptq3,bullet_points,3,9,0.0030101775
gptq3,bullet_points,3,10,0.005064392
gptq3,bullet_points,3,11,0.0015602112
gptq3,bullet_points,3,12,0.0020954132
gptq3,bullet_points,3,13,0.0041603087
gptq3,bullet_points,3,14,0.0031475066
gptq3,bullet_points,3,15,0.0032649995
gptq3,bullet_points,3,16,0.0026283264
gptq3,bullet_points,3,17,0.0029693604
gptq3,bullet_points,3,18,0.0011318207
gptq3,bullet_points,3,19,0.0029960633
gptq3,bullet_points,3,20,0.013946915
gptq3,bullet_points,3,21,0.0019746781
gptq3,bullet_points,3,22,0.0028606416
gptq3,bullet_points,3,23,0.0028911592
gptq3,bullet_points,3,24,0.0037780763
gptq3,bullet_points,3,25,0.008382415
gptq3,bullet_points,3,26,0.005993652
gptq3,bullet_points,3,27,0.006201935
gptq3,bullet_points,4,0,0.0009334564
gptq3,bullet_points,4,1,0.0022045136
gptq3,bullet_points,4,2,0.004846573
gptq3,bullet_points,4,3,0.00069265364
gptq3,bullet_points,4,4,0.013426209
gptq3,bullet_points,4,5,0.0029678345
gptq3,bullet_points,4,6,0.00838623
gptq3,bullet_points,4,7,3.0994414e-07
gptq3,bullet_points,4,8,0.00014176368
gptq3,bullet_points,4,9,0.00017662048
gptq3,bullet_points,4,10,0.00012426377
gptq3,bullet_points,4,11,0.00036029815
gptq3,bullet_points,4,12,0.00052404404
gptq3,bullet_points,4,13,2.2661687e-05
gptq3,bullet_points,4,14,0.00271492
gptq3,bullet_points,4,15,0.0007050514
gptq3,bullet_points,4,16,0.0021892549
gptq3,bullet_points,4,17,0.002458763
gptq3,bullet_points,4,18,0.0008472443
gptq3,bullet_points,4,19,0.0035942078
