model,category,layer,head,attention
gptq3,json_format,0,0,0.010746002
gptq3,json_format,0,1,0.014668274
gptq3,json_format,0,2,0.017192077
gptq3,json_format,0,3,0.028601075
gptq3,json_format,0,4,0.0061965943
gptq3,json_format,0,5,0.011571502
gptq3,json_format,0,6,0.021408081
gptq3,json_format,0,7,0.011368561
gptq3,json_format,0,8,0.0052787783
gptq3,json_format,0,9,0.0029137612
gptq3,json_format,0,10,0.028656006
gptq3,json_format,0,11,0.006177902
gptq3,json_format,0,12,0.0064899446
gptq3,json_format,0,13,0.004843712
gptq3,json_format,0,14,0.011102867
gptq3,json_format,0,15,0.028494263
gptq3,json_format,0,16,0.023757935
gptq3,json_format,0,17,0.00260849
gptq3,json_format,0,18,0.0062624933
gptq3,json_format,0,19,0.042903136
gptq3,json_format,0,20,0.0060394285
gptq3,json_format,0,21,0.029211426
gptq3,json_format,0,22,0.009613037
gptq3,json_format,0,23,0.015414429
gptq3,json_format,0,24,0.013285828
gptq3,json_format,0,25,0.0066504953
gptq3,json_format,0,26,0.01303711
gptq3,json_format,0,27,0.00746088
gptq3,json_format,1,0,0.014228058
gptq3,json_format,1,1,0.016197205
gptq3,json_format,1,2,0.011546707
gptq3,json_format,1,3,0.02294159
gptq3,json_format,1,4,0.010611678
gptq3,json_format,1,5,0.010058785
gptq3,json_format,1,6,0.0072690966
gptq3,json_format,1,7,0.005027962
gptq3,json_format,1,8,0.010209655
gptq3,json_format,1,9,0.0065013887
gptq3,json_format,1,10,0.011240387
gptq3,json_format,1,11,0.016030883
gptq3,json_format,1,12,0.013084412
gptq3,json_format,1,13,0.005952835
gptq3,json_format,1,14,0.0110145565
gptq3,json_format,1,15,0.022601318
gptq3,json_format,1,16,0.01914215
gptq3,json_format,1,17,0.008330154
gptq3,json_format,1,18,0.010591889
gptq3,json_format,1,19,0.02218933
gptq3,json_format,1,20,0.004537964
gptq3,json_format,1,21,0.021224212
gptq3,json_format,1,22,0.03427124
gptq3,json_format,1,23,0.016648864
gptq3,json_format,1,24,0.021238709
gptq3,json_format,1,25,0.010307121
gptq3,json_format,1,26,0.023345947
gptq3,json_format,1,27,0.013384247
gptq3,json_format,2,0,0.003312969
gptq3,json_format,2,1,0.0030809403
gptq3,json_format,2,2,0.007598114
gptq3,json_format,2,3,0.005847168
gptq3,json_format,2,4,0.003442955
gptq3,json_format,2,5,0.008752441
gptq3,json_format,2,6,0.004193497
gptq3,json_format,2,7,0.005163002
gptq3,json_format,2,8,0.017373657
gptq3,json_format,2,9,0.010363007
gptq3,json_format,2,10,0.0066421507
gptq3,json_format,2,11,0.00606575
gptq3,json_format,2,12,0.006652832
gptq3,json_format,2,13,0.007582283
gptq3,json_format,2,14,0.011747551
gptq3,json_format,2,15,0.007917213
gptq3,json_format,2,16,0.021691132
gptq3,json_format,2,17,0.012947845
gptq3,json_format,2,18,0.0038920403
gptq3,json_format,2,19,0.012874985
gptq3,json_format,2,20,0.028970337
gptq3,json_format,2,21,0.010293198
gptq3,json_format,2,22,0.0060850144
gptq3,json_format,2,23,0.010310364
gptq3,json_format,2,24,0.006393814
gptq3,json_format,2,25,0.0079574585
gptq3,json_format,2,26,0.0052352906
gptq3,json_format,2,27,0.012557983
gptq3,json_format,3,0,0.003534317
gptq3,json_format,3,1,0.01685791
gptq3,json_format,3,2,0.0026872635
gptq3,json_format,3,3,0.006920242
gptq3,json_format,3,4,0.006764603
gptq3,json_format,3,5,0.013237762
gptq3,json_format,3,6,0.0029420853
gptq3,json_format,3,7,0.009430694
gptq3,json_format,3,8,0.008581924
gptq3,json_format,3,9,0.013061142
gptq3,json_format,3,10,0.01930542
gptq3,json_format,3,11,0.0072891237
gptq3,json_format,3,12,0.00749836
gptq3,json_format,3,13,0.014596557
gptq3,json_format,3,14,0.019580077
gptq3,json_format,3,15,0.02591095
gptq3,json_format,3,16,0.018209076
gptq3,json_format,3,17,0.011218262
gptq3,json_format,3,18,0.004411793
gptq3,json_format,3,19,0.008448792
gptq3,json_format,3,20,0.0059490204
gptq3,json_format,3,21,0.005715561
gptq3,json_format,3,22,0.022460938
gptq3,json_format,3,23,0.010965729
gptq3,json_format,3,24,0.0167511
gptq3,json_format,3,25,0.015245056
gptq3,json_format,3,26,0.009215546
gptq3,json_format,3,27,0.021212768
gptq3,json_format,4,0,0.007204437
gptq3,json_format,4,1,0.011230087
gptq3,json_format,4,2,0.014016723
gptq3,json_format,4,3,0.0029554367
gptq3,json_format,4,4,0.010464096
gptq3,json_format,4,5,0.009224701
gptq3,json_format,4,6,0.008169174
gptq3,json_format,4,7,1.1658669e-05
gptq3,json_format,4,8,0.0012627601
gptq3,json_format,4,9,0.001262188
gptq3,json_format,4,10,0.0025335313
gptq3,json_format,4,11,0.0036333085
gptq3,json_format,4,12,0.0024803162
gptq3,json_format,4,13,0.0007517338
gptq3,json_format,4,14,0.00559597
gptq3,json_format,4,15,0.010142517
gptq3,json_format,4,16,0.005173874
gptq3,json_format,4,17,0.007550812
gptq3,json_format,4,18,0.0056209564
gptq3,json_format,4,19,0.013821411
gptq3,json_format,4,20,0.0026950836
gptq3,json_format,4,21,0.008197022
gptq3,json_format,4,22,0.004672098
gptq3,json_format,4,23,0.01366272
gptq3,json_format,4,24,0.0076934816
gptq3,json_format,4,25,0.00882492
gptq3,json_format,4,26,0.0020587922
gptq3,json_format,4,27,0.004166794
gptq3,json_format,5,0,0.008932233
gptq3,json_format,5,1,0.013062859
gptq3,json_format,5,2,0.007420731
gptq3,json_format,5,3,0.012078094
gptq3,json_format,5,4,0.011014176
gptq3,json_format,5,5,0.0019747734
gptq3,json_format,5,6,0.0032235025
gptq3,json_format,5,7,0.006173134
