model,category,layer,head,attention
gptq4,only_output,0,0,0.0
gptq4,only_output,0,1,0.0
gptq4,only_output,0,2,0.0
gptq4,only_output,0,3,0.0
gptq4,only_output,0,4,0.0
gptq4,only_output,0,5,0.0
gptq4,only_output,0,6,0.0
gptq4,only_output,0,7,0.0
gptq4,only_output,0,8,0.0
gptq4,only_output,0,9,0.0
gptq4,only_output,0,10,0.0
gptq4,only_output,0,11,0.0
gptq4,only_output,0,12,0.0
gptq4,only_output,0,13,0.0
gptq4,only_output,0,14,0.0
gptq4,only_output,0,15,0.0
gptq4,only_output,0,16,0.0
gptq4,only_output,0,17,0.0
gptq4,only_output,0,18,0.0
gptq4,only_output,0,19,0.0
gptq4,only_output,0,20,0.0
gptq4,only_output,0,21,0.0
gptq4,only_output,0,22,0.0
gptq4,only_output,0,23,0.0
gptq4,only_output,0,24,0.0
gptq4,only_output,0,25,0.0
gptq4,only_output,0,26,0.0
gptq4,only_output,0,27,0.0
gptq4,only_output,1,0,0.0
gptq4,only_output,1,1,0.0
gptq4,only_output,1,2,0.0
gptq4,only_output,1,3,0.0
gptq4,only_output,1,4,0.0
gptq4,only_output,1,5,0.0
gptq4,only_output,1,6,0.0
gptq4,only_output,1,7,0.0
gptq4,only_output,1,8,0.0
gptq4,only_output,1,9,0.0
gptq4,only_output,1,10,0.0
gptq4,only_output,1,11,0.0
gptq4,only_output,1,12,0.0
gptq4,only_output,1,13,0.0
gptq4,only_output,1,14,0.0
gptq4,only_output,1,15,0.0
gptq4,only_output,1,16,0.0
gptq4,only_output,1,17,0.0
gptq4,only_output,1,18,0.0
gptq4,only_output,1,19,0.0
gptq4,only_output,1,20,0.0
gptq4,only_output,1,21,0.0
gptq4,only_output,1,22,0.0
gptq4,only_output,1,23,0.0
gptq4,only_output,1,24,0.0
gptq4,only_output,1,25,0.0
gptq4,only_output,1,26,0.0
gptq4,only_output,1,27,0.0
gptq4,only_output,2,0,0.0
gptq4,only_output,2,1,0.0
gptq4,only_output,2,2,0.0
gptq4,only_output,2,3,0.0
gptq4,only_output,2,4,0.0
gptq4,only_output,2,5,0.0
gptq4,only_output,2,6,0.0
gptq4,only_output,2,7,0.0
gptq4,only_output,2,8,0.0
gptq4,only_output,2,9,0.0
gptq4,only_output,2,10,0.0
gptq4,only_output,2,11,0.0
gptq4,only_output,2,12,0.0
gptq4,only_output,2,13,0.0
gptq4,only_output,2,14,0.0
gptq4,only_output,2,15,0.0
gptq4,only_output,2,16,0.0
gptq4,only_output,2,17,0.0
gptq4,only_output,2,18,0.0
gptq4,only_output,2,19,0.0
gptq4,only_output,2,20,0.0
gptq4,only_output,2,21,0.0
gptq4,only_output,2,22,0.0
gptq4,only_output,2,23,0.0
gptq4,only_output,2,24,0.0
gptq4,only_output,2,25,0.0
gptq4,only_output,2,26,0.0
gptq4,only_output,2,27,0.0
gptq4,only_output,3,0,0.0
gptq4,only_output,3,1,0.0
gptq4,only_output,3,2,0.0
gptq4,only_output,3,3,0.0
gptq4,only_output,3,4,0.0
gptq4,only_output,3,5,0.0
gptq4,only_output,3,6,0.0
gptq4,only_output,3,7,0.0
gptq4,only_output,3,8,0.0
gptq4,only_output,3,9,0.0
gptq4,only_output,3,10,0.0
gptq4,only_output,3,11,0.0
gptq4,only_output,3,12,0.0
gptq4,only_output,3,13,0.0
gptq4,only_output,3,14,0.0
gptq4,only_output,3,15,0.0
gptq4,only_output,3,16,0.0
gptq4,only_output,3,17,0.0
gptq4,only_output,3,18,0.0
gptq4,only_output,3,19,0.0
gptq4,only_output,3,20,0.0
gptq4,only_output,3,21,0.0
