model,category,layer,head,attention
gptq8,start_with,0,0,0.010948944
gptq8,start_with,0,1,0.017207336
gptq8,start_with,0,2,0.019728089
gptq8,start_with,0,3,0.015144348
gptq8,start_with,0,4,0.009264755
gptq8,start_with,0,5,0.017361451
gptq8,start_with,0,6,0.01774292
gptq8,start_with,0,7,0.01288147
gptq8,start_with,0,8,0.014402771
gptq8,start_with,0,9,0.010569763
gptq8,start_with,0,10,0.0132369995
gptq8,start_with,0,11,0.018527221
gptq8,start_with,0,12,0.024810791
gptq8,start_with,0,13,0.019700622
gptq8,start_with,0,14,0.006281662
gptq8,start_with,0,15,0.012150574
gptq8,start_with,0,16,0.0147995
gptq8,start_with,0,17,0.012608337
gptq8,start_with,0,18,0.007292175
gptq8,start_with,0,19,0.006020355
gptq8,start_with,0,20,0.020831298
gptq8,start_with,0,21,0.01980133
gptq8,start_with,0,22,0.009554291
gptq8,start_with,0,23,0.020022582
gptq8,start_with,0,24,0.01991272
gptq8,start_with,0,25,0.015763855
gptq8,start_with,0,26,0.019932557
gptq8,start_with,0,27,0.015846252
gptq8,start_with,1,0,0.015675355
gptq8,start_with,1,1,0.009607697
gptq8,start_with,1,2,0.0029642105
gptq8,start_with,1,3,0.02093811
gptq8,start_with,1,4,0.006380081
gptq8,start_with,1,5,0.0037059784
gptq8,start_with,1,6,0.003326416
gptq8,start_with,1,7,0.002994156
gptq8,start_with,1,8,0.0137115475
gptq8,start_with,1,9,0.00392189
gptq8,start_with,1,10,0.0062858583
gptq8,start_with,1,11,0.0029731751
gptq8,start_with,1,12,0.009114837
gptq8,start_with,1,13,0.0041152956
gptq8,start_with,1,14,0.024276733
gptq8,start_with,1,15,0.014230346
gptq8,start_with,1,16,0.01159668
gptq8,start_with,1,17,0.01863861
gptq8,start_with,1,18,0.0057315826
gptq8,start_with,1,19,0.022601318
gptq8,start_with,1,20,0.014351654
gptq8,start_with,1,21,0.002391243
gptq8,start_with,1,22,0.0024435043
gptq8,start_with,1,23,0.015663147
gptq8,start_with,1,24,0.0065246583
gptq8,start_with,1,25,0.012203217
gptq8,start_with,1,26,0.00782547
gptq8,start_with,1,27,0.004417801
gptq8,start_with,2,0,0.0012124062
gptq8,start_with,2,1,0.0060279844
gptq8,start_with,2,2,0.006542206
gptq8,start_with,2,3,0.0035568238
gptq8,start_with,2,4,0.0011199951
gptq8,start_with,2,5,0.004641724
gptq8,start_with,2,6,0.0024045943
gptq8,start_with,2,7,0.020147705
