tag,layer,head,A,delta
fp16,0,0,0.005525556,0.0
fp16,0,1,0.008272566,0.0
fp16,0,2,0.0082418835,0.0
fp16,0,3,0.012782129,0.0
fp16,0,4,0.004288246,0.0
fp16,0,5,0.007796978,0.0
fp16,0,6,0.009156918,0.0
fp16,0,7,0.0059592808,0.0
fp16,0,8,0.004376477,0.0
fp16,0,9,0.0031226585,0.0
fp16,0,10,0.012952081,0.0
fp16,0,11,0.006546185,0.0
fp16,0,12,0.007286861,0.0
fp16,0,13,0.0051662344,0.0
fp16,0,14,0.0043599606,0.0
fp16,0,15,0.012284114,0.0
fp16,0,16,0.011065253,0.0
fp16,0,17,0.0035709143,0.0
fp16,0,18,0.00423507,0.0
fp16,0,19,0.014107474,0.0
fp16,0,20,0.0066184998,0.0
fp16,0,21,0.013938641,0.0
fp16,0,22,0.0047880043,0.0
fp16,0,23,0.008709151,0.0
fp16,0,24,0.00795884,0.0
fp16,0,25,0.005801505,0.0
fp16,0,26,0.007933452,0.0
fp16,0,27,0.005759017,0.0
fp16,1,0,0.008908042,0.0
fp16,1,1,0.007603349,0.0
fp16,1,2,0.0039403685,0.0
fp16,1,3,0.012194403,0.0
fp16,1,4,0.0056076543,0.0
fp16,1,5,0.00408097,0.0
fp16,1,6,0.0031209157,0.0
fp16,1,7,0.0021805929,0.0
fp16,1,8,0.0065119513,0.0
fp16,1,9,0.0031252564,0.0
fp16,1,10,0.0050361897,0.0
fp16,1,11,0.004609404,0.0
fp16,1,12,0.0050075795,0.0
fp16,1,13,0.0031375557,0.0
fp16,1,14,0.007991725,0.0
fp16,1,15,0.009131399,0.0
fp16,1,16,0.007831705,0.0
fp16,1,17,0.007596049,0.0
fp16,1,18,0.0048054005,0.0
fp16,1,19,0.012786208,0.0
fp16,1,20,0.004656923,0.0
fp16,1,21,0.006859467,0.0
fp16,1,22,0.009318122,0.0
fp16,1,23,0.00751377,0.0
fp16,1,24,0.0069916826,0.0
fp16,1,25,0.0089859795,0.0
fp16,1,26,0.00924459,0.0
fp16,1,27,0.004531466,0.0
fp16,2,0,0.0018309067,0.0
fp16,2,1,0.0026854812,0.0
fp16,2,2,0.0035135993,0.0
fp16,2,3,0.0025299992,0.0
fp16,2,4,0.0018416437,0.0
fp16,2,5,0.0037034792,0.0
fp16,2,6,0.0017616996,0.0
fp16,2,7,0.006175666,0.0
fp16,2,8,0.0062415684,0.0
fp16,2,9,0.0067619784,0.0
fp16,2,10,0.005667851,0.0
fp16,2,11,0.0062145363,0.0
fp16,2,12,0.008574979,0.0
fp16,2,13,0.00560971,0.0
fp16,2,14,0.004757026,0.0
fp16,2,15,0.0053691207,0.0
fp16,2,16,0.00934022,0.0
fp16,2,17,0.00593146,0.0
fp16,2,18,0.0026045833,0.0
fp16,2,19,0.00635693,0.0
fp16,2,20,0.012767052,0.0
fp16,2,21,0.0050290865,0.0
fp16,2,22,0.0029278789,0.0
fp16,2,23,0.005014617,0.0
fp16,2,24,0.0036274812,0.0
fp16,2,25,0.0043100817,0.0
fp16,2,26,0.0036305394,0.0
fp16,2,27,0.006713736,0.0
fp16,3,0,0.0015731351,0.0
fp16,3,1,0.004769802,0.0
fp16,3,2,0.0015213983,0.0
fp16,3,3,0.006058397,0.0
fp16,3,4,0.004751929,0.0
fp16,3,5,0.0035826585,0.0
fp16,3,6,0.0062585208,0.0
fp16,3,7,0.004983277,0.0
fp16,3,8,0.0017150023,0.0
fp16,3,9,0.004619467,0.0
fp16,3,10,0.009249062,0.0
fp16,3,11,0.0027878203,0.0
fp16,3,12,0.003114947,0.0
fp16,3,13,0.005800971,0.0
fp16,3,14,0.006695583,0.0
fp16,3,15,0.008473298,0.0
fp16,3,16,0.0049329298,0.0
fp16,3,17,0.007462403,0.0
fp16,3,18,0.002052669,0.0
fp16,3,19,0.0044310996,0.0
fp16,3,20,0.010025419,0.0
fp16,3,21,0.004839009,0.0
fp16,3,22,0.008381251,0.0
fp16,3,23,0.0039056581,0.0
fp16,3,24,0.008865883,0.0
fp16,3,25,0.011149045,0.0
