tag,layer,head,A,delta
gptq4,0,0,0.0054875733,3.7982594e-05
gptq4,0,1,0.008271711,8.549541e-07
gptq4,0,2,0.008358791,-0.00011690706
gptq4,0,3,0.01279318,-1.1050142e-05
gptq4,0,4,0.004297651,-9.404961e-06
gptq4,0,5,0.0079201,-0.00012312224
gptq4,0,6,0.009241433,-8.451473e-05
gptq4,0,7,0.00594389,1.5390571e-05
gptq4,0,8,0.004396751,-2.0273961e-05
gptq4,0,9,0.0031013489,2.1309592e-05
gptq4,0,10,0.012912093,3.9988197e-05
gptq4,0,11,0.0065657846,-1.9599684e-05
gptq4,0,12,0.007295148,-8.286908e-06
gptq4,0,13,0.005166169,6.565824e-08
gptq4,0,14,0.004581369,-0.00022140844
gptq4,0,15,0.012288587,-4.4731423e-06
gptq4,0,16,0.011127998,-6.2745064e-05
gptq4,0,17,0.0036505708,-7.9656485e-05
gptq4,0,18,0.0044482495,-0.00021317927
gptq4,0,19,0.014016448,9.102654e-05
gptq4,0,20,0.006708507,-9.0007205e-05
gptq4,0,21,0.0140672885,-0.00012864731
gptq4,0,22,0.004849434,-6.142957e-05
gptq4,0,23,0.008779131,-6.997958e-05
gptq4,0,24,0.008008299,-4.9459748e-05
gptq4,0,25,0.0058251005,-2.3595523e-05
gptq4,0,26,0.008019875,-8.642301e-05
gptq4,0,27,0.0057900776,-3.106054e-05
gptq4,1,0,0.008932114,-2.4071895e-05
gptq4,1,1,0.0076057827,-2.433546e-06
gptq4,1,2,0.004038942,-9.857351e-05
gptq4,1,3,0.012190851,3.5520643e-06
gptq4,1,4,0.005655453,-4.7798734e-05
gptq4,1,5,0.004083798,-2.827961e-06
gptq4,1,6,0.0031512687,-3.0352967e-05
gptq4,1,7,0.0022894433,-0.00010885042
gptq4,1,8,0.0064103357,0.000101615675
gptq4,1,9,0.0030969752,2.828124e-05
gptq4,1,10,0.0051394496,-0.000103259925
gptq4,1,11,0.0046653748,-5.5970624e-05
gptq4,1,12,0.0049346727,7.2906725e-05
gptq4,1,13,0.0031307156,6.8400986e-06
gptq4,1,14,0.007919542,7.218309e-05
gptq4,1,15,0.0091601405,-2.8741546e-05
gptq4,1,16,0.007896357,-6.465241e-05
gptq4,1,17,0.007577896,1.8152874e-05
gptq4,1,18,0.0047936277,1.1772849e-05
gptq4,1,19,0.012881838,-9.5630065e-05
gptq4,1,20,0.0046918476,-3.4924597e-05
gptq4,1,21,0.006526585,0.0003328817
gptq4,1,22,0.009167737,0.00015038438
gptq4,1,23,0.007514033,-2.6309863e-07
gptq4,1,24,0.006886844,0.00010483852
gptq4,1,25,0.008827538,0.00015844125
gptq4,1,26,0.0089680245,0.00027656555
gptq4,1,27,0.0044810195,5.0446484e-05
gptq4,2,0,0.0019323908,-0.000101484125
gptq4,2,1,0.0028138326,-0.00012835138
gptq4,2,2,0.003445099,6.850017e-05
gptq4,2,3,0.0025784723,-4.847301e-05
gptq4,2,4,0.0018935697,-5.1926007e-05
gptq4,2,5,0.00368138,2.209912e-05
gptq4,2,6,0.0017414257,2.0273845e-05
gptq4,2,7,0.0062845163,-0.00010885019
gptq4,2,8,0.0064035943,-0.00016202591
gptq4,2,9,0.0075544817,-0.00079250336
gptq4,2,10,0.0059303413,-0.00026249047
gptq4,2,11,0.006736361,-0.0005218247
gptq4,2,12,0.008681791,-0.00010681152
gptq4,2,13,0.0061184457,-0.0005087359
gptq4,2,14,0.005081736,-0.0003247098
gptq4,2,15,0.0057225064,-0.0003533857
gptq4,2,16,0.010005425,-0.0006652046
gptq4,2,17,0.0063618957,-0.00043043587
gptq4,2,18,0.0028994824,-0.0002948991
gptq4,2,19,0.006773587,-0.00041665696
gptq4,2,20,0.012480259,0.00028679334
gptq4,2,21,0.005040202,-1.1115335e-05
gptq4,2,22,0.0040928083,-0.0011649295
gptq4,2,23,0.004593816,0.00042080088
gptq4,2,24,0.0039070393,-0.00027955812
gptq4,2,25,0.0046858294,-0.00037574768
gptq4,2,26,0.0049390793,-0.0013085399
gptq4,2,27,0.007421296,-0.0007075602
gptq4,3,0,0.0016038171,-3.0681957e-05
gptq4,3,1,0.004879787,-0.000109985005
gptq4,3,2,0.0015036896,1.770875e-05
gptq4,3,3,0.0061296267,-7.122988e-05
gptq4,3,4,0.005273293,-0.0005213637
gptq4,3,5,0.003757674,-0.00017501554
gptq4,3,6,0.0065250066,-0.00026648585
gptq4,3,7,0.005190553,-0.00020727608
gptq4,3,8,0.0019077761,-0.00019277376
gptq4,3,9,0.0048405877,-0.00022112066
gptq4,3,10,0.009121007,0.00012805499
gptq4,3,11,0.002881642,-9.382167e-05
gptq4,3,12,0.0033992734,-0.0002843265
gptq4,3,13,0.006145938,-0.000344967
gptq4,3,14,0.007159332,-0.00046374882
gptq4,3,15,0.008870585,-0.0003972873
gptq4,3,16,0.004651004,0.00028192578
gptq4,3,17,0.0077309445,-0.00026854174
gptq4,3,18,0.0019839222,6.874674e-05
gptq4,3,19,0.0049198414,-0.0004887418
gptq4,3,20,0.009579856,0.00044556335
gptq4,3,21,0.0047686016,7.040752e-05
gptq4,3,22,0.008361488,1.9763596e-05
