model,category,layer,head,attention
fp16,first_word,0,0,0.0
fp16,first_word,0,1,0.0
fp16,first_word,0,2,0.0
fp16,first_word,0,3,0.0
fp16,first_word,0,4,0.0
fp16,first_word,0,5,0.0
fp16,first_word,0,6,0.0
fp16,first_word,0,7,0.0
fp16,first_word,0,8,0.0
fp16,first_word,0,9,0.0
fp16,first_word,0,10,0.0
fp16,first_word,0,11,0.0
fp16,first_word,0,12,0.0
fp16,first_word,0,13,0.0
fp16,first_word,0,14,0.0
fp16,first_word,0,15,0.0
fp16,first_word,0,16,0.0
fp16,first_word,0,17,0.0
fp16,first_word,0,18,0.0
fp16,first_word,0,19,0.0
fp16,first_word,0,20,0.0
fp16,first_word,0,21,0.0
fp16,first_word,0,22,0.0
fp16,first_word,0,23,0.0
fp16,first_word,0,24,0.0
fp16,first_word,0,25,0.0
fp16,first_word,0,26,0.0
fp16,first_word,0,27,0.0
fp16,first_word,1,0,0.0
fp16,first_word,1,1,0.0
fp16,first_word,1,2,0.0
fp16,first_word,1,3,0.0
fp16,first_word,1,4,0.0
fp16,first_word,1,5,0.0
fp16,first_word,1,6,0.0
fp16,first_word,1,7,0.0
fp16,first_word,1,8,0.0
fp16,first_word,1,9,0.0
fp16,first_word,1,10,0.0
fp16,first_word,1,11,0.0
fp16,first_word,1,12,0.0
fp16,first_word,1,13,0.0
fp16,first_word,1,14,0.0
fp16,first_word,1,15,0.0
fp16,first_word,1,16,0.0
fp16,first_word,1,17,0.0
fp16,first_word,1,18,0.0
fp16,first_word,1,19,0.0
fp16,first_word,1,20,0.0
fp16,first_word,1,21,0.0
fp16,first_word,1,22,0.0
fp16,first_word,1,23,0.0
fp16,first_word,1,24,0.0
fp16,first_word,1,25,0.0
fp16,first_word,1,26,0.0
fp16,first_word,1,27,0.0
fp16,first_word,2,0,0.0
fp16,first_word,2,1,0.0
fp16,first_word,2,2,0.0
fp16,first_word,2,3,0.0
fp16,first_word,2,4,0.0
fp16,first_word,2,5,0.0
fp16,first_word,2,6,0.0
fp16,first_word,2,7,0.0
fp16,first_word,2,8,0.0
fp16,first_word,2,9,0.0
fp16,first_word,2,10,0.0
fp16,first_word,2,11,0.0
fp16,first_word,2,12,0.0
fp16,first_word,2,13,0.0
fp16,first_word,2,14,0.0
fp16,first_word,2,15,0.0
fp16,first_word,2,16,0.0
fp16,first_word,2,17,0.0
fp16,first_word,2,18,0.0
fp16,first_word,2,19,0.0
fp16,first_word,2,20,0.0
fp16,first_word,2,21,0.0
fp16,first_word,2,22,0.0
fp16,first_word,2,23,0.0
fp16,first_word,2,24,0.0
fp16,first_word,2,25,0.0
fp16,first_word,2,26,0.0
fp16,first_word,2,27,0.0
fp16,first_word,3,0,0.0
fp16,first_word,3,1,0.0
fp16,first_word,3,2,0.0
fp16,first_word,3,3,0.0
fp16,first_word,3,4,0.0
fp16,first_word,3,5,0.0
fp16,first_word,3,6,0.0
fp16,first_word,3,7,0.0
fp16,first_word,3,8,0.0
fp16,first_word,3,9,0.0
fp16,first_word,3,10,0.0
fp16,first_word,3,11,0.0
fp16,first_word,3,12,0.0
fp16,first_word,3,13,0.0
fp16,first_word,3,14,0.0
fp16,first_word,3,15,0.0
fp16,first_word,3,16,0.0
fp16,first_word,3,17,0.0
fp16,first_word,3,18,0.0
fp16,first_word,3,19,0.0
fp16,first_word,3,20,0.0
fp16,first_word,3,21,0.0
fp16,first_word,3,22,0.0
fp16,first_word,3,23,0.0
fp16,first_word,3,24,0.0
fp16,first_word,3,25,0.0
fp16,first_word,3,26,0.0
fp16,first_word,3,27,0.0
fp16,first_word,4,0,0.0
fp16,first_word,4,1,0.0
fp16,first_word,4,2,0.0
fp16,first_word,4,3,0.0
fp16,first_word,4,4,0.0
fp16,first_word,4,5,0.0
fp16,first_word,4,6,0.0
fp16,first_word,4,7,0.0
fp16,first_word,4,8,0.0
fp16,first_word,4,9,0.0
fp16,first_word,4,10,0.0
fp16,first_word,4,11,0.0
fp16,first_word,4,12,0.0
fp16,first_word,4,13,0.0
fp16,first_word,4,14,0.0
fp16,first_word,4,15,0.0
fp16,first_word,4,16,0.0
fp16,first_word,4,17,0.0
fp16,first_word,4,18,0.0
fp16,first_word,4,19,0.0
fp16,first_word,4,20,0.0
fp16,first_word,4,21,0.0
fp16,first_word,4,22,0.0
fp16,first_word,4,23,0.0
fp16,first_word,4,24,0.0
fp16,first_word,4,25,0.0
fp16,first_word,4,26,0.0
fp16,first_word,4,27,0.0
fp16,first_word,5,0,0.0
fp16,first_word,5,1,0.0
fp16,first_word,5,2,0.0
