model,category,layer,head,attention
fp16,json_format,0,0,0.010492325
fp16,json_format,0,1,0.014676666
fp16,json_format,0,2,0.016557312
fp16,json_format,0,3,0.028573608
fp16,json_format,0,4,0.0062274933
fp16,json_format,0,5,0.01153183
fp16,json_format,0,6,0.021029662
fp16,json_format,0,7,0.011593628
fp16,json_format,0,8,0.0055797575
fp16,json_format,0,9,0.0029623986
fp16,json_format,0,10,0.02866211
fp16,json_format,0,11,0.006366539
fp16,json_format,0,12,0.0070465086
fp16,json_format,0,13,0.004934502
fp16,json_format,0,14,0.010800553
fp16,json_format,0,15,0.028494263
fp16,json_format,0,16,0.023071289
fp16,json_format,0,17,0.0024640083
fp16,json_format,0,18,0.006205368
fp16,json_format,0,19,0.04170532
fp16,json_format,0,20,0.0057750703
fp16,json_format,0,21,0.028744508
fp16,json_format,0,22,0.009666825
fp16,json_format,0,23,0.015145874
fp16,json_format,0,24,0.012817383
fp16,json_format,0,25,0.0062313555
fp16,json_format,0,26,0.012363434
fp16,json_format,0,27,0.0071690083
fp16,json_format,1,0,0.014397812
fp16,json_format,1,1,0.016600799
fp16,json_format,1,2,0.010811424
fp16,json_format,1,3,0.022912597
fp16,json_format,1,4,0.010424042
fp16,json_format,1,5,0.009607124
fp16,json_format,1,6,0.0068332674
fp16,json_format,1,7,0.0047721863
fp16,json_format,1,8,0.009396362
fp16,json_format,1,9,0.0061653135
fp16,json_format,1,10,0.010842895
fp16,json_format,1,11,0.014903259
fp16,json_format,1,12,0.013125611
fp16,json_format,1,13,0.0059959413
fp16,json_format,1,14,0.010714722
fp16,json_format,1,15,0.022729492
fp16,json_format,1,16,0.019497681
fp16,json_format,1,17,0.008711243
fp16,json_format,1,18,0.009988022
fp16,json_format,1,19,0.02110443
fp16,json_format,1,20,0.004705238
fp16,json_format,1,21,0.019186402
fp16,json_format,1,22,0.035968017
fp16,json_format,1,23,0.016505431
fp16,json_format,1,24,0.020762634
fp16,json_format,1,25,0.009744262
fp16,json_format,1,26,0.022109222
fp16,json_format,1,27,0.012245941
fp16,json_format,2,0,0.0045759203
fp16,json_format,2,1,0.002731514
fp16,json_format,2,2,0.007888794
fp16,json_format,2,3,0.0056396485
fp16,json_format,2,4,0.0046836855
fp16,json_format,2,5,0.009320068
fp16,json_format,2,6,0.0035644532
fp16,json_format,2,7,0.0063797
fp16,json_format,2,8,0.021270752
fp16,json_format,2,9,0.016015625
fp16,json_format,2,10,0.009015274
fp16,json_format,2,11,0.010123444
fp16,json_format,2,12,0.007365036
fp16,json_format,2,13,0.009479523
fp16,json_format,2,14,0.01381073
fp16,json_format,2,15,0.0100978855
fp16,json_format,2,16,0.027070617
fp16,json_format,2,17,0.01121788
fp16,json_format,2,18,0.0061031342
fp16,json_format,2,19,0.016041946
fp16,json_format,2,20,0.046313476
fp16,json_format,2,21,0.009584427
fp16,json_format,2,22,0.008304978
fp16,json_format,2,23,0.01556778
fp16,json_format,2,24,0.0076898574
fp16,json_format,2,25,0.011616516
fp16,json_format,2,26,0.010685158
fp16,json_format,2,27,0.015705872
fp16,json_format,3,0,0.0028812408
fp16,json_format,3,1,0.015576172
fp16,json_format,3,2,0.0017777443
fp16,json_format,3,3,0.007331848
fp16,json_format,3,4,0.006286621
fp16,json_format,3,5,0.011419678
fp16,json_format,3,6,0.002206993
fp16,json_format,3,7,0.007962227
fp16,json_format,3,8,0.00382843
fp16,json_format,3,9,0.011369323
fp16,json_format,3,10,0.016535949
fp16,json_format,3,11,0.006656456
fp16,json_format,3,12,0.007857228
fp16,json_format,3,13,0.01662979
fp16,json_format,3,14,0.017868042
fp16,json_format,3,15,0.025683593
fp16,json_format,3,16,0.014982605
fp16,json_format,3,17,0.009781266
fp16,json_format,3,18,0.005039215
fp16,json_format,3,19,0.008318329
fp16,json_format,3,20,0.004575348
fp16,json_format,3,21,0.004790115
fp16,json_format,3,22,0.025897216
fp16,json_format,3,23,0.008265686
fp16,json_format,3,24,0.016752625
fp16,json_format,3,25,0.015104676
fp16,json_format,3,26,0.011417389
fp16,json_format,3,27,0.018958282
fp16,json_format,4,0,0.005042267
fp16,json_format,4,1,0.013026428
fp16,json_format,4,2,0.007983399
fp16,json_format,4,3,0.002081108
fp16,json_format,4,4,0.008922386
fp16,json_format,4,5,0.011029815
fp16,json_format,4,6,0.0077186585
fp16,json_format,4,7,4.8160555e-06
fp16,json_format,4,8,0.00041775702
fp16,json_format,4,9,0.0008267403
fp16,json_format,4,10,0.00032844543
fp16,json_format,4,11,0.0018406868
fp16,json_format,4,12,0.0014842034
fp16,json_format,4,13,0.000100982186
fp16,json_format,4,14,0.004167652
fp16,json_format,4,15,0.008402253
fp16,json_format,4,16,0.0033885718
fp16,json_format,4,17,0.006626129
fp16,json_format,4,18,0.002708435
fp16,json_format,4,19,0.009785461
fp16,json_format,4,20,0.0018364906
fp16,json_format,4,21,0.008792877
fp16,json_format,4,22,0.0035237789
fp16,json_format,4,23,0.010565186
fp16,json_format,4,24,0.0066085816
fp16,json_format,4,25,0.008065033
fp16,json_format,4,26,0.0023117065
fp16,json_format,4,27,0.0040981295
fp16,json_format,5,0,0.0073150634
fp16,json_format,5,1,0.007938385
fp16,json_format,5,2,0.0044200895
fp16,json_format,5,3,0.006810379
fp16,json_format,5,4,0.00919795
fp16,json_format,5,5,0.0011348724
fp16,json_format,5,6,0.0028789402
fp16,json_format,5,7,0.0041300775
fp16,json_format,5,8,0.0039691925
fp16,json_format,5,9,0.010206604
fp16,json_format,5,10,0.017724609
fp16,json_format,5,11,0.0026299953
fp16,json_format,5,12,0.012477875
fp16,json_format,5,13,0.005710983
fp16,json_format,5,14,0.0008463383
fp16,json_format,5,15,0.0007334232
fp16,json_format,5,16,0.002782631
fp16,json_format,5,17,0.0014908791
fp16,json_format,5,18,0.00074818137
fp16,json_format,5,19,0.0025743246
fp16,json_format,5,20,0.0011804343
fp16,json_format,5,21,0.0021369935
fp16,json_format,5,22,0.00383749
fp16,json_format,5,23,0.01350708
fp16,json_format,5,24,0.011539459
fp16,json_format,5,25,0.002983904
fp16,json_format,5,26,0.003215599
fp16,json_format,5,27,0.0016744614
fp16,json_format,6,0,0.0056404113
fp16,json_format,6,1,0.004761505
fp16,json_format,6,2,0.008135224
fp16,json_format,6,3,0.009468841
fp16,json_format,6,4,0.004706955
fp16,json_format,6,5,0.0007735014
fp16,json_format,6,6,0.011740113
fp16,json_format,6,7,0.011286164
fp16,json_format,6,8,0.007456207
fp16,json_format,6,9,0.018198395
