model,category,layer,head,attention
fp16,regex_or_format,0,0,0.006191826
fp16,regex_or_format,0,1,0.008494949
fp16,regex_or_format,0,2,0.008475304
fp16,regex_or_format,0,3,0.01815338
fp16,regex_or_format,0,4,0.005181885
fp16,regex_or_format,0,5,0.008576965
fp16,regex_or_format,0,6,0.008569717
fp16,regex_or_format,0,7,0.0063625337
fp16,regex_or_format,0,8,0.0031433105
fp16,regex_or_format,0,9,0.0023583411
fp16,regex_or_format,0,10,0.019830322
fp16,regex_or_format,0,11,0.008555984
fp16,regex_or_format,0,12,0.0051849363
fp16,regex_or_format,0,13,0.0029494285
fp16,regex_or_format,0,14,0.005536032
fp16,regex_or_format,0,15,0.01795349
fp16,regex_or_format,0,16,0.014193726
fp16,regex_or_format,0,17,0.0030279874
fp16,regex_or_format,0,18,0.0057252883
fp16,regex_or_format,0,19,0.02213478
fp16,regex_or_format,0,20,0.00782547
fp16,regex_or_format,0,21,0.01960144
fp16,regex_or_format,0,22,0.0057458878
fp16,regex_or_format,0,23,0.009040451
fp16,regex_or_format,0,24,0.007388687
fp16,regex_or_format,0,25,0.0055423738
fp16,regex_or_format,0,26,0.008343125
fp16,regex_or_format,0,27,0.0056583406
fp16,regex_or_format,1,0,0.011290741
fp16,regex_or_format,1,1,0.010549163
fp16,regex_or_format,1,2,0.006148243
fp16,regex_or_format,1,3,0.015898133
fp16,regex_or_format,1,4,0.007009792
fp16,regex_or_format,1,5,0.0054401397
fp16,regex_or_format,1,6,0.0047317506
fp16,regex_or_format,1,7,0.003491974
fp16,regex_or_format,1,8,0.008546447
fp16,regex_or_format,1,9,0.0049596787
fp16,regex_or_format,1,10,0.0087883
fp16,regex_or_format,1,11,0.007093811
fp16,regex_or_format,1,12,0.0048801424
fp16,regex_or_format,1,13,0.004705238
fp16,regex_or_format,1,14,0.007136154
fp16,regex_or_format,1,15,0.01124649
fp16,regex_or_format,1,16,0.009848786
fp16,regex_or_format,1,17,0.009850693
fp16,regex_or_format,1,18,0.007291794
fp16,regex_or_format,1,19,0.016841888
fp16,regex_or_format,1,20,0.0048999786
fp16,regex_or_format,1,21,0.014075851
fp16,regex_or_format,1,22,0.012707901
fp16,regex_or_format,1,23,0.0075149536
fp16,regex_or_format,1,24,0.008476257
fp16,regex_or_format,1,25,0.016054535
fp16,regex_or_format,1,26,0.017086029
fp16,regex_or_format,1,27,0.0061683655
fp16,regex_or_format,2,0,0.0036496161
fp16,regex_or_format,2,1,0.005197525
fp16,regex_or_format,2,2,0.0041711805
fp16,regex_or_format,2,3,0.0034629821
fp16,regex_or_format,2,4,0.003479767
fp16,regex_or_format,2,5,0.0046024323
fp16,regex_or_format,2,6,0.0032170296
fp16,regex_or_format,2,7,0.005765152
fp16,regex_or_format,2,8,0.0078056334
fp16,regex_or_format,2,9,0.011002159
fp16,regex_or_format,2,10,0.007965851
fp16,regex_or_format,2,11,0.0069408417
fp16,regex_or_format,2,12,0.017378997
fp16,regex_or_format,2,13,0.004211426
fp16,regex_or_format,2,14,0.005384636
fp16,regex_or_format,2,15,0.00874939
fp16,regex_or_format,2,16,0.012193298
fp16,regex_or_format,2,17,0.010066604
fp16,regex_or_format,2,18,0.004809284
fp16,regex_or_format,2,19,0.01021347
fp16,regex_or_format,2,20,0.017626762
fp16,regex_or_format,2,21,0.0064441683
fp16,regex_or_format,2,22,0.0037614822
fp16,regex_or_format,2,23,0.006764984
fp16,regex_or_format,2,24,0.0046512606
fp16,regex_or_format,2,25,0.005873489
fp16,regex_or_format,2,26,0.0051120757
fp16,regex_or_format,2,27,0.008090973
fp16,regex_or_format,3,0,0.0023059845
fp16,regex_or_format,3,1,0.006930637
fp16,regex_or_format,3,2,0.000903368
fp16,regex_or_format,3,3,0.008995819
fp16,regex_or_format,3,4,0.0072788238
fp16,regex_or_format,3,5,0.0058776857
fp16,regex_or_format,3,6,0.0022448539
fp16,regex_or_format,3,7,0.0056186677
fp16,regex_or_format,3,8,0.002417183
fp16,regex_or_format,3,9,0.0056396485
fp16,regex_or_format,3,10,0.009175872
fp16,regex_or_format,3,11,0.004685974
fp16,regex_or_format,3,12,0.004756832
fp16,regex_or_format,3,13,0.008210754
fp16,regex_or_format,3,14,0.012128067
fp16,regex_or_format,3,15,0.0158947
fp16,regex_or_format,3,16,0.0069757462
fp16,regex_or_format,3,17,0.0067016603
fp16,regex_or_format,3,18,0.0025920868
fp16,regex_or_format,3,19,0.0052406313
fp16,regex_or_format,3,20,0.024134826
fp16,regex_or_format,3,21,0.0051668165
fp16,regex_or_format,3,22,0.01039505
fp16,regex_or_format,3,23,0.007549286
fp16,regex_or_format,3,24,0.012518311
fp16,regex_or_format,3,25,0.01611023
fp16,regex_or_format,3,26,0.009694862
fp16,regex_or_format,3,27,0.013621521
fp16,regex_or_format,4,0,0.0028235435
fp16,regex_or_format,4,1,0.0070503233
fp16,regex_or_format,4,2,0.0190094
fp16,regex_or_format,4,3,0.0017167091
fp16,regex_or_format,4,4,0.027662277
fp16,regex_or_format,4,5,0.0057239532
fp16,regex_or_format,4,6,0.016337395
fp16,regex_or_format,4,7,5.1736833e-06
fp16,regex_or_format,4,8,0.0003563881
fp16,regex_or_format,4,9,0.0007811546
fp16,regex_or_format,4,10,0.0004520893
fp16,regex_or_format,4,11,0.0015896797
fp16,regex_or_format,4,12,0.0019887923
fp16,regex_or_format,4,13,0.00011583567
fp16,regex_or_format,4,14,0.0035282136
fp16,regex_or_format,4,15,0.0023875237
fp16,regex_or_format,4,16,0.0026644706
fp16,regex_or_format,4,17,0.0047103884
fp16,regex_or_format,4,18,0.0017589569
fp16,regex_or_format,4,19,0.006259537
fp16,regex_or_format,4,20,0.0015911579
fp16,regex_or_format,4,21,0.008654785
fp16,regex_or_format,4,22,0.00209198
fp16,regex_or_format,4,23,0.0024740219
fp16,regex_or_format,4,24,0.0019306183
fp16,regex_or_format,4,25,0.00904808
fp16,regex_or_format,4,26,0.0068850517
fp16,regex_or_format,4,27,0.0045732497
fp16,regex_or_format,5,0,0.007752514
fp16,regex_or_format,5,1,0.0077171326
fp16,regex_or_format,5,2,0.010551453
fp16,regex_or_format,5,3,0.0073904037
fp16,regex_or_format,5,4,0.007076931
fp16,regex_or_format,5,5,0.003679371
fp16,regex_or_format,5,6,0.0024404645
fp16,regex_or_format,5,7,0.003088665
fp16,regex_or_format,5,8,0.0033776283
fp16,regex_or_format,5,9,0.005924606
fp16,regex_or_format,5,10,0.006272316
fp16,regex_or_format,5,11,0.0011002064
fp16,regex_or_format,5,12,0.008008575
fp16,regex_or_format,5,13,0.0039878846
fp16,regex_or_format,5,14,0.0032586097
fp16,regex_or_format,5,15,0.0008416176
fp16,regex_or_format,5,16,0.0033432483
fp16,regex_or_format,5,17,0.0014077664
fp16,regex_or_format,5,18,0.0003286004
fp16,regex_or_format,5,19,0.001571846
fp16,regex_or_format,5,20,0.0005931854
fp16,regex_or_format,5,21,0.0011151076
fp16,regex_or_format,5,22,0.0038736344
fp16,regex_or_format,5,23,0.0052181245
fp16,regex_or_format,5,24,0.0033417703
fp16,regex_or_format,5,25,0.0018592834
fp16,regex_or_format,5,26,0.0018594742
fp16,regex_or_format,5,27,0.024768448
fp16,regex_or_format,6,0,0.0031250953
fp16,regex_or_format,6,1,0.0026067733
fp16,regex_or_format,6,2,0.0049436567
fp16,regex_or_format,6,3,0.00505991
fp16,regex_or_format,6,4,0.0016731262
fp16,regex_or_format,6,5,0.0006973624
fp16,regex_or_format,6,6,0.008514213
fp16,regex_or_format,6,7,0.011759186
fp16,regex_or_format,6,8,0.015789986
fp16,regex_or_format,6,9,0.013311004
fp16,regex_or_format,6,10,0.0099281315
fp16,regex_or_format,6,11,0.0045206547
fp16,regex_or_format,6,12,0.0022507668
fp16,regex_or_format,6,13,0.0055062296
fp16,regex_or_format,6,14,0.004866409
fp16,regex_or_format,6,15,0.010990906
fp16,regex_or_format,6,16,0.009922599
fp16,regex_or_format,6,17,0.004542923
fp16,regex_or_format,6,18,0.0017151833
fp16,regex_or_format,6,19,0.0024128915
fp16,regex_or_format,6,20,0.003603363
fp16,regex_or_format,6,21,0.0055179596
fp16,regex_or_format,6,22,0.009135055
fp16,regex_or_format,6,23,0.0085723875
fp16,regex_or_format,6,24,0.003971291
fp16,regex_or_format,6,25,0.0023048401
fp16,regex_or_format,6,26,0.0020578385
fp16,regex_or_format,6,27,0.005364227
fp16,regex_or_format,7,0,0.0064926147
fp16,regex_or_format,7,1,0.005519104
fp16,regex_or_format,7,2,0.011571502
fp16,regex_or_format,7,3,0.005059433
fp16,regex_or_format,7,4,0.00307312
fp16,regex_or_format,7,5,0.0057739257
fp16,regex_or_format,7,6,0.0031797409
fp16,regex_or_format,7,7,0.009420013
fp16,regex_or_format,7,8,0.005962086
fp16,regex_or_format,7,9,0.012092972
fp16,regex_or_format,7,10,0.0041296007
fp16,regex_or_format,7,11,0.00900917
fp16,regex_or_format,7,12,0.0047489167
fp16,regex_or_format,7,13,0.009981346
fp16,regex_or_format,7,14,0.00656662
fp16,regex_or_format,7,15,0.0027065277
fp16,regex_or_format,7,16,0.008468246
fp16,regex_or_format,7,17,0.006087494
fp16,regex_or_format,7,18,0.0075233458
fp16,regex_or_format,7,19,0.0015535832
fp16,regex_or_format,7,20,0.008724975
fp16,regex_or_format,7,21,0.009440613
fp16,regex_or_format,7,22,0.018403817
fp16,regex_or_format,7,23,0.006272793
fp16,regex_or_format,7,24,0.006494713
fp16,regex_or_format,7,25,0.0034385682
fp16,regex_or_format,7,26,0.008881378
fp16,regex_or_format,7,27,0.0076911924
fp16,regex_or_format,8,0,0.012207794
fp16,regex_or_format,8,1,0.009395599
fp16,regex_or_format,8,2,0.014913559
fp16,regex_or_format,8,3,0.0069757462
fp16,regex_or_format,8,4,0.011989022
fp16,regex_or_format,8,5,0.008420944
fp16,regex_or_format,8,6,0.008496856
fp16,regex_or_format,8,7,0.0076423646
fp16,regex_or_format,8,8,0.0030448914
fp16,regex_or_format,8,9,0.012385177
fp16,regex_or_format,8,10,0.014460755
fp16,regex_or_format,8,11,0.010935592
fp16,regex_or_format,8,12,0.011939621
fp16,regex_or_format,8,13,0.015881538
fp16,regex_or_format,8,14,0.0075481413
fp16,regex_or_format,8,15,0.0076351166
fp16,regex_or_format,8,16,0.0012373924
fp16,regex_or_format,8,17,0.0037975311
fp16,regex_or_format,8,18,0.005125046
fp16,regex_or_format,8,19,0.0022965432
fp16,regex_or_format,8,20,0.002475643
fp16,regex_or_format,8,21,0.0030935288
fp16,regex_or_format,8,22,0.0022513033
fp16,regex_or_format,8,23,4.7600268e-05
fp16,regex_or_format,8,24,0.003989124
fp16,regex_or_format,8,25,0.0016723633
fp16,regex_or_format,8,26,0.0028931857
fp16,regex_or_format,8,27,0.0005782962
fp16,regex_or_format,9,0,0.015344238
fp16,regex_or_format,9,1,0.013015175
fp16,regex_or_format,9,2,0.007830882
fp16,regex_or_format,9,3,0.0023899556
fp16,regex_or_format,9,4,0.01129775
fp16,regex_or_format,9,5,0.013437653
fp16,regex_or_format,9,6,0.008734894
fp16,regex_or_format,9,7,0.0062419893
fp16,regex_or_format,9,8,0.0014062762
fp16,regex_or_format,9,9,0.002458763
fp16,regex_or_format,9,10,0.002616167
fp16,regex_or_format,9,11,0.004306793
fp16,regex_or_format,9,12,0.008485031
fp16,regex_or_format,9,13,0.008761978
fp16,regex_or_format,9,14,0.005357933
fp16,regex_or_format,9,15,0.009379769
fp16,regex_or_format,9,16,0.014474487
fp16,regex_or_format,9,17,0.0055234907
fp16,regex_or_format,9,18,0.005168915
fp16,regex_or_format,9,19,0.0043087006
fp16,regex_or_format,9,20,0.0093219755
fp16,regex_or_format,9,21,0.013311195
fp16,regex_or_format,9,22,0.008949757
fp16,regex_or_format,9,23,0.016103363
fp16,regex_or_format,9,24,0.0071781157
fp16,regex_or_format,9,25,0.008353996
fp16,regex_or_format,9,26,0.002152109
fp16,regex_or_format,9,27,0.012607574
fp16,regex_or_format,10,0,0.0033251285
fp16,regex_or_format,10,1,0.009417725
fp16,regex_or_format,10,2,0.016034031
fp16,regex_or_format,10,3,0.0015611887
fp16,regex_or_format,10,4,0.0035743713
fp16,regex_or_format,10,5,0.004228783
fp16,regex_or_format,10,6,0.015071106
fp16,regex_or_format,10,7,0.0044674873
fp16,regex_or_format,10,8,0.009311676
fp16,regex_or_format,10,9,0.008621979
fp16,regex_or_format,10,10,0.0043462752
fp16,regex_or_format,10,11,0.013478088
fp16,regex_or_format,10,12,0.0045051575
fp16,regex_or_format,10,13,0.012866211
fp16,regex_or_format,10,14,0.008747101
fp16,regex_or_format,10,15,0.0064998628
fp16,regex_or_format,10,16,0.0048172
fp16,regex_or_format,10,17,0.01243248
fp16,regex_or_format,10,18,0.028556442
fp16,regex_or_format,10,19,0.013388062
fp16,regex_or_format,10,20,0.008939075
fp16,regex_or_format,10,21,0.0016697884
fp16,regex_or_format,10,22,0.010492325
fp16,regex_or_format,10,23,0.0042715073
fp16,regex_or_format,10,24,0.019580077
fp16,regex_or_format,10,25,0.010611725
fp16,regex_or_format,10,26,0.0064342497
fp16,regex_or_format,10,27,0.0026762008
fp16,regex_or_format,11,0,0.013026428
fp16,regex_or_format,11,1,0.013218689
fp16,regex_or_format,11,2,0.0037020682
fp16,regex_or_format,11,3,0.0052942275
fp16,regex_or_format,11,4,0.006390476
fp16,regex_or_format,11,5,0.013217544
