model,category,layer,head,attention
fp16,start_with,0,0,0.0109268185
fp16,start_with,0,1,0.0171463
fp16,start_with,0,2,0.01971283
fp16,start_with,0,3,0.014506531
fp16,start_with,0,4,0.009246444
fp16,start_with,0,5,0.017353822
fp16,start_with,0,6,0.017721558
fp16,start_with,0,7,0.012849426
fp16,start_with,0,8,0.014399719
fp16,start_with,0,9,0.010553742
fp16,start_with,0,10,0.013261413
fp16,start_with,0,11,0.018525695
fp16,start_with,0,12,0.024783324
fp16,start_with,0,13,0.019702148
fp16,start_with,0,14,0.006222916
fp16,start_with,0,15,0.012150574
fp16,start_with,0,16,0.014758301
fp16,start_with,0,17,0.012707519
fp16,start_with,0,18,0.007222748
fp16,start_with,0,19,0.0060112
fp16,start_with,0,20,0.020742798
fp16,start_with,0,21,0.019798279
fp16,start_with,0,22,0.009565735
fp16,start_with,0,23,0.01995697
fp16,start_with,0,24,0.019863892
fp16,start_with,0,25,0.015785217
fp16,start_with,0,26,0.019969177
fp16,start_with,0,27,0.01581726
fp16,start_with,1,0,0.015698243
fp16,start_with,1,1,0.009631348
fp16,start_with,1,2,0.0029777526
fp16,start_with,1,3,0.020941162
fp16,start_with,1,4,0.0063777925
fp16,start_with,1,5,0.0037395477
fp16,start_with,1,6,0.0033109665
fp16,start_with,1,7,0.002994728
fp16,start_with,1,8,0.013714599
fp16,start_with,1,9,0.003920746
fp16,start_with,1,10,0.0063323975
fp16,start_with,1,11,0.0029731751
fp16,start_with,1,12,0.009087372
fp16,start_with,1,13,0.0041149138
fp16,start_with,1,14,0.024273682
fp16,start_with,1,15,0.014237976
fp16,start_with,1,16,0.011581421
fp16,start_with,1,17,0.01866455
fp16,start_with,1,18,0.0057552336
fp16,start_with,1,19,0.022579957
fp16,start_with,1,20,0.014337158
fp16,start_with,1,21,0.0023631095
fp16,start_with,1,22,0.0024471283
fp16,start_with,1,23,0.015653992
fp16,start_with,1,24,0.006497192
fp16,start_with,1,25,0.012148285
fp16,start_with,1,26,0.007830811
fp16,start_with,1,27,0.004405594
fp16,start_with,2,0,0.00121212
fp16,start_with,2,1,0.0060340883
fp16,start_with,2,2,0.006565094
fp16,start_with,2,3,0.0035583496
fp16,start_with,2,4,0.0011198043
fp16,start_with,2,5,0.0046550753
fp16,start_with,2,6,0.002415657
fp16,start_with,2,7,0.020193482
fp16,start_with,2,8,0.0030967712
fp16,start_with,2,9,0.0047431947
fp16,start_with,2,10,0.009588623
fp16,start_with,2,11,0.014694214
fp16,start_with,2,12,0.010115052
fp16,start_with,2,13,0.01582489
fp16,start_with,2,14,0.0036491393
fp16,start_with,2,15,0.006007767
fp16,start_with,2,16,0.0056030275
fp16,start_with,2,17,0.0056625367
fp16,start_with,2,18,0.0017535209
fp16,start_with,2,19,0.0058395388
fp16,start_with,2,20,0.0018063545
fp16,start_with,2,21,0.0065856935
fp16,start_with,2,22,0.0030366897
fp16,start_with,2,23,0.004180908
fp16,start_with,2,24,0.0051742555
fp16,start_with,2,25,0.0052093505
fp16,start_with,2,26,0.0038360595
fp16,start_with,2,27,0.00994339
fp16,start_with,3,0,0.0022083283
fp16,start_with,3,1,0.0037448884
fp16,start_with,3,2,0.00546875
fp16,start_with,3,3,0.0148269655
fp16,start_with,3,4,0.010510254
fp16,start_with,3,5,0.0013082505
fp16,start_with,3,6,0.030227661
fp16,start_with,3,7,0.010191346
fp16,start_with,3,8,0.002412033
fp16,start_with,3,9,0.0067779543
fp16,start_with,3,10,0.021966552
fp16,start_with,3,11,0.0028348924
fp16,start_with,3,12,0.002480793
fp16,start_with,3,13,0.0042144777
fp16,start_with,3,14,0.005593872
fp16,start_with,3,15,0.004249954
fp16,start_with,3,16,0.003412056
fp16,start_with,3,17,0.02286377
fp16,start_with,3,18,0.0027946471
fp16,start_with,3,19,0.0076774596
fp16,start_with,3,20,0.014123535
fp16,start_with,3,21,0.015800476
fp16,start_with,3,22,0.008885955
fp16,start_with,3,23,0.003358078
fp16,start_with,3,24,0.017066956
fp16,start_with,3,25,0.024401855
fp16,start_with,3,26,0.010781097
fp16,start_with,3,27,0.018963624
fp16,start_with,4,0,0.00064013
fp16,start_with,4,1,0.003554058
fp16,start_with,4,2,0.009170532
fp16,start_with,4,3,0.002630806
fp16,start_with,4,4,0.008694458
fp16,start_with,4,5,0.006962967
fp16,start_with,4,6,0.0016609192
fp16,start_with,4,7,4.172325e-07
fp16,start_with,4,8,0.00047845842
fp16,start_with,4,9,0.0007937431
fp16,start_with,4,10,0.00019128322
fp16,start_with,4,11,0.0009813309
fp16,start_with,4,12,0.001067543
fp16,start_with,4,13,0.00010387898
fp16,start_with,4,14,0.011357879
fp16,start_with,4,15,0.00094919204
fp16,start_with,4,16,0.0021518706
fp16,start_with,4,17,0.004594803
fp16,start_with,4,18,0.0062164306
fp16,start_with,4,19,0.008657074
fp16,start_with,4,20,0.002079773
fp16,start_with,4,21,0.010212707
fp16,start_with,4,22,0.0044372557
fp16,start_with,4,23,0.0014205932
fp16,start_with,4,24,0.0035779
fp16,start_with,4,25,0.0023815155
fp16,start_with,4,26,0.0021003722
fp16,start_with,4,27,0.0031925202
fp16,start_with,5,0,0.0013294459
fp16,start_with,5,1,0.0036857605
fp16,start_with,5,2,0.011094665
fp16,start_with,5,3,0.012658691
fp16,start_with,5,4,0.0030967712
fp16,start_with,5,5,0.0004746914
fp16,start_with,5,6,0.00054917333
fp16,start_with,5,7,0.0019351959
fp16,start_with,5,8,0.0010601997
fp16,start_with,5,9,0.0015342713
fp16,start_with,5,10,0.00071229937
fp16,start_with,5,11,0.0006374836
fp16,start_with,5,12,0.0047626495
fp16,start_with,5,13,0.0042181015
fp16,start_with,5,14,0.009867859
fp16,start_with,5,15,0.00059816835
fp16,start_with,5,16,0.0022096634
fp16,start_with,5,17,0.0010147572
fp16,start_with,5,18,0.0003166437
fp16,start_with,5,19,0.00036803485
