model,category,layer,head,attention
fp16,word_limit,0,0,0.0012367249
fp16,word_limit,0,1,0.0022018433
fp16,word_limit,0,2,0.00067214965
fp16,word_limit,0,3,0.002632141
fp16,word_limit,0,4,0.0012916565
fp16,word_limit,0,5,0.0017562866
fp16,word_limit,0,6,0.0011390686
fp16,word_limit,0,7,0.00094299315
fp16,word_limit,0,8,0.00029087067
fp16,word_limit,0,9,0.0004699707
fp16,word_limit,0,10,0.0031585693
fp16,word_limit,0,11,0.0014907836
fp16,word_limit,0,12,0.0006355286
fp16,word_limit,0,13,0.0006767273
fp16,word_limit,0,14,0.00048751832
fp16,word_limit,0,15,0.0025970459
fp16,word_limit,0,16,0.0031341552
fp16,word_limit,0,17,0.00037174224
fp16,word_limit,0,18,0.0011749268
fp16,word_limit,0,19,0.0033050538
fp16,word_limit,0,20,0.0016479492
fp16,word_limit,0,21,0.0024871826
fp16,word_limit,0,22,0.00047149658
fp16,word_limit,0,23,0.0011878967
fp16,word_limit,0,24,0.0009368897
fp16,word_limit,0,25,0.00102005
fp16,word_limit,0,26,0.0008476257
fp16,word_limit,0,27,0.0010017395
fp16,word_limit,1,0,0.0022460937
fp16,word_limit,1,1,0.0016220093
fp16,word_limit,1,2,0.00042228698
fp16,word_limit,1,3,0.002609253
fp16,word_limit,1,4,0.0023025512
fp16,word_limit,1,5,0.0011810303
fp16,word_limit,1,6,0.0006511688
fp16,word_limit,1,7,0.00027694702
fp16,word_limit,1,8,0.0013877868
fp16,word_limit,1,9,0.0006080627
fp16,word_limit,1,10,0.0006156921
fp16,word_limit,1,11,0.0003429413
fp16,word_limit,1,12,0.00047607423
fp16,word_limit,1,13,0.0007293701
fp16,word_limit,1,14,0.0008628845
fp16,word_limit,1,15,0.0011512756
fp16,word_limit,1,16,0.0013366699
fp16,word_limit,1,17,0.0010475159
fp16,word_limit,1,18,0.0008934021
fp16,word_limit,1,19,0.0042816163
fp16,word_limit,1,20,0.0008003235
fp16,word_limit,1,21,0.0006340027
fp16,word_limit,1,22,0.0004020691
fp16,word_limit,1,23,0.0009033203
fp16,word_limit,1,24,0.00095825194
fp16,word_limit,1,25,0.0015266419
fp16,word_limit,1,26,0.0011695862
fp16,word_limit,1,27,0.0008857727
fp16,word_limit,2,0,0.00022144317
fp16,word_limit,2,1,0.0003709793
fp16,word_limit,2,2,0.0003660202
fp16,word_limit,2,3,0.00061683654
fp16,word_limit,2,4,0.00022964478
fp16,word_limit,2,5,0.0007614136
fp16,word_limit,2,6,0.00019397735
fp16,word_limit,2,7,0.0006626129
fp16,word_limit,2,8,0.0010124206
fp16,word_limit,2,9,0.00084838865
fp16,word_limit,2,10,0.0011878967
fp16,word_limit,2,11,0.00089569093
fp16,word_limit,2,12,0.0027648925
fp16,word_limit,2,13,0.0008895874
fp16,word_limit,2,14,0.0010063171
fp16,word_limit,2,15,0.0012275695
fp16,word_limit,2,16,0.0020843507
fp16,word_limit,2,17,0.0020751953
