model,category,layer,head,attention
gptq2,json_format,0,0,0.010231781
gptq2,json_format,0,1,0.015826415
gptq2,json_format,0,2,0.016436767
gptq2,json_format,0,3,0.028863525
gptq2,json_format,0,4,0.006029892
gptq2,json_format,0,5,0.012650299
gptq2,json_format,0,6,0.019467164
gptq2,json_format,0,7,0.01155777
gptq2,json_format,0,8,0.0055065155
gptq2,json_format,0,9,0.0029031753
gptq2,json_format,0,10,0.0287323
gptq2,json_format,0,11,0.0068000793
gptq2,json_format,0,12,0.007485199
gptq2,json_format,0,13,0.005222702
gptq2,json_format,0,14,0.012377548
gptq2,json_format,0,15,0.028494263
gptq2,json_format,0,16,0.02073059
gptq2,json_format,0,17,0.0022243499
gptq2,json_format,0,18,0.006585884
gptq2,json_format,0,19,0.035781097
gptq2,json_format,0,20,0.0056236265
gptq2,json_format,0,21,0.028152466
gptq2,json_format,0,22,0.00755806
gptq2,json_format,0,23,0.013787841
gptq2,json_format,0,24,0.011914825
gptq2,json_format,0,25,0.00550251
gptq2,json_format,0,26,0.011589813
gptq2,json_format,0,27,0.0061051846
gptq2,json_format,1,0,0.015031433
gptq2,json_format,1,1,0.01576233
gptq2,json_format,1,2,0.012055779
gptq2,json_format,1,3,0.023834229
gptq2,json_format,1,4,0.011051083
gptq2,json_format,1,5,0.0113454815
gptq2,json_format,1,6,0.008597565
gptq2,json_format,1,7,0.006040573
gptq2,json_format,1,8,0.010460663
gptq2,json_format,1,9,0.00857811
gptq2,json_format,1,10,0.015666198
gptq2,json_format,1,11,0.020977784
gptq2,json_format,1,12,0.018807983
gptq2,json_format,1,13,0.0067749023
gptq2,json_format,1,14,0.012557983
gptq2,json_format,1,15,0.024215698
gptq2,json_format,1,16,0.02134552
gptq2,json_format,1,17,0.0104171755
gptq2,json_format,1,18,0.0109529495
gptq2,json_format,1,19,0.023434449
gptq2,json_format,1,20,0.0062633515
gptq2,json_format,1,21,0.016383743
gptq2,json_format,1,22,0.032699585
gptq2,json_format,1,23,0.018563842
gptq2,json_format,1,24,0.019970704
gptq2,json_format,1,25,0.012160492
gptq2,json_format,1,26,0.022790527
gptq2,json_format,1,27,0.012184143
gptq2,json_format,2,0,0.00501194
gptq2,json_format,2,1,0.0041942596
gptq2,json_format,2,2,0.015855407
gptq2,json_format,2,3,0.007662201
gptq2,json_format,2,4,0.00242424
gptq2,json_format,2,5,0.01865387
gptq2,json_format,2,6,0.017292786
gptq2,json_format,2,7,0.006787109
gptq2,json_format,2,8,0.019979859
gptq2,json_format,2,9,0.011977768
gptq2,json_format,2,10,0.010719299
gptq2,json_format,2,11,0.009209824
gptq2,json_format,2,12,0.010945129
gptq2,json_format,2,13,0.0084095
gptq2,json_format,2,14,0.010910988
gptq2,json_format,2,15,0.011326599
gptq2,json_format,2,16,0.025598908
gptq2,json_format,2,17,0.014594269
gptq2,json_format,2,18,0.0054656984
gptq2,json_format,2,19,0.016521072
gptq2,json_format,2,20,0.029216003
gptq2,json_format,2,21,0.01122818
gptq2,json_format,2,22,0.0080833435
gptq2,json_format,2,23,0.018828582
gptq2,json_format,2,24,0.011021232
gptq2,json_format,2,25,0.012204361
gptq2,json_format,2,26,0.010476684
gptq2,json_format,2,27,0.019740295
gptq2,json_format,3,0,0.003001213
gptq2,json_format,3,1,0.025228882
gptq2,json_format,3,2,0.0016501427
