model,category,layer,head,attention
gptq2,no_explanation,0,0,0.0
gptq2,no_explanation,0,1,0.0
gptq2,no_explanation,0,2,0.0
gptq2,no_explanation,0,3,0.0
gptq2,no_explanation,0,4,0.0
gptq2,no_explanation,0,5,0.0
gptq2,no_explanation,0,6,0.0
gptq2,no_explanation,0,7,0.0
gptq2,no_explanation,0,8,0.0
gptq2,no_explanation,0,9,0.0
gptq2,no_explanation,0,10,0.0
gptq2,no_explanation,0,11,0.0
gptq2,no_explanation,0,12,0.0
gptq2,no_explanation,0,13,0.0
gptq2,no_explanation,0,14,0.0
gptq2,no_explanation,0,15,0.0
gptq2,no_explanation,0,16,0.0
gptq2,no_explanation,0,17,0.0
gptq2,no_explanation,0,18,0.0
gptq2,no_explanation,0,19,0.0
gptq2,no_explanation,0,20,0.0
gptq2,no_explanation,0,21,0.0
gptq2,no_explanation,0,22,0.0
gptq2,no_explanation,0,23,0.0
gptq2,no_explanation,0,24,0.0
gptq2,no_explanation,0,25,0.0
gptq2,no_explanation,0,26,0.0
gptq2,no_explanation,0,27,0.0
gptq2,no_explanation,1,0,0.0
gptq2,no_explanation,1,1,0.0
gptq2,no_explanation,1,2,0.0
gptq2,no_explanation,1,3,0.0
gptq2,no_explanation,1,4,0.0
gptq2,no_explanation,1,5,0.0
gptq2,no_explanation,1,6,0.0
gptq2,no_explanation,1,7,0.0
gptq2,no_explanation,1,8,0.0
gptq2,no_explanation,1,9,0.0
gptq2,no_explanation,1,10,0.0
gptq2,no_explanation,1,11,0.0
gptq2,no_explanation,1,12,0.0
gptq2,no_explanation,1,13,0.0
gptq2,no_explanation,1,14,0.0
gptq2,no_explanation,1,15,0.0
gptq2,no_explanation,1,16,0.0
gptq2,no_explanation,1,17,0.0
gptq2,no_explanation,1,18,0.0
gptq2,no_explanation,1,19,0.0
gptq2,no_explanation,1,20,0.0
gptq2,no_explanation,1,21,0.0
gptq2,no_explanation,1,22,0.0
gptq2,no_explanation,1,23,0.0
gptq2,no_explanation,1,24,0.0
gptq2,no_explanation,1,25,0.0
gptq2,no_explanation,1,26,0.0
gptq2,no_explanation,1,27,0.0
gptq2,no_explanation,2,0,0.0
gptq2,no_explanation,2,1,0.0
gptq2,no_explanation,2,2,0.0
gptq2,no_explanation,2,3,0.0
gptq2,no_explanation,2,4,0.0
gptq2,no_explanation,2,5,0.0
gptq2,no_explanation,2,6,0.0
gptq2,no_explanation,2,7,0.0
gptq2,no_explanation,2,8,0.0
gptq2,no_explanation,2,9,0.0
gptq2,no_explanation,2,10,0.0
gptq2,no_explanation,2,11,0.0
gptq2,no_explanation,2,12,0.0
gptq2,no_explanation,2,13,0.0
gptq2,no_explanation,2,14,0.0
gptq2,no_explanation,2,15,0.0
gptq2,no_explanation,2,16,0.0
gptq2,no_explanation,2,17,0.0
gptq2,no_explanation,2,18,0.0
gptq2,no_explanation,2,19,0.0
gptq2,no_explanation,2,20,0.0
gptq2,no_explanation,2,21,0.0
gptq2,no_explanation,2,22,0.0
gptq2,no_explanation,2,23,0.0
gptq2,no_explanation,2,24,0.0
