model,category,layer,head,attention
gptq4,bullet_points,0,0,0.0031318665
gptq4,bullet_points,0,1,0.005519104
gptq4,bullet_points,0,2,0.0024345398
gptq4,bullet_points,0,3,0.010241699
gptq4,bullet_points,0,4,0.002922821
gptq4,bullet_points,0,5,0.006188965
gptq4,bullet_points,0,6,0.0047195433
gptq4,bullet_points,0,7,0.0028541565
gptq4,bullet_points,0,8,0.001984024
gptq4,bullet_points,0,9,0.0017391205
gptq4,bullet_points,0,10,0.010214234
gptq4,bullet_points,0,11,0.0030502318
gptq4,bullet_points,0,12,0.004671478
gptq4,bullet_points,0,13,0.0017219543
gptq4,bullet_points,0,14,0.0023101806
gptq4,bullet_points,0,15,0.01005249
gptq4,bullet_points,0,16,0.00894165
gptq4,bullet_points,0,17,0.0021884919
gptq4,bullet_points,0,18,0.004460907
gptq4,bullet_points,0,19,0.008586121
gptq4,bullet_points,0,20,0.002418518
gptq4,bullet_points,0,21,0.010455322
gptq4,bullet_points,0,22,0.0024280548
gptq4,bullet_points,0,23,0.0053977966
gptq4,bullet_points,0,24,0.0053985594
gptq4,bullet_points,0,25,0.005166626
gptq4,bullet_points,0,26,0.004709625
gptq4,bullet_points,0,27,0.0038734437
gptq4,bullet_points,1,0,0.008036804
gptq4,bullet_points,1,1,0.0057128905
gptq4,bullet_points,1,2,0.0026096343
gptq4,bullet_points,1,3,0.008384705
gptq4,bullet_points,1,4,0.0065597533
gptq4,bullet_points,1,5,0.0037879944
gptq4,bullet_points,1,6,0.0025440217
gptq4,bullet_points,1,7,0.0012548447
gptq4,bullet_points,1,8,0.00433197
gptq4,bullet_points,1,9,0.002412796
gptq4,bullet_points,1,10,0.0027938844
gptq4,bullet_points,1,11,0.0016239167
gptq4,bullet_points,1,12,0.0015853882
gptq4,bullet_points,1,13,0.0026046752
gptq4,bullet_points,1,14,0.0034317016
gptq4,bullet_points,1,15,0.0037368773
gptq4,bullet_points,1,16,0.0032073974
gptq4,bullet_points,1,17,0.005730438
gptq4,bullet_points,1,18,0.0040374757
gptq4,bullet_points,1,19,0.009475708
gptq4,bullet_points,1,20,0.0023899078
gptq4,bullet_points,1,21,0.00338974
gptq4,bullet_points,1,22,0.002361679
gptq4,bullet_points,1,23,0.0030944825
gptq4,bullet_points,1,24,0.0039367676
gptq4,bullet_points,1,25,0.012181091
gptq4,bullet_points,1,26,0.005049133
gptq4,bullet_points,1,27,0.002666092
gptq4,bullet_points,2,0,0.00087242125
gptq4,bullet_points,2,1,0.0011978149
gptq4,bullet_points,2,2,0.0012407303
gptq4,bullet_points,2,3,0.0011781693
gptq4,bullet_points,2,4,0.00084495544
gptq4,bullet_points,2,5,0.0019004822
gptq4,bullet_points,2,6,0.00078554155
gptq4,bullet_points,2,7,0.0027397156
gptq4,bullet_points,2,8,0.0029441833
gptq4,bullet_points,2,9,0.006511688
gptq4,bullet_points,2,10,0.0048164367
gptq4,bullet_points,2,11,0.003479004
gptq4,bullet_points,2,12,0.011599732
gptq4,bullet_points,2,13,0.0021533966
gptq4,bullet_points,2,14,0.0038925172
gptq4,bullet_points,2,15,0.005051422
gptq4,bullet_points,2,16,0.0071777343
gptq4,bullet_points,2,17,0.005413818
gptq4,bullet_points,2,18,0.0020870208
gptq4,bullet_points,2,19,0.0030906678
gptq4,bullet_points,2,20,0.006826782
gptq4,bullet_points,2,21,0.0044799806
gptq4,bullet_points,2,22,0.0011821747
gptq4,bullet_points,2,23,0.0019931793
gptq4,bullet_points,2,24,0.002695465
gptq4,bullet_points,2,25,0.0017951966
gptq4,bullet_points,2,26,0.00090732577
gptq4,bullet_points,2,27,0.003927612
gptq4,bullet_points,3,0,0.0011663437
gptq4,bullet_points,3,1,0.0013486862
gptq4,bullet_points,3,2,0.0005063057
gptq4,bullet_points,3,3,0.0036182404
gptq4,bullet_points,3,4,0.0032203675
gptq4,bullet_points,3,5,0.0018390656
gptq4,bullet_points,3,6,0.0014226914
gptq4,bullet_points,3,7,0.0039577484
gptq4,bullet_points,3,8,0.0007137299
gptq4,bullet_points,3,9,0.0021461486
gptq4,bullet_points,3,10,0.003287506
gptq4,bullet_points,3,11,0.001663971
gptq4,bullet_points,3,12,0.0018407821
gptq4,bullet_points,3,13,0.0035736084
gptq4,bullet_points,3,14,0.0025756836
gptq4,bullet_points,3,15,0.0027929307
gptq4,bullet_points,3,16,0.002751541
gptq4,bullet_points,3,17,0.0032550811
gptq4,bullet_points,3,18,0.0010528564
gptq4,bullet_points,3,19,0.0034317016
gptq4,bullet_points,3,20,0.012716675
gptq4,bullet_points,3,21,0.0018129349
gptq4,bullet_points,3,22,0.0024887086
gptq4,bullet_points,3,23,0.0024944306
gptq4,bullet_points,3,24,0.0037445067
gptq4,bullet_points,3,25,0.007580566
gptq4,bullet_points,3,26,0.005168915
gptq4,bullet_points,3,27,0.005474472
gptq4,bullet_points,4,0,0.0010251999
gptq4,bullet_points,4,1,0.0018285752
gptq4,bullet_points,4,2,0.0044223787
gptq4,bullet_points,4,3,0.0005288124
gptq4,bullet_points,4,4,0.015402985
gptq4,bullet_points,4,5,0.002958679
gptq4,bullet_points,4,6,0.006967163
gptq4,bullet_points,4,7,1.0728836e-06
gptq4,bullet_points,4,8,0.00014588833
gptq4,bullet_points,4,9,0.00019965172
gptq4,bullet_points,4,10,0.00015749931
gptq4,bullet_points,4,11,0.0003841877
gptq4,bullet_points,4,12,0.00053424836
gptq4,bullet_points,4,13,2.1970272e-05
gptq4,bullet_points,4,14,0.0023946762
gptq4,bullet_points,4,15,0.0008872986
gptq4,bullet_points,4,16,0.0023050308
gptq4,bullet_points,4,17,0.0020635605
gptq4,bullet_points,4,18,0.00076875684
gptq4,bullet_points,4,19,0.00390625
gptq4,bullet_points,4,20,0.0005438328
gptq4,bullet_points,4,21,0.0038967133
gptq4,bullet_points,4,22,0.0010686398
gptq4,bullet_points,4,23,0.00045681
gptq4,bullet_points,4,24,0.000758934
gptq4,bullet_points,4,25,0.0052902224
gptq4,bullet_points,4,26,0.00062599184
gptq4,bullet_points,4,27,0.0010836602
gptq4,bullet_points,5,0,0.0012557984
gptq4,bullet_points,5,1,0.002900696
gptq4,bullet_points,5,2,0.00479908
gptq4,bullet_points,5,3,0.0022917748
gptq4,bullet_points,5,4,0.002602005
gptq4,bullet_points,5,5,0.0003341198
gptq4,bullet_points,5,6,0.0004585266
gptq4,bullet_points,5,7,0.0009744644
gptq4,bullet_points,5,8,0.00084848405
gptq4,bullet_points,5,9,0.0020050048
gptq4,bullet_points,5,10,0.0017353058
gptq4,bullet_points,5,11,0.00092563627
gptq4,bullet_points,5,12,0.0026866912
gptq4,bullet_points,5,13,0.0025169372
gptq4,bullet_points,5,14,0.00031661987
gptq4,bullet_points,5,15,0.00013730527
gptq4,bullet_points,5,16,0.0007021904
gptq4,bullet_points,5,17,0.0007165909
gptq4,bullet_points,5,18,9.5975396e-05
gptq4,bullet_points,5,19,5.28574e-05
gptq4,bullet_points,5,20,0.00010271072
gptq4,bullet_points,5,21,0.0001416564
gptq4,bullet_points,5,22,0.0021206855
gptq4,bullet_points,5,23,0.0021897317
gptq4,bullet_points,5,24,0.00094184873
gptq4,bullet_points,5,25,0.0006911278
gptq4,bullet_points,5,26,0.0010084152
gptq4,bullet_points,5,27,0.016244888
gptq4,bullet_points,6,0,0.0009144783
gptq4,bullet_points,6,1,0.001498413
gptq4,bullet_points,6,2,0.0031585693
gptq4,bullet_points,6,3,0.0011987686
gptq4,bullet_points,6,4,0.00029509066
gptq4,bullet_points,6,5,0.00023015737
gptq4,bullet_points,6,6,0.0024269104
gptq4,bullet_points,6,7,0.0055519105
gptq4,bullet_points,6,8,0.011077881
gptq4,bullet_points,6,9,0.004471588
gptq4,bullet_points,6,10,0.0039764405
gptq4,bullet_points,6,11,0.0013959885
gptq4,bullet_points,6,12,0.0015201569
gptq4,bullet_points,6,13,0.0014518738
gptq4,bullet_points,6,14,0.0024726868
gptq4,bullet_points,6,15,0.0060684206
gptq4,bullet_points,6,16,0.0018339157
gptq4,bullet_points,6,17,0.002922821
gptq4,bullet_points,6,18,0.0004415512
gptq4,bullet_points,6,19,0.0019527435
gptq4,bullet_points,6,20,0.003931427
gptq4,bullet_points,6,21,0.0027965545
gptq4,bullet_points,6,22,0.0046424866
gptq4,bullet_points,6,23,0.0033748627
gptq4,bullet_points,6,24,0.0026082993
gptq4,bullet_points,6,25,0.0013641358
gptq4,bullet_points,6,26,0.000860405
