model,category,layer,head,attention
gptq4,regex_or_format,0,0,0.006048584
gptq4,regex_or_format,0,1,0.008618927
gptq4,regex_or_format,0,2,0.008580399
gptq4,regex_or_format,0,3,0.018176269
gptq4,regex_or_format,0,4,0.005164528
gptq4,regex_or_format,0,5,0.008831024
gptq4,regex_or_format,0,6,0.008714294
gptq4,regex_or_format,0,7,0.006305313
gptq4,regex_or_format,0,8,0.0032250404
gptq4,regex_or_format,0,9,0.0023416518
gptq4,regex_or_format,0,10,0.019824218
gptq4,regex_or_format,0,11,0.008641052
gptq4,regex_or_format,0,12,0.005200577
gptq4,regex_or_format,0,13,0.002897167
gptq4,regex_or_format,0,14,0.0058112144
gptq4,regex_or_format,0,15,0.01795349
gptq4,regex_or_format,0,16,0.014130401
gptq4,regex_or_format,0,17,0.00305264
gptq4,regex_or_format,0,18,0.0060369493
gptq4,regex_or_format,0,19,0.022149658
gptq4,regex_or_format,0,20,0.0077497484
gptq4,regex_or_format,0,21,0.019950867
gptq4,regex_or_format,0,22,0.005928993
gptq4,regex_or_format,0,23,0.00929985
gptq4,regex_or_format,0,24,0.0076107024
gptq4,regex_or_format,0,25,0.005616379
gptq4,regex_or_format,0,26,0.008607102
gptq4,regex_or_format,0,27,0.005709076
gptq4,regex_or_format,1,0,0.011277008
gptq4,regex_or_format,1,1,0.010338974
gptq4,regex_or_format,1,2,0.006260109
gptq4,regex_or_format,1,3,0.01598587
gptq4,regex_or_format,1,4,0.00706377
gptq4,regex_or_format,1,5,0.005393219
gptq4,regex_or_format,1,6,0.004719734
gptq4,regex_or_format,1,7,0.0037248612
gptq4,regex_or_format,1,8,0.008281326
gptq4,regex_or_format,1,9,0.004797554
gptq4,regex_or_format,1,10,0.009017944
gptq4,regex_or_format,1,11,0.007323074
gptq4,regex_or_format,1,12,0.0049684523
gptq4,regex_or_format,1,13,0.004641533
gptq4,regex_or_format,1,14,0.007060051
gptq4,regex_or_format,1,15,0.0113365175
gptq4,regex_or_format,1,16,0.010002518
gptq4,regex_or_format,1,17,0.009586716
gptq4,regex_or_format,1,18,0.007255173
gptq4,regex_or_format,1,19,0.016969299
gptq4,regex_or_format,1,20,0.004904938
gptq4,regex_or_format,1,21,0.013054657
gptq4,regex_or_format,1,22,0.012023926
