model,category,layer,head,attention
gptq4,start_with,0,0,0.011004639
gptq4,start_with,0,1,0.016921997
gptq4,start_with,0,2,0.019781495
gptq4,start_with,0,3,0.014559937
gptq4,start_with,0,4,0.009294128
gptq4,start_with,0,5,0.017208863
gptq4,start_with,0,6,0.017829895
gptq4,start_with,0,7,0.012835694
gptq4,start_with,0,8,0.014405822
gptq4,start_with,0,9,0.01052475
gptq4,start_with,0,10,0.013041687
gptq4,start_with,0,11,0.018554688
gptq4,start_with,0,12,0.024816895
gptq4,start_with,0,13,0.019779969
gptq4,start_with,0,14,0.006340408
gptq4,start_with,0,15,0.012176514
gptq4,start_with,0,16,0.015200806
gptq4,start_with,0,17,0.012918854
gptq4,start_with,0,18,0.0074302675
gptq4,start_with,0,19,0.00610466
gptq4,start_with,0,20,0.021232605
gptq4,start_with,0,21,0.01977234
gptq4,start_with,0,22,0.009394837
gptq4,start_with,0,23,0.019818116
gptq4,start_with,0,24,0.019639587
gptq4,start_with,0,25,0.015792847
gptq4,start_with,0,26,0.019856263
gptq4,start_with,0,27,0.01588745
gptq4,start_with,1,0,0.015837098
gptq4,start_with,1,1,0.009770202
gptq4,start_with,1,2,0.003004074
gptq4,start_with,1,3,0.020916749
gptq4,start_with,1,4,0.006396866
gptq4,start_with,1,5,0.0036815642
gptq4,start_with,1,6,0.0034425736
gptq4,start_with,1,7,0.0030460358
gptq4,start_with,1,8,0.013850403
gptq4,start_with,1,9,0.0039962768
gptq4,start_with,1,10,0.006343079
gptq4,start_with,1,11,0.0029392242
gptq4,start_with,1,12,0.008952332
gptq4,start_with,1,13,0.0041996003
gptq4,start_with,1,14,0.024154663
gptq4,start_with,1,15,0.0141418455
gptq4,start_with,1,16,0.011515808
gptq4,start_with,1,17,0.019122314
gptq4,start_with,1,18,0.0055561066
gptq4,start_with,1,19,0.022857666
gptq4,start_with,1,20,0.01448288
gptq4,start_with,1,21,0.0023378371
gptq4,start_with,1,22,0.0023975372
gptq4,start_with,1,23,0.015614319
gptq4,start_with,1,24,0.0065544127
gptq4,start_with,1,25,0.012980652
gptq4,start_with,1,26,0.008022308
gptq4,start_with,1,27,0.004463196
gptq4,start_with,2,0,0.0012319565
gptq4,start_with,2,1,0.0063446043
gptq4,start_with,2,2,0.0066436767
gptq4,start_with,2,3,0.003647995
gptq4,start_with,2,4,0.0011673927
gptq4,start_with,2,5,0.0043792725
gptq4,start_with,2,6,0.0023035049
gptq4,start_with,2,7,0.020370483
gptq4,start_with,2,8,0.0031661987
gptq4,start_with,2,9,0.004707718
gptq4,start_with,2,10,0.009391022
gptq4,start_with,2,11,0.014724731
gptq4,start_with,2,12,0.010223389
gptq4,start_with,2,13,0.016131591
gptq4,start_with,2,14,0.0036319732
gptq4,start_with,2,15,0.0061107636
gptq4,start_with,2,16,0.005675507
gptq4,start_with,2,17,0.0057765963
gptq4,start_with,2,18,0.0017780304
gptq4,start_with,2,19,0.0059318542
gptq4,start_with,2,20,0.0017437935
gptq4,start_with,2,21,0.0066848756
gptq4,start_with,2,22,0.0032258988
gptq4,start_with,2,23,0.0042495728
