model,category,layer,head,attention
gptq4,two_words,0,0,0.0
gptq4,two_words,0,1,0.0
gptq4,two_words,0,2,0.0
gptq4,two_words,0,3,0.0
gptq4,two_words,0,4,0.0
gptq4,two_words,0,5,0.0
gptq4,two_words,0,6,0.0
gptq4,two_words,0,7,0.0
gptq4,two_words,0,8,0.0
gptq4,two_words,0,9,0.0
gptq4,two_words,0,10,0.0
gptq4,two_words,0,11,0.0
gptq4,two_words,0,12,0.0
gptq4,two_words,0,13,0.0
gptq4,two_words,0,14,0.0
gptq4,two_words,0,15,0.0
gptq4,two_words,0,16,0.0
gptq4,two_words,0,17,0.0
gptq4,two_words,0,18,0.0
gptq4,two_words,0,19,0.0
gptq4,two_words,0,20,0.0
gptq4,two_words,0,21,0.0
gptq4,two_words,0,22,0.0
gptq4,two_words,0,23,0.0
gptq4,two_words,0,24,0.0
gptq4,two_words,0,25,0.0
gptq4,two_words,0,26,0.0
gptq4,two_words,0,27,0.0
gptq4,two_words,1,0,0.0
gptq4,two_words,1,1,0.0
gptq4,two_words,1,2,0.0
gptq4,two_words,1,3,0.0
gptq4,two_words,1,4,0.0
gptq4,two_words,1,5,0.0
gptq4,two_words,1,6,0.0
gptq4,two_words,1,7,0.0
gptq4,two_words,1,8,0.0
gptq4,two_words,1,9,0.0
gptq4,two_words,1,10,0.0
gptq4,two_words,1,11,0.0
gptq4,two_words,1,12,0.0
gptq4,two_words,1,13,0.0
gptq4,two_words,1,14,0.0
gptq4,two_words,1,15,0.0
gptq4,two_words,1,16,0.0
gptq4,two_words,1,17,0.0
gptq4,two_words,1,18,0.0
gptq4,two_words,1,19,0.0
gptq4,two_words,1,20,0.0
gptq4,two_words,1,21,0.0
gptq4,two_words,1,22,0.0
gptq4,two_words,1,23,0.0
gptq4,two_words,1,24,0.0
gptq4,two_words,1,25,0.0
gptq4,two_words,1,26,0.0
gptq4,two_words,1,27,0.0
gptq4,two_words,2,0,0.0
gptq4,two_words,2,1,0.0
gptq4,two_words,2,2,0.0
gptq4,two_words,2,3,0.0
gptq4,two_words,2,4,0.0
gptq4,two_words,2,5,0.0
gptq4,two_words,2,6,0.0
gptq4,two_words,2,7,0.0
gptq4,two_words,2,8,0.0
gptq4,two_words,2,9,0.0
gptq4,two_words,2,10,0.0
gptq4,two_words,2,11,0.0
gptq4,two_words,2,12,0.0
gptq4,two_words,2,13,0.0
