model,category,layer,head,attention
gptq4,word_limit,0,0,0.001208496
gptq4,word_limit,0,1,0.0022186278
gptq4,word_limit,0,2,0.00068473816
gptq4,word_limit,0,3,0.0026306151
gptq4,word_limit,0,4,0.0012748719
gptq4,word_limit,0,5,0.0017745972
gptq4,word_limit,0,6,0.0011573791
gptq4,word_limit,0,7,0.00093917846
gptq4,word_limit,0,8,0.00028972625
gptq4,word_limit,0,9,0.00047302246
gptq4,word_limit,0,10,0.0031173707
gptq4,word_limit,0,11,0.0014778137
gptq4,word_limit,0,12,0.00063056947
gptq4,word_limit,0,13,0.0006824493
gptq4,word_limit,0,14,0.00049209595
gptq4,word_limit,0,15,0.0025970459
gptq4,word_limit,0,16,0.003161621
gptq4,word_limit,0,17,0.00037956238
gptq4,word_limit,0,18,0.0012680053
gptq4,word_limit,0,19,0.003326416
gptq4,word_limit,0,20,0.0016555786
gptq4,word_limit,0,21,0.0025299073
gptq4,word_limit,0,22,0.00048599244
gptq4,word_limit,0,23,0.0012527466
gptq4,word_limit,0,24,0.0009643555
gptq4,word_limit,0,25,0.0010353088
gptq4,word_limit,0,26,0.00090789795
gptq4,word_limit,0,27,0.001020813
gptq4,word_limit,1,0,0.0022613525
gptq4,word_limit,1,1,0.0016342163
gptq4,word_limit,1,2,0.0004398346
gptq4,word_limit,1,3,0.0025985718
gptq4,word_limit,1,4,0.0023468018
gptq4,word_limit,1,5,0.0012214661
gptq4,word_limit,1,6,0.00064849854
gptq4,word_limit,1,7,0.00030708313
gptq4,word_limit,1,8,0.0013328552
gptq4,word_limit,1,9,0.00061454775
gptq4,word_limit,1,10,0.00068359374
gptq4,word_limit,1,11,0.00040245056
gptq4,word_limit,1,12,0.00052490237
gptq4,word_limit,1,13,0.0007381439
gptq4,word_limit,1,14,0.00086898805
gptq4,word_limit,1,15,0.001171875
gptq4,word_limit,1,16,0.0013542175
gptq4,word_limit,1,17,0.0010299683
gptq4,word_limit,1,18,0.00092773436
gptq4,word_limit,1,19,0.004333496
gptq4,word_limit,1,20,0.00081481936
gptq4,word_limit,1,21,0.00053634646
gptq4,word_limit,1,22,0.00038661956
gptq4,word_limit,1,23,0.00093917846
gptq4,word_limit,1,24,0.00097045896
gptq4,word_limit,1,25,0.0015640259
gptq4,word_limit,1,26,0.0012107849
gptq4,word_limit,1,27,0.0008644104
gptq4,word_limit,2,0,0.00019855499
gptq4,word_limit,2,1,0.0003604889
gptq4,word_limit,2,2,0.0003370285
gptq4,word_limit,2,3,0.00052757264
gptq4,word_limit,2,4,0.00017175675
gptq4,word_limit,2,5,0.0006637573
gptq4,word_limit,2,6,0.00017766953
gptq4,word_limit,2,7,0.00071525574
gptq4,word_limit,2,8,0.0010292053
