model,category,num_prompts,mean_attention,std_attention
fp16,json_format,5,,
fp16,start_with,5,,
fp16,bullet_points,5,,
fp16,word_limit,5,,
fp16,regex_or_format,5,,
fp16,two_words,1,0.0,0.0
fp16,only_output,1,0.0,0.0
fp16,no_explanation,1,0.0,0.0
fp16,first_word,1,0.0,0.0
gptq2,json_format,5,,
gptq2,start_with,5,,
gptq2,bullet_points,5,,
gptq2,word_limit,5,,
gptq2,regex_or_format,5,,
gptq2,two_words,1,0.0,0.0
gptq2,only_output,1,0.0,0.0
gptq2,no_explanation,1,0.0,0.0
gptq2,first_word,1,0.0,0.0
gptq3,json_format,5,,
gptq3,start_with,5,,
gptq3,bullet_points,5,,
gptq3,word_limit,5,,
gptq3,regex_or_format,5,,
gptq3,two_words,1,0.0,0.0
gptq3,only_output,1,0.0,0.0
gptq3,no_explanation,1,0.0,0.0
gptq3,first_word,1,0.0,0.0
gptq4,json_format,5,,
gptq4,start_with,5,,
gptq4,bullet_points,5,,
gptq4,word_limit,5,,
gptq4,regex_or_format,5,,
gptq4,two_words,1,0.0,0.0
gptq4,only_output,1,0.0,0.0
gptq4,no_explanation,1,0.0,0.0
gptq4,first_word,1,0.0,0.0
gptq8,json_format,5,,
gptq8,start_with,5,,
gptq8,bullet_points,5,,
gptq8,word_limit,5,,
gptq8,regex_or_format,5,,
gptq8,two_words,1,0.0,0.0
gptq8,only_output,1,0.0,0.0
gptq8,no_explanation,1,0.0,0.0
gptq8,first_word,1,0.0,0.0
