tag,avg4,prompt_strict,inst_strict,prompt_loose,inst_loose,mmlu,ppl,gsm8k,source
attn_all,0.7095,0.6488,0.735,0.6858,0.7686,,,,runs_archive/scores\scores_attn_all.csv
awq3l_asym_none,0.6626,0.597,0.7026,0.6266,0.7242,,,,runs_archive/scores\scores_awq3l_asym_none.csv
awq3l_none,0.5973,0.5268,0.6283,0.5712,0.6631,,,,runs_archive/scores\scores_awq3l_none.csv
awq3q14_asym_none,0.7546,0.7079,0.7782,0.7338,0.7986,,,,runs_archive/scores\scores_awq3q14_asym_none.csv
awq3q14_none,0.6777,0.6137,0.711,0.6451,0.741,,,,runs_archive/scores\scores_awq3q14_none.csv
baseline_full,0.7652,0.7172,0.7938,0.7394,0.8106,,,,runs_archive/scores\scores_baseline_full.csv
blind_falcon3_10b_gptq3,0.6997,0.634,0.7278,0.671,0.7662,,,,runs\scores_blind_falcon3_10b_gptq3.csv
blind_falcon3_10b_rtn3,0.6089,0.5434,0.6415,0.5767,0.6739,,,,runs\scores_blind_falcon3_10b_rtn3.csv
blind_granite31_8b_gptq3,0.5263,0.4418,0.5683,0.4861,0.6091,,,,runs\scores_blind_granite31_8b_gptq3.csv
blind_granite31_8b_rtn3,0.4461,0.3604,0.4904,0.4048,0.5288,,,,runs\scores_blind_granite31_8b_rtn3.csv
blind_hermes2pro_l3_8b_gptq3,0.3327,0.2643,0.3777,0.2847,0.4041,,,,runs\scores_blind_hermes2pro_l3_8b_gptq3.csv
blind_hermes2pro_l3_8b_rtn3,0.3697,0.2902,0.4137,0.3253,0.4496,,,,runs\scores_blind_hermes2pro_l3_8b_rtn3.csv
blind_hermes3_8b_gptq3,0.3063,0.2237,0.3441,0.2643,0.3933,,,,runs\scores_blind_hermes3_8b_gptq3.csv
blind_hermes3_8b_rtn3,0.339,0.2736,0.3753,0.2957,0.4113,,,,runs\scores_blind_hermes3_8b_rtn3.csv
blind_ministral_8b_gptq3,0.5209,0.4547,0.5612,0.4824,0.5851,,,,runs\scores_blind_ministral_8b_gptq3.csv
blind_ministral_8b_rtn3,0.4929,0.4288,0.5324,0.4529,0.5576,,,,runs\scores_blind_ministral_8b_rtn3.csv
blind_mistral_7b_v01_gptq3,0.4445,0.3826,0.4784,0.4085,0.5084,,,,runs\scores_blind_mistral_7b_v01_gptq3.csv
blind_mistral_7b_v01_rtn3,0.4301,0.3641,0.4604,0.3993,0.4964,,,,runs\scores_blind_mistral_7b_v01_rtn3.csv
blind_qwen25_0p5b_gptq3,0.167,0.1054,0.2086,0.1238,0.2302,,,,runs\scores_blind_qwen25_0p5b_gptq3.csv
blind_qwen25_0p5b_rtn3,0.164,0.1035,0.1966,0.1294,0.2266,,,,runs\scores_blind_qwen25_0p5b_rtn3.csv
blind_qwen25_1p5b_gptq3,0.2537,0.1701,0.2974,0.207,0.3405,,,,runs\scores_blind_qwen25_1p5b_gptq3.csv
blind_qwen25_1p5b_rtn3,0.1627,0.098,0.1966,0.1201,0.2362,,,,runs\scores_blind_qwen25_1p5b_rtn3.csv
blind_qwen2_7b_gptq3,0.5036,0.414,0.5432,0.4695,0.5875,,,,runs\scores_blind_qwen2_7b_gptq3.csv
blind_qwen2_7b_rtn3,0.3626,0.2865,0.4113,0.3161,0.4365,,,,runs\scores_blind_qwen2_7b_rtn3.csv
blind_qwen3_14b_gptq3,0.4869,0.3882,0.5348,0.4418,0.5827,,,,runs\scores_blind_qwen3_14b_gptq3.csv
blind_qwen3_14b_rtn3,0.4183,0.3364,0.4736,0.3678,0.4952,,,,runs\scores_blind_qwen3_14b_rtn3.csv
blind_qwen3_4b_gptq3,0.3158,0.2237,0.3681,0.2625,0.4089,,,,runs\scores_blind_qwen3_4b_gptq3.csv
