stats_dir,n_modules,detector_max_module,detector_max,sink_dominance_layer,sink_dominance,tokenavg_max_module,tokenavg_max,has_abs_err_cols
runs/stats\blind-falcon3-10b-pos,280,L1.down_proj,3.4,L1,333,L30.down_proj,1.5,1
runs/stats\blind-granite31-8b-pos,280,L5.down_proj,5.6,L5,836,L27.down_proj,1.4,1
runs/stats\blind-hermes2pro-l3-8b-pos,224,L1.down_proj,20.6,L1,415,L4.down_proj,1.3,1
runs/stats\blind-hermes3-8b-pos,224,L1.down_proj,63.2,L1,314,L4.down_proj,1.3,1
runs/stats\blind-ministral-8b-pos,252,L2.down_proj,33.4,L2,77,L5.down_proj,1.0,1
runs/stats\blind-mistral-7b-v01-pos,224,L1.down_proj,21.6,L1,691,L24.down_proj,1.4,1
runs/stats\blind-qwen2-7b-pos,196,L24.down_proj,2.1,L3,100,L24.down_proj,1.5,1
runs/stats\blind-qwen25-0p5b-pos,168,L3.down_proj,8.7,L2,188,L22.v_proj,1.2,1
runs/stats\blind-qwen25-1p5b-pos,196,L26.v_proj,2.0,L1,442,L25.v_proj,1.4,1
runs/stats\blind-qwen3-14b-pos,280,L6.down_proj,31.3,L6,931,L3.down_proj,2.1,1
runs/stats\blind-qwen3-4b-pos,252,L6.down_proj,5.4,L6,861,L3.down_proj,1.5,1
runs/stats\blind-qwen3-8b-pos,252,L6.down_proj,19.0,L6,1287,L3.down_proj,1.6,1
runs/stats\blind-r1-llama-8b-pos,224,L1.down_proj,19.0,L1,557,L24.down_proj,1.2,1
runs/stats\blind-r1-qwen-14b-pos,336,L3.down_proj,3.7,L4,3296,L2.down_proj,1.5,1
runs/stats\blind-smollm3-3b-pos,252,L1.down_proj,10.6,L1,252,L31.down_proj,1.3,1
runs/stats\blind-tulu3-8b-pos,224,L1.down_proj,22.8,L1,406,L24.down_proj,1.2,1
runs/stats\falcon3-7b-pos,196,L1.down_proj,4.4,L1,257,L6.down_proj,1.4,0
runs/stats\falcon3-7b,196,,,,,L6.down_proj,1.4,0
runs/stats\gemma2-2b-pos,182,L0.down_proj,1.9,L0,2,L8.down_proj,0.9,0
runs/stats\gemma2-2b,182,,,,,L8.down_proj,0.9,0
