module,act_overlap_top1pct,mask_jaccard_vs_compare,col_conc_top1pct,proj,selected
model.layers.0.mlp.down_proj,0.1538,0.1362,0.8641,down_proj,2333
model.layers.0.mlp.gate_proj,0.15,0.1239,0.4942,gate_proj,943
model.layers.0.mlp.up_proj,0.225,0.1397,0.7228,up_proj,404
model.layers.0.self_attn.k_proj,0.5,0.2099,0.4675,k_proj,5288
model.layers.0.self_attn.o_proj,0.125,0.1531,0.6307,o_proj,1917
model.layers.0.self_attn.q_proj,0.4,0.1132,0.528,q_proj,3282
model.layers.0.self_attn.v_proj,0.325,0.2065,0.9528,v_proj,127
model.layers.1.mlp.down_proj,0.1748,0.2119,0.9217,down_proj,1111
model.layers.1.mlp.gate_proj,0.225,0.1736,0.3976,gate_proj,1064
model.layers.1.mlp.up_proj,0.3,0.1894,0.4229,up_proj,629
model.layers.1.self_attn.k_proj,0.35,0.1857,0.5418,k_proj,2394
model.layers.1.self_attn.o_proj,0.175,0.1906,0.515,o_proj,1763
model.layers.1.self_attn.q_proj,0.325,0.1715,0.6523,q_proj,1231
model.layers.1.self_attn.v_proj,0.225,0.1429,1.0,v_proj,49
model.layers.10.mlp.down_proj,0.042,0.2679,1.0,down_proj,140
model.layers.10.mlp.gate_proj,0.575,0.1186,0.7756,gate_proj,303
model.layers.10.mlp.up_proj,0.525,0.1667,0.8357,up_proj,140
model.layers.10.self_attn.k_proj,0.575,0.1358,0.5201,k_proj,1242
model.layers.10.self_attn.o_proj,0.3,0.1265,0.8434,o_proj,166
model.layers.10.self_attn.q_proj,0.525,0.0878,0.6018,q_proj,1243
model.layers.10.self_attn.v_proj,0.2,0.4651,1.0,v_proj,29
model.layers.11.mlp.down_proj,0.0559,0.2171,1.0,down_proj,181
model.layers.11.mlp.gate_proj,0.475,0.1696,0.7518,gate_proj,274
model.layers.11.mlp.up_proj,0.475,0.2148,0.7921,up_proj,178
model.layers.11.self_attn.k_proj,0.725,0.313,0.9238,k_proj,446
model.layers.11.self_attn.o_proj,0.5,0.1198,0.8658,o_proj,313
model.layers.11.self_attn.q_proj,0.7,0.2251,0.9665,q_proj,537
model.layers.11.self_attn.v_proj,0.075,0.4615,1.0,v_proj,24
model.layers.12.mlp.down_proj,0.0629,0.1688,0.9901,down_proj,304
model.layers.12.mlp.gate_proj,0.5,0.143,0.6207,gate_proj,725
model.layers.12.mlp.up_proj,0.45,0.1777,0.7557,up_proj,307
model.layers.12.self_attn.k_proj,0.725,0.1995,0.9499,k_proj,399
model.layers.12.self_attn.o_proj,0.25,0.2066,0.65,o_proj,160
model.layers.12.self_attn.q_proj,0.725,0.2269,0.9767,q_proj,557
model.layers.12.self_attn.v_proj,0.3,0.3333,1.0,v_proj,37
model.layers.13.mlp.down_proj,0.042,0.1915,1.0,down_proj,222
model.layers.13.mlp.gate_proj,0.425,0.1363,0.6327,gate_proj,520
model.layers.13.mlp.up_proj,0.475,0.1785,0.7454,up_proj,271
model.layers.13.self_attn.k_proj,0.8,0.2763,0.8624,k_proj,1097
model.layers.13.self_attn.o_proj,0.25,0.1594,0.6789,o_proj,190
model.layers.13.self_attn.q_proj,0.7,0.1127,0.6215,q_proj,1300
model.layers.13.self_attn.v_proj,0.25,0.1699,1.0,v_proj,34
model.layers.14.mlp.down_proj,0.0629,0.1448,1.0,down_proj,285
