module,col_conc_top1pct,act_overlap_top1pct,selected,proj
model.layers.0.mlp.down_proj,0.9358,0.1087,2150,down_proj
model.layers.0.mlp.gate_proj,0.7613,0.3137,243,gate_proj
model.layers.0.mlp.up_proj,0.799,0.2745,194,up_proj
model.layers.0.self_attn.k_proj,1.0,0.2941,186,k_proj
model.layers.0.self_attn.o_proj,0.3532,0.4314,4779,o_proj
model.layers.0.self_attn.q_proj,1.0,0.1765,72,q_proj
model.layers.0.self_attn.v_proj,1.0,0.4118,160,v_proj
model.layers.1.mlp.down_proj,0.929,0.4058,1028,down_proj
model.layers.1.mlp.gate_proj,0.6493,0.6275,1209,gate_proj
model.layers.1.mlp.up_proj,0.6252,0.5882,763,up_proj
model.layers.1.self_attn.k_proj,1.0,0.1961,28,k_proj
model.layers.1.self_attn.o_proj,0.5155,0.3725,710,o_proj
model.layers.1.self_attn.q_proj,1.0,0.1373,19,q_proj
model.layers.1.self_attn.v_proj,0.8478,0.451,289,v_proj
model.layers.10.mlp.down_proj,0.7361,0.029,3971,down_proj
model.layers.10.mlp.gate_proj,0.4022,0.3922,2591,gate_proj
model.layers.10.mlp.up_proj,0.451,0.3137,898,up_proj
model.layers.10.self_attn.k_proj,0.8372,0.6078,786,k_proj
model.layers.10.self_attn.o_proj,0.4587,0.0784,606,o_proj
model.layers.10.self_attn.q_proj,0.9009,0.5686,676,q_proj
model.layers.10.self_attn.v_proj,0.6861,0.4118,223,v_proj
model.layers.11.mlp.down_proj,0.8506,0.029,1158,down_proj
model.layers.11.mlp.gate_proj,0.7897,0.3137,2872,gate_proj
model.layers.11.mlp.up_proj,0.497,0.3529,499,up_proj
model.layers.11.self_attn.k_proj,0.7752,0.5686,1379,k_proj
model.layers.11.self_attn.o_proj,0.6376,0.1569,734,o_proj
model.layers.11.self_attn.q_proj,0.7206,0.5686,1292,q_proj
model.layers.11.self_attn.v_proj,0.6164,0.5882,696,v_proj
model.layers.12.mlp.down_proj,0.9174,0.0507,1913,down_proj
model.layers.12.mlp.gate_proj,0.5389,0.3333,1041,gate_proj
model.layers.12.mlp.up_proj,0.4141,0.3333,553,up_proj
model.layers.12.self_attn.k_proj,0.6835,0.5098,1109,k_proj
model.layers.12.self_attn.o_proj,0.6446,0.0784,453,o_proj
model.layers.12.self_attn.q_proj,0.7996,0.6078,1018,q_proj
model.layers.12.self_attn.v_proj,0.8732,0.3333,142,v_proj
model.layers.13.mlp.down_proj,0.895,0.0145,2648,down_proj
model.layers.13.mlp.gate_proj,0.5761,0.3725,1472,gate_proj
model.layers.13.mlp.up_proj,0.3916,0.3137,687,up_proj
model.layers.13.self_attn.k_proj,0.6596,0.549,1889,k_proj
model.layers.13.self_attn.o_proj,0.4346,0.1176,1583,o_proj
model.layers.13.self_attn.q_proj,0.735,0.6078,1532,q_proj
model.layers.13.self_attn.v_proj,0.7371,0.2549,232,v_proj
model.layers.14.mlp.down_proj,0.8658,0.0435,2884,down_proj
model.layers.14.mlp.gate_proj,0.5515,0.4118,2020,gate_proj
model.layers.14.mlp.up_proj,0.4289,0.3333,963,up_proj
model.layers.14.self_attn.k_proj,0.6504,0.4706,1696,k_proj
model.layers.14.self_attn.o_proj,0.5633,0.1176,545,o_proj
model.layers.14.self_attn.q_proj,0.7061,0.3922,1344,q_proj
