module,col_conc_top1pct,selected,act_overlap_top1pct,proj,mask_jaccard_vs_compare
model.layers.0.mlp.down_proj,0.5298,98163,0.0952,down_proj,0.0731
model.layers.0.mlp.gate_proj,0.2412,44980,0.3714,gate_proj,0.1453
model.layers.0.mlp.up_proj,0.2298,26901,0.3143,up_proj,0.1327
model.layers.0.self_attn.k_proj,0.0271,197555,0.3714,k_proj,0.2519
model.layers.0.self_attn.o_proj,0.1402,147955,0.5429,o_proj,0.2091
model.layers.0.self_attn.q_proj,0.0456,247092,0.2857,q_proj,0.0992
model.layers.0.self_attn.v_proj,0.1099,30998,0.7143,v_proj,0.1316
model.layers.1.mlp.down_proj,0.4782,95850,0.1693,down_proj,0.0902
model.layers.1.mlp.gate_proj,0.3636,84660,0.8571,gate_proj,0.1511
model.layers.1.mlp.up_proj,0.2365,54802,0.7714,up_proj,0.1332
model.layers.1.self_attn.k_proj,0.3103,13878,0.6857,k_proj,0.2415
model.layers.1.self_attn.o_proj,0.1046,77908,0.2,o_proj,0.1933
model.layers.1.self_attn.q_proj,0.6299,9881,0.7714,q_proj,0.2344
model.layers.1.self_attn.v_proj,0.1245,47257,0.6,v_proj,0.2405
model.layers.10.mlp.down_proj,0.2723,393203,0.0159,down_proj,0.0797
model.layers.10.mlp.gate_proj,0.1103,341502,0.5143,gate_proj,0.0776
model.layers.10.mlp.up_proj,0.0787,336932,0.2857,up_proj,0.0878
model.layers.10.self_attn.k_proj,0.1387,43875,0.7143,k_proj,0.2316
model.layers.10.self_attn.o_proj,0.1122,167973,0.0857,o_proj,0.1655
model.layers.10.self_attn.q_proj,0.2363,47754,0.6571,q_proj,0.1695
model.layers.10.self_attn.v_proj,0.07,71544,0.4,v_proj,0.197
model.layers.11.mlp.down_proj,0.2331,430048,0.0265,down_proj,0.0796
model.layers.11.mlp.gate_proj,0.095,379758,0.4,gate_proj,0.0713
model.layers.11.mlp.up_proj,0.0743,369369,0.2,up_proj,0.0847
model.layers.11.self_attn.k_proj,0.0806,80041,0.6857,k_proj,0.2546
model.layers.11.self_attn.o_proj,0.1064,228044,0.2,o_proj,0.1724
model.layers.11.self_attn.q_proj,0.1632,91169,0.5714,q_proj,0.1717
model.layers.11.self_attn.v_proj,0.0686,67785,0.4,v_proj,0.1836
