layer,head,score
0,0,0.056308817118406296
0,1,0.053270675241947174
0,2,0.05065344646573067
0,3,0.14005637168884277
0,4,0.03466399759054184
0,5,0.05519520118832588
0,6,0.1010790467262268
0,7,0.07088299840688705
0,8,0.04536013305187225
0,9,0.03665599972009659
0,10,0.13768833875656128
0,11,0.0457664430141449
0,12,0.050236091017723083
0,13,0.035035181790590286
0,14,0.05574566870927811
0,15,0.14018870890140533
0,16,0.09614118933677673
0,17,0.06260169297456741
0,18,0.058502402156591415
0,19,0.08782265335321426
0,20,0.07160986959934235
0,21,0.09424889087677002
0,22,0.03613820672035217
0,23,0.05074945092201233
0,24,0.04647175967693329
0,25,0.03105514869093895
0,26,0.042351335287094116
0,27,0.03166068345308304
1,0,0.056127019226551056
1,1,0.04781816527247429
1,2,0.04513322561979294
1,3,0.06734665483236313
1,4,0.050471555441617966
1,5,0.046109315007925034
1,6,0.047357745468616486
1,7,0.03883802145719528
1,8,0.04122057184576988
1,9,0.030712774023413658
1,10,0.05541614815592766
1,11,0.05760016664862633
1,12,0.0628170445561409
1,13,0.02895296923816204
1,14,0.05548938736319542
1,15,0.0832531750202179
1,16,0.040521182119846344
1,17,0.05742017552256584
1,18,0.03381315618753433
1,19,0.05761757865548134
1,20,0.044383466243743896
1,21,0.051481641829013824
1,22,0.04052513837814331
1,23,0.07176325470209122
1,24,0.054827142506837845
1,25,0.0580342635512352
1,26,0.045588769018650055
1,27,0.04277142509818077
2,0,0.05122164264321327
2,1,0.048324111849069595
2,2,0.064185231924057
2,3,0.04770694673061371
2,4,0.053132422268390656
2,5,0.054315391927957535
2,6,0.06352026760578156
2,7,0.06438977271318436
2,8,0.05861780047416687
2,9,0.06056894361972809
2,10,0.05769457668066025
2,11,0.07595901191234589
2,12,0.05311935767531395
2,13,0.05540124326944351
2,14,0.05828399211168289
2,15,0.07514739781618118
2,16,0.07773163169622421
2,17,0.08035308122634888
2,18,0.05985439568758011
2,19,0.07328642904758453
2,20,0.08156725019216537
2,21,0.05618361756205559
2,22,0.06950099021196365
2,23,0.06948503851890564
2,24,0.07659342885017395
2,25,0.06751398742198944
2,26,0.07462337613105774
2,27,0.08668090403079987
3,0,0.05582457035779953
3,1,0.1357046663761139
3,2,0.07939232885837555
3,3,0.11432234197854996
3,4,0.1218283474445343
3,5,0.10132983326911926
3,6,0.10793642699718475
3,7,0.09304166585206985
3,8,0.09847858548164368
3,9,0.0925256684422493
3,10,0.1477106362581253
3,11,0.08948234468698502
3,12,0.08112408965826035
3,13,0.08700516074895859
3,14,0.08813869953155518
3,15,0.11286881566047668
3,16,0.0751907080411911
3,17,0.10915015637874603
3,18,0.07837830483913422
3,19,0.08954460918903351
3,20,0.10934203863143921
3,21,0.12827977538108826
3,22,0.09036356955766678
3,23,0.09953562170267105
3,24,0.10433906316757202
3,25,0.10080026090145111
3,26,0.10780810564756393
3,27,0.08842211961746216
4,0,0.0652444139122963
4,1,0.08376985788345337
4,2,0.08590117841959
4,3,0.04721776768565178
4,4,0.07876701653003693
4,5,0.08262787014245987
4,6,0.1295752078294754
4,7,0.021515855565667152
4,8,0.027209701016545296
4,9,0.04137764126062393
4,10,0.024641260504722595
4,11,0.07049360871315002
4,12,0.04530325159430504
4,13,0.02279770001769066
4,14,0.10528121143579483
4,15,0.09492779523134232
4,16,0.10248164087533951
4,17,0.08287529647350311
4,18,0.11114642769098282
4,19,0.09369779378175735
4,20,0.10585861653089523
4,21,0.09626278281211853
4,22,0.07314854115247726
4,23,0.09416968375444412
4,24,0.05699121579527855
4,25,0.07544703781604767
4,26,0.039972200989723206
4,27,0.06916682422161102
5,0,0.0751248225569725
5,1,0.09985295683145523
5,2,0.12172790616750717
5,3,0.10846865922212601
5,4,0.07756602764129639
5,5,0.04903002455830574
5,6,0.052701663225889206
5,7,0.0985463410615921
5,8,0.13659869134426117
5,9,0.10052436590194702
5,10,0.10074809193611145
5,11,0.09941934049129486
5,12,0.11110858619213104
5,13,0.16191229224205017
5,14,0.058566026389598846
5,15,0.04776511341333389
5,16,0.06523940712213516
5,17,0.0573318786919117
5,18,0.06047958508133888
5,19,0.05727541819214821
5,20,0.055571459233760834
5,21,0.03469284251332283
5,22,0.10189062356948853
5,23,0.09649927914142609
5,24,0.09313099086284637
5,25,0.06138411536812782
5,26,0.055277712643146515
5,27,0.07008110731840134
6,0,0.08242800086736679
6,1,0.10684379935264587
6,2,0.12297100573778152
6,3,0.10146479308605194
6,4,0.09657635539770126
6,5,0.09654762595891953
6,6,0.14806249737739563
6,7,0.11505794525146484
6,8,0.1249806135892868
6,9,0.15211988985538483
6,10,0.16342391073703766
6,11,0.13842889666557312
6,12,0.08210515230894089
6,13,0.1405457705259323
6,14,0.07692603021860123
6,15,0.15718361735343933
6,16,0.1119607612490654
6,17,0.07247289270162582
6,18,0.05018842592835426
6,19,0.055610086768865585
6,20,0.08299129456281662
6,21,0.12417112290859222
6,22,0.10218530148267746
6,23,0.10912013798952103
6,24,0.09408031404018402
6,25,0.09089726954698563
6,26,0.10751832276582718
6,27,0.09513667970895767
7,0,0.17424583435058594
7,1,0.1392807513475418
7,2,0.2288489043712616
7,3,0.16340424120426178
7,4,0.1803664267063141
7,5,0.14008444547653198
7,6,0.11500523239374161
7,7,0.17110584676265717
7,8,0.10513992607593536
7,9,0.1288255900144577
7,10,0.08017538487911224
7,11,0.09067916870117188
7,12,0.15000995993614197
7,13,0.13431230187416077
7,14,0.15890417993068695
7,15,0.0925421416759491
7,16,0.17835752665996552
7,17,0.08929938822984695
7,18,0.17317765951156616
7,19,0.11202605813741684
7,20,0.2658674120903015
7,21,0.10480473190546036
7,22,0.12265076488256454
7,23,0.0989438071846962
7,24,0.12367025762796402
7,25,0.0603075735270977
7,26,0.10003204643726349
7,27,0.11118815839290619
8,0,0.20529624819755554
8,1,0.19045747816562653
8,2,0.19770216941833496
8,3,0.16856910288333893
8,4,0.18807491660118103
8,5,0.1540876179933548
8,6,0.24403978884220123
8,7,0.12139724940061569
8,8,0.2512342035770416
8,9,0.15884144604206085
8,10,0.13587719202041626
8,11,0.21416231989860535
8,12,0.1919834017753601
8,13,0.14398770034313202
8,14,0.13646817207336426
8,15,0.10892429947853088
8,16,0.06342817097902298
8,17,0.09588354825973511
8,18,0.14763061702251434
8,19,0.06291146576404572
8,20,0.08997280150651932
8,21,0.10515450686216354
8,22,0.09695380181074142
8,23,0.04055941477417946
8,24,0.06965292990207672
8,25,0.0811377540230751
8,26,0.06172792240977287
8,27,0.07443094253540039
9,0,0.13313360512256622
9,1,0.24550755321979523
9,2,0.11420191824436188
9,3,0.15224403142929077
9,4,0.20237919688224792
9,5,0.27952033281326294
9,6,0.1534058004617691
9,7,0.15446870028972626
9,8,0.09610975533723831
9,9,0.13055944442749023
9,10,0.10923872888088226
9,11,0.10199350863695145
9,12,0.20933330059051514
9,13,0.2275768518447876
9,14,0.1331544816493988
9,15,0.18447384238243103
9,16,0.44049856066703796
9,17,0.10137377679347992
9,18,0.14544866979122162
9,19,0.128261998295784
9,20,0.20467118918895721
9,21,0.15998166799545288
9,22,0.21454855799674988
9,23,0.1846277266740799
9,24,0.10095754265785217
9,25,0.23719502985477448
9,26,0.08361295610666275
9,27,0.27415794134140015
10,0,0.12183649837970734
10,1,0.24641187489032745
10,2,0.15127214789390564
10,3,0.08977116644382477
10,4,0.15689203143119812
10,5,0.16239072382450104
10,6,0.1978956162929535
10,7,0.0860581025481224
10,8,0.09413577616214752
10,9,0.08675968647003174
10,10,0.12342237681150436
10,11,0.1749533712863922
10,12,0.05935773253440857
10,13,0.09766437113285065
10,14,0.2781742513179779
10,15,0.09820322692394257
10,16,0.08594506978988647
10,17,0.12987443804740906
10,18,0.1731436401605606
10,19,0.2003166228532791
10,20,0.1551344245672226
10,21,0.08935734629631042
10,22,0.13413776457309723
10,23,0.10184227675199509
10,24,0.23690709471702576
10,25,0.11414691060781479
10,26,0.10042676329612732
10,27,0.13844406604766846
11,0,0.0950353816151619
11,1,0.16506335139274597
11,2,0.07543977349996567
11,3,0.1320180892944336
11,4,0.13142162561416626
11,5,0.15237419307231903
11,6,0.16831058263778687
11,7,0.12109880894422531
11,8,0.10906475782394409
11,9,0.17688053846359253
11,10,0.14797934889793396
11,11,0.11867441982030869
11,12,0.08058548718690872
11,13,0.2081243097782135
11,14,0.12486334145069122
11,15,0.09811435639858246
11,16,0.1751231700181961
11,17,0.12913461029529572
11,18,0.16802625358104706
11,19,0.13897450268268585
11,20,0.07525854557752609
11,21,0.2167198359966278
11,22,0.23888875544071198
11,23,0.20536725223064423
11,24,0.1348896622657776
11,25,0.23613902926445007
11,26,0.13723868131637573
11,27,0.15957149863243103
12,0,0.3528110980987549
12,1,0.09979330003261566
12,2,0.2119130641222
12,3,0.19610242545604706
12,4,0.19707879424095154
12,5,0.10363325476646423
12,6,0.10498114675283432
12,7,0.07872546464204788
12,8,0.18305645883083344
12,9,0.20678243041038513
12,10,0.16215549409389496
12,11,0.12901607155799866
12,12,0.1304444819688797
12,13,0.13050420582294464
12,14,0.18403640389442444
12,15,0.19218865036964417
12,16,0.16237857937812805
12,17,0.21882709860801697
12,18,0.13012026250362396
12,19,0.14989931881427765
12,20,0.09830542653799057
12,21,0.2113175392150879
12,22,0.14464107155799866
12,23,0.16945819556713104
12,24,0.11529010534286499
12,25,0.15863046050071716
12,26,0.20696194469928741
12,27,0.08755629509687424
13,0,0.13611112534999847
13,1,0.15915369987487793
13,2,0.27345284819602966
13,3,0.12691636383533478
13,4,0.16260719299316406
13,5,0.12929674983024597
13,6,0.16256864368915558
13,7,0.11880075931549072
13,8,0.1408953070640564
13,9,0.19794362783432007
13,10,0.16415877640247345
13,11,0.14932632446289062
13,12,0.21486207842826843
13,13,0.38522017002105713
13,14,0.16871795058250427
13,15,0.12085287272930145
13,16,0.27618077397346497
13,17,0.1590404510498047
13,18,0.2853761911392212
13,19,0.20225848257541656
13,20,0.13892512023448944
13,21,0.11870127171278
13,22,0.13774047791957855
13,23,0.1138525903224945
13,24,0.18286961317062378
13,25,0.17884907126426697
13,26,0.16344964504241943
13,27,0.18651990592479706
14,0,0.054328057914972305
14,1,0.06919626891613007
14,2,0.060552239418029785
14,3,0.07347828894853592
14,4,0.03683549910783768
14,5,0.036709800362586975
14,6,0.07833246141672134
14,7,0.049907151609659195
14,8,0.09028550982475281
14,9,0.15219929814338684
14,10,0.12665832042694092
14,11,0.22117650508880615
14,12,0.14816470444202423
14,13,0.1789851039648056
14,14,0.13862457871437073
14,15,0.10653749853372574
14,16,0.11484262347221375
14,17,0.1452634334564209
14,18,0.08138632029294968
14,19,0.12875141203403473
14,20,0.189338818192482
14,21,0.27832603454589844
14,22,0.19972679018974304
14,23,0.1966150999069214
14,24,0.23435255885124207
14,25,0.3394352197647095
14,26,0.2773921489715576
14,27,0.37316015362739563
15,0,0.14746667444705963
15,1,0.09699367731809616
15,2,0.13192734122276306
15,3,0.13645054399967194
15,4,0.09956049174070358
15,5,0.19545935094356537
15,6,0.13968554139137268
15,7,0.12629421055316925
15,8,0.16413384675979614
15,9,0.19447125494480133
15,10,0.13348357379436493
15,11,0.2771982252597809
15,12,0.2083551585674286
15,13,0.19000627100467682
15,14,0.09663312882184982
15,15,0.05324316397309303
15,16,0.12335749715566635
15,17,0.10479343682527542
15,18,0.04301571100950241
15,19,0.09083900600671768
15,20,0.10839351266622543
15,21,0.12753991782665253
15,22,0.17298941314220428
15,23,0.3348047733306885
15,24,0.1582510620355606
15,25,0.12983375787734985
15,26,0.3085010349750519
15,27,0.15753035247325897
16,0,0.1277041882276535
16,1,0.1575957089662552
16,2,0.1817537546157837
16,3,0.1233726292848587
16,4,0.18857716023921967
16,5,0.1472122222185135
16,6,0.19916293025016785
16,7,0.111984021961689
16,8,0.20143266022205353
16,9,0.13107125461101532
16,10,0.07048444449901581
16,11,0.0606493279337883
16,12,0.12066751718521118
16,13,0.07822185754776001
16,14,0.12429075688123703
16,15,0.20080535113811493
16,16,0.138205423951149
16,17,0.15054918825626373
16,18,0.14629821479320526
16,19,0.25868216156959534
16,20,0.16284622251987457
16,21,0.2005595564842224
16,22,0.14293570816516876
16,23,0.14591360092163086
16,24,0.1331864595413208
16,25,0.17697304487228394
16,26,0.28253239393234253
16,27,0.09432618319988251
17,0,0.1222071722149849
17,1,0.1534995138645172
17,2,0.20394335687160492
17,3,0.1627843677997589
17,4,0.24470309913158417
17,5,0.19659113883972168
17,6,0.1969517469406128
