layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97845,0.96685,0.19909,
2,0.84172,0.87486,0.60617,
3,0.50496,0.4128,1.39703,
4,0.21516,0.14389,3.05414,
5,0.22238,0.15968,2.40468,
6,0.23502,0.20867,1.9823,
7,0.21967,0.16549,1.66734,
8,0.20758,0.16293,1.4744,
9,0.20449,0.18955,1.32533,
10,0.19873,0.18433,1.27156,
11,0.219,0.23282,1.2227,
12,0.21508,0.18731,1.1886,
13,0.26474,0.24819,1.10772,
14,0.28595,0.2518,1.08612,
15,0.29733,0.22388,1.07746,
16,0.28553,0.17528,1.08413,
17,0.30295,0.17293,1.04175,
18,0.29602,0.16675,1.04495,
19,0.30091,0.16327,1.0416,
20,0.26475,0.11552,1.07091,
21,0.25724,0.14964,1.0897,
22,0.25646,0.1238,1.09736,
23,0.26754,0.12201,1.09839,
24,0.27668,0.13117,1.0896,
25,0.2765,0.13503,1.09656,
26,0.28584,0.13471,1.09476,
27,0.28458,0.14238,1.10341,
28,0.29203,0.17078,1.10145,
29,0.30809,0.19144,1.09867,
30,0.29546,0.18294,1.1155,
31,0.2982,0.20221,1.14302,
32,0.22592,0.20271,1.23539,0.0733
