layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0584,0.0584,0.1928,0.2407,0.326,0.3138,0.2094,0.3194,0.1973,0.943,0.943,0.946,0.979,0.983,0.951,0.994,1.036,0.998,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0813,0.0813,0.3452,0.6969,3.5869,1.2747,0.3545,0.4609,0.5764,0.92,0.92,0.959,1.17,3.487,1.584,1.003,1.066,1.145,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0813,0.0813,0.3806,0.5757,2.7793,1.1739,1.2142,1.4607,1.45,0.92,0.92,0.936,0.967,2.921,1.302,1.496,1.603,1.633,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0813,0.0813,0.4,0.578,1.8605,3.1952,4.5863,4.8338,3.1896,0.92,0.92,0.916,0.95,1.878,3.25,4.645,4.874,3.201,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0813,0.0813,0.431,0.6027,1.4515,3.3731,4.1559,4.0939,2.4812,0.92,0.92,0.898,1.04,1.44,3.379,4.205,4.092,2.453,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0813,0.0813,0.4491,0.5721,1.2996,2.7687,3.6137,3.3688,2.0379,0.92,0.92,0.917,1.028,1.235,2.768,3.632,3.335,1.973,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.0813,0.0813,0.4543,0.5846,1.1396,2.1534,3.0826,2.8316,1.7123,0.92,0.92,0.906,1.011,1.031,2.094,3.053,2.738,1.568,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.0813,0.0813,0.4512,0.5708,1.021,1.8193,2.5759,2.4883,1.5161,0.92,0.92,0.918,1.011,0.894,1.753,2.535,2.385,1.302,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0813,0.0813,0.4571,0.5758,0.9835,1.6692,2.3914,2.2362,1.3582,0.921,0.921,0.915,0.996,0.866,1.569,2.332,2.092,1.076,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.0813,0.0813,0.4649,0.5693,0.9413,1.6309,2.315,2.1902,1.3011,0.92,0.92,0.915,0.994,0.861,1.54,2.23,2.029,0.981,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.0808,0.0808,0.4863,0.5857,0.8993,1.5754,2.1649,2.0812,1.2512,0.921,0.921,0.907,0.989,0.853,1.48,2.077,1.925,0.928,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.0808,0.0808,0.4881,0.5913,0.862,1.5111,2.0006,1.9621,1.2186,0.921,0.921,0.924,1.01,0.841,1.41,1.924,1.825,0.872,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.0808,0.0808,0.4754,0.5522,0.7857,1.3932,1.7674,1.7336,1.1385,0.921,0.921,0.911,0.999,0.786,1.299,1.679,1.589,0.795,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.0808,0.0808,0.4691,0.5293,0.7668,1.314,1.5996,1.5769,1.1211,0.921,0.921,0.913,0.973,0.795,1.214,1.467,1.369,0.797,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.0808,0.0808,0.4532,0.5271,0.737,1.2377,1.378,1.3836,1.1197,0.921,0.921,0.924,0.959,0.834,1.133,1.223,1.158,0.81,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.0808,0.0808,0.4484,0.5079,0.7208,1.1554,1.2805,1.2904,1.1321,0.921,0.921,0.94,0.962,0.828,0.989,1.106,1.023,0.812,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.0809,0.0809,0.4345,0.519,0.6768,1.0914,1.1996,1.1857,1.089,0.921,0.921,0.971,0.977,0.849,0.89,1.035,0.908,0.747,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
18,0.0809,0.0809,0.4193,0.5093,0.6719,1.0864,1.1239,1.1139,1.0955,0.921,0.921,0.968,0.983,0.856,0.859,0.907,0.779,0.748,534.4,534.4,13.9,10.0,12.1,10.3,10.3,11.9,11.6
19,0.0809,0.0809,0.3848,0.5244,0.6091,1.0753,1.0816,1.0735,1.0945,0.921,0.921,0.965,0.953,0.79,0.824,0.853,0.729,0.749,534.3,534.3,16.3,11.2,15.4,11.3,11.4,13.1,12.7
20,0.0809,0.0809,0.387,0.5493,0.6247,1.0671,1.0636,1.0533,1.1276,0.921,0.921,0.967,0.974,0.795,0.77,0.785,0.679,0.76,534.3,534.3,17.5,12.0,16.3,12.7,12.8,14.6,13.7
21,0.0809,0.0809,0.4035,0.5826,0.6321,1.079,1.0488,1.0347,1.1482,0.921,0.921,0.966,0.995,0.805,0.778,0.75,0.653,0.79,534.3,534.3,19.0,13.2,17.4,13.8,14.4,16.3,14.8
22,0.0809,0.0809,0.4036,0.617,0.6196,1.0962,1.054,1.0341,1.1562,0.921,0.921,0.959,1.013,0.799,0.773,0.755,0.659,0.802,534.3,534.3,21.2,14.5,19.5,15.2,16.5,18.7,16.4
23,0.0809,0.0809,0.4052,0.6677,0.6191,1.1265,1.0566,1.0288,1.1562,0.921,0.921,0.967,1.039,0.796,0.789,0.742,0.661,0.817,534.3,534.3,22.6,15.4,20.9,16.2,18.4,20.8,17.8
24,0.081,0.081,0.4049,0.718,0.6161,1.1324,1.0632,1.0019,1.1458,0.921,0.921,0.952,1.05,0.778,0.785,0.757,0.667,0.813,534.3,534.3,24.9,16.8,23.0,18.0,19.7,22.5,19.5
25,0.081,0.081,0.4132,0.7672,0.6092,1.1343,1.0581,0.9903,1.1531,0.921,0.921,0.959,1.049,0.788,0.776,0.754,0.664,0.828,534.3,534.3,27.0,18.2,24.6,19.8,21.5,24.2,21.2
26,0.081,0.081,0.4173,0.7981,0.6039,1.1518,1.0568,0.9669,1.1507,0.921,0.921,0.963,1.044,0.79,0.803,0.782,0.686,0.837,534.4,534.4,29.1,19.9,26.5,21.4,23.2,26.3,23.0
27,0.081,0.081,0.4362,0.8371,0.6287,1.1578,1.044,0.9613,1.1595,0.921,0.921,0.947,1.025,0.796,0.82,0.768,0.672,0.852,534.5,534.5,31.4,21.7,27.5,22.9,25.0,28.3,25.2
28,0.081,0.081,0.4366,0.8852,0.6232,1.1634,1.0425,0.9472,1.1568,0.921,0.921,0.955,1.029,0.819,0.826,0.797,0.68,0.86,534.6,534.6,34.3,23.7,30.3,25.3,27.1,31.3,27.7
29,0.081,0.081,0.4567,0.9243,0.6417,1.1821,1.0457,0.9371,1.1524,0.921,0.921,0.966,1.018,0.834,0.859,0.816,0.704,0.88,534.7,534.7,36.5,26.0,31.8,27.4,29.8,34.3,30.5
30,0.081,0.081,0.5027,0.9448,0.6961,1.2068,1.0198,0.9232,1.1696,0.921,0.921,0.978,1.027,0.851,0.89,0.83,0.717,0.893,535.1,535.1,37.9,28.6,33.1,30.3,33.7,38.5,33.9
31,0.082,0.082,0.5947,0.9849,0.81,1.2503,1.0577,0.9649,1.1946,0.921,0.921,1.02,1.02,0.916,0.901,0.881,0.776,0.954,532.9,532.9,40.0,32.5,34.8,35.0,36.8,41.4,37.9
32,0.2541,0.2541,0.7144,1.0722,1.1077,1.5257,1.3248,1.291,1.2721,0.936,0.936,1.0,1.006,0.961,1.135,1.04,1.042,1.008,142.9,142.9,149.0,148.0,148.3,130.6,140.1,140.8,143.0
