layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99148,0.99469,0.11975,
2,0.99237,0.99615,0.11235,
3,0.99147,0.99572,0.12043,
4,0.98923,0.99318,0.13436,
5,0.97724,0.98922,0.24476,
6,0.96213,0.97149,0.26914,
7,0.94457,0.94288,0.33352,
8,0.928,0.92805,0.37912,
9,0.90094,0.89915,0.44961,
10,0.88697,0.87762,0.47672,
11,0.87054,0.85211,0.50314,
12,0.85152,0.82481,0.55111,
13,0.84103,0.81583,0.5623,
14,0.82645,0.80309,0.57913,
15,0.81073,0.78934,0.59897,
16,0.8072,0.79896,0.60136,
17,0.79685,0.77367,0.61455,
18,0.78058,0.74912,0.63734,
19,0.77133,0.73158,0.65372,
20,0.76323,0.71551,0.6666,
21,0.75605,0.72597,0.66962,
22,0.75494,0.74519,0.67006,
23,0.74508,0.73783,0.67656,
24,0.74414,0.7468,0.67618,
25,0.73595,0.76443,0.6913,
26,0.72155,0.76368,0.70632,
27,0.6951,0.7308,0.7383,
28,0.67965,0.70379,0.76043,
29,0.69593,0.70315,0.74641,
30,0.68761,0.7055,0.7619,
31,0.69093,0.6788,0.76721,
32,0.69378,0.68515,0.77258,
33,0.68545,0.66447,0.78377,
34,0.68163,0.62626,0.78805,
35,0.70321,0.66923,0.76923,
36,0.70769,0.64897,0.76622,
37,0.71109,0.63594,0.77301,
38,0.72274,0.66678,0.76357,
39,0.72414,0.68113,0.76443,
40,0.72312,0.67377,0.77111,
41,0.73406,0.69147,0.75866,
42,0.73586,0.70449,0.76137,
43,0.72932,0.70323,0.76893,
44,0.72605,0.69008,0.76721,
45,0.71992,0.68173,0.77038,
46,0.72688,0.67074,0.76597,
47,0.77158,0.72695,0.68983,
48,0.62863,0.54748,0.83383,0.4535
