layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.4,1.5,1.6,1.6,1.5,1.4,1.6,1.4
1,0.2146,0.1621,0.1429,0.1026,0.1161,0.1333,0.1809,0.0702,0.117,1.001,1.005,0.981,1.007,0.999,0.993,1.005,1.001,0.998,19.6,31.9,21.5,26.1,31.6,25.2,25.5,20.0,22.8
2,0.1986,0.1583,0.11,0.0959,0.1115,0.1218,0.1751,0.0603,0.1102,1.068,1.005,0.976,1.005,1.004,0.992,1.007,1.006,0.998,28.8,34.1,30.6,30.3,34.6,28.6,27.1,26.5,26.0
3,0.2123,0.1647,0.1004,0.0954,0.1151,0.1247,0.1711,0.0622,0.1191,1.11,1.003,1.0,1.007,1.009,1.003,1.012,1.002,0.997,37.9,36.6,37.7,34.6,36.9,34.5,31.3,32.2,29.4
4,0.2364,0.1826,0.1143,0.1078,0.1207,0.1279,0.1963,0.0786,0.133,1.054,0.988,0.995,1.002,1.002,1.007,1.0,0.999,0.994,39.4,41.1,40.1,38.4,40.6,41.2,42.3,35.2,35.0
5,0.6478,0.3277,3.9228,0.304,0.1609,0.1657,0.2546,0.352,0.1729,1.387,1.049,4.548,1.133,1.017,1.032,1.023,1.197,1.018,74.7,49.4,130.5,42.2,47.7,47.1,59.5,37.5,39.5
6,0.4652,0.3427,0.9145,0.4122,0.3083,0.2717,0.3407,0.4403,0.2462,1.225,0.973,0.147,1.118,1.017,1.039,0.995,1.184,1.03,96.1,60.6,4064.0,46.5,53.0,50.3,69.0,40.3,44.5
7,0.4143,0.3957,0.9245,0.4557,0.329,0.3024,0.4456,0.4698,0.3152,1.136,0.929,0.128,1.049,1.002,1.002,1.068,1.169,1.03,111.7,69.0,4691.7,48.9,56.2,58.9,77.7,42.9,48.7
8,0.4195,0.4326,0.9243,0.4532,0.3517,0.3341,0.5167,0.4523,0.3645,1.112,0.903,0.128,0.98,1.007,0.994,1.015,1.11,1.016,112.9,74.0,4744.0,54.0,60.2,62.0,82.0,44.3,52.2
9,0.419,0.4248,0.9241,0.462,0.4008,0.3965,0.5715,0.4772,0.4413,1.117,0.871,0.128,0.977,0.982,0.948,0.855,1.036,1.022,115.9,85.2,4787.6,59.3,67.0,70.1,98.6,51.0,56.8
10,0.4057,0.4198,0.924,0.4601,0.3923,0.4206,0.6056,0.4705,0.4717,1.045,0.84,0.128,0.941,0.964,0.975,0.845,1.014,1.009,128.3,106.1,4805.0,68.3,78.2,75.3,101.9,57.6,64.0
11,0.4139,0.4357,0.924,0.491,0.4167,0.4587,0.6427,0.485,0.4989,0.955,0.794,0.126,0.919,0.923,0.928,0.855,0.978,0.977,143.7,127.8,4872.8,75.8,86.5,83.0,104.9,65.1,71.4
12,0.4083,0.4357,0.9241,0.52,0.4332,0.4757,0.6612,0.4894,0.5521,0.929,0.784,0.126,0.883,0.903,0.959,0.85,0.977,1.025,154.7,138.8,4881.8,82.0,91.1,88.7,111.8,74.2,75.7
13,0.3623,0.3968,0.9243,0.5622,0.4655,0.5359,0.6969,0.4974,0.5631,0.919,0.785,0.126,0.849,0.854,0.909,0.833,0.933,0.999,183.6,163.6,4908.6,86.8,97.9,91.8,115.8,82.0,78.2
14,0.3674,0.4049,0.9245,0.6072,0.5016,0.5596,0.7231,0.4943,0.5798,0.924,0.787,0.125,0.821,0.827,0.875,0.83,0.897,0.968,179.6,159.8,4926.4,87.5,99.5,93.6,116.6,89.7,79.5
15,0.3653,0.3977,0.9248,0.6283,0.5267,0.5883,0.7403,0.5112,0.6006,0.933,0.81,0.124,0.811,0.808,0.861,0.814,0.867,0.941,180.5,158.2,4953.7,88.3,101.7,95.9,116.1,93.6,80.6
16,0.3813,0.3977,0.9253,0.638,0.5347,0.5956,0.7333,0.5348,0.6023,0.944,0.814,0.123,0.817,0.795,0.867,0.787,0.878,0.927,171.8,154.1,4995.9,88.1,100.7,92.7,114.6,88.1,81.6
17,0.3743,0.3882,0.9255,0.6365,0.5482,0.5959,0.7423,0.5415,0.617,0.952,0.827,0.123,0.787,0.782,0.86,0.731,0.843,0.916,176.7,157.5,5023.4,94.5,102.7,95.5,122.2,92.7,83.7
18,0.3781,0.3903,0.9254,0.6474,0.5533,0.6075,0.7472,0.5794,0.6416,0.953,0.826,0.122,0.751,0.779,0.866,0.706,0.805,0.908,177.6,160.3,5042.0,99.0,103.9,96.2,127.8,95.9,86.0
19,0.3903,0.402,0.9257,0.6376,0.5588,0.627,0.7615,0.6021,0.6589,0.932,0.816,0.122,0.791,0.787,0.872,0.718,0.835,0.926,176.9,161.4,5051.4,101.4,105.2,96.8,126.7,97.4,87.9
20,0.4083,0.4016,0.926,0.6525,0.5616,0.6292,0.7547,0.6365,0.6725,0.927,0.811,0.121,0.785,0.779,0.874,0.723,0.877,0.929,174.5,166.1,5096.0,101.3,107.3,98.0,127.9,93.2,89.2
21,0.4407,0.4053,0.9258,0.6551,0.5831,0.6445,0.7466,0.6663,0.6741,0.946,0.818,0.121,0.769,0.743,0.833,0.69,0.815,0.896,169.6,167.1,5123.5,101.8,109.2,99.5,134.3,98.2,91.0
22,0.4815,0.4069,0.926,0.6465,0.5801,0.6454,0.7651,0.699,0.6732,0.93,0.814,0.12,0.767,0.739,0.82,0.69,0.758,0.894,161.4,168.4,5142.0,103.0,111.8,100.7,133.4,101.4,93.0
23,0.4992,0.4152,0.926,0.6263,0.5803,0.6551,0.75,0.7039,0.6805,0.912,0.814,0.115,0.762,0.735,0.814,0.657,0.793,0.858,160.5,170.1,5552.7,107.8,111.4,100.1,139.6,101.0,95.5
24,0.5105,0.4273,0.9255,0.6141,0.5753,0.6462,0.7579,0.716,0.6798,0.926,0.826,0.114,0.762,0.756,0.836,0.682,0.8,0.847,164.8,171.6,5641.8,110.7,112.8,100.7,134.5,100.8,100.7
25,0.5251,0.43,0.9258,0.6288,0.5873,0.6577,0.7496,0.7485,0.6956,0.879,0.813,0.113,0.735,0.737,0.862,0.693,0.779,0.874,167.6,181.0,5668.7,115.1,119.6,101.5,140.8,111.6,106.2
26,0.5359,0.4377,0.9249,0.6446,0.6166,0.6738,0.7543,0.7733,0.7109,0.875,0.82,0.113,0.756,0.727,0.853,0.675,0.728,0.864,166.7,179.9,5686.9,112.8,124.2,103.8,146.5,115.2,109.9
27,0.5531,0.4533,0.9237,0.6544,0.6312,0.6826,0.7768,0.8018,0.7453,0.864,0.819,0.114,0.759,0.709,0.836,0.682,0.742,0.867,172.0,184.1,5761.8,114.6,127.2,104.1,142.3,118.2,111.2
28,0.4448,0.4279,0.9193,0.6712,0.6375,0.6932,0.7706,0.8289,0.772,0.858,0.819,0.116,0.774,0.728,0.853,0.674,0.769,0.886,199.3,194.9,5870.7,116.8,131.3,107.1,148.6,123.2,116.0
29,0.4291,0.4283,0.9193,0.6477,0.6389,0.6825,0.7859,0.8212,0.7567,0.845,0.823,0.116,0.811,0.759,0.844,0.676,0.779,0.908,213.0,206.3,5898.6,127.0,135.3,111.6,148.7,126.0,123.3
30,0.4354,0.4398,0.9183,0.6551,0.6592,0.693,0.7857,0.7989,0.7737,0.876,0.865,0.117,0.863,0.794,0.851,0.721,0.767,0.932,223.8,217.7,5917.1,132.3,140.0,114.8,157.4,137.3,129.3
31,0.44,0.4431,0.9175,0.6212,0.6604,0.6772,0.7927,0.8418,0.7796,0.916,0.909,0.118,0.897,0.844,0.884,0.739,0.829,0.963,237.2,235.1,5917.0,147.2,150.3,118.0,164.6,141.3,137.4
