layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.9888,0.98158,0.14269,
2,0.93182,0.94908,0.32181,
3,0.93238,0.93089,0.33487,
4,0.93157,0.92317,0.34028,
5,0.93085,0.92265,0.33871,
6,0.9295,0.93799,0.34765,
7,0.92733,0.93915,0.35368,
8,0.92299,0.94113,0.36188,
9,0.91731,0.93941,0.37565,
10,0.91455,0.93608,0.37992,
11,0.90903,0.93489,0.38912,
12,0.90267,0.92393,0.40416,
13,0.90897,0.935,0.38901,
14,0.90782,0.92877,0.39343,
15,0.90771,0.93055,0.39371,
16,0.908,0.92763,0.39132,
17,0.91075,0.93074,0.38112,
18,0.90959,0.92945,0.38476,
19,0.91104,0.93373,0.38172,
20,0.90585,0.93055,0.39276,
21,0.8996,0.92286,0.40496,
22,0.89312,0.91877,0.41786,
23,0.88618,0.91607,0.42974,
24,0.87954,0.91688,0.43851,
25,0.87202,0.91803,0.4509,
26,0.86452,0.91387,0.46251,
27,0.85468,0.91281,0.47832,
28,0.85153,0.90674,0.4842,
29,0.8441,0.90301,0.49579,
30,0.83523,0.89712,0.51037,
31,0.82513,0.88263,0.53777,
32,0.80283,0.84803,0.56869,0.7242
