layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0054,0.0054,0.1366,0.1746,0.2233,0.2394,0.158,0.2528,0.142,1.002,1.002,1.007,0.994,0.989,1.006,1.039,1.034,1.006,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0315,0.0315,0.2345,0.2858,1.2729,0.3794,0.2216,0.3215,0.3194,0.97,0.97,0.987,1.018,1.484,1.027,1.033,1.045,1.04,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0315,0.0315,0.2745,0.305,1.067,0.3548,0.2417,0.3098,0.3363,0.97,0.97,0.963,1.019,1.371,0.954,1.01,0.993,1.005,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0315,0.0315,0.2895,0.3391,0.7719,0.3668,0.2601,0.325,0.3454,0.97,0.97,0.986,1.023,0.953,0.977,0.978,0.99,1.004,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0315,0.0315,0.3078,0.3609,0.6711,0.3587,0.2886,0.3373,0.3439,0.97,0.97,0.978,1.039,0.894,0.971,0.994,1.015,0.981,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0316,0.0316,0.323,0.3687,0.6446,0.3746,0.3239,0.3509,0.353,0.97,0.97,0.979,1.01,0.928,0.973,1.027,1.016,0.992,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.0316,0.0316,0.324,0.3879,0.6191,0.3494,0.3321,0.3474,0.3601,0.97,0.97,0.963,1.027,0.937,0.92,1.042,1.004,0.99,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.0316,0.0316,0.3256,0.391,0.5702,0.333,0.3241,0.3423,0.3705,0.97,0.97,0.952,0.995,0.907,0.924,1.021,0.996,0.994,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0316,0.0316,0.3235,0.4084,0.5552,0.3363,0.3131,0.3381,0.3861,0.97,0.97,0.961,1.035,0.931,0.98,1.023,0.981,1.008,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.0316,0.0316,0.3399,0.3838,0.5351,0.3565,0.3071,0.3212,0.3913,0.97,0.97,0.958,0.996,0.943,0.998,1.016,0.986,1.008,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
