layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99561,0.99353,0.08969,
2,0.9381,0.96422,0.29331,
3,0.94832,0.96023,0.28248,
4,0.94953,0.95524,0.27417,
5,0.95234,0.94878,0.26404,
6,0.95414,0.96099,0.26367,
7,0.954,0.9602,0.26551,
8,0.95107,0.96054,0.27141,
9,0.94791,0.95923,0.27887,
10,0.94693,0.95808,0.28023,
11,0.94428,0.95921,0.28682,
12,0.94045,0.95309,0.29688,
13,0.94461,0.96109,0.28391,
14,0.94384,0.95786,0.28589,
15,0.94458,0.95966,0.28412,
16,0.94447,0.95867,0.28245,
17,0.9464,0.96179,0.27576,
18,0.94586,0.96077,0.27693,
19,0.9474,0.96333,0.27551,
20,0.9434,0.96082,0.2844,
21,0.93958,0.95732,0.29398,
22,0.93468,0.95698,0.30391,
23,0.92949,0.95562,0.31497,
24,0.92525,0.95499,0.32436,
25,0.91893,0.95586,0.33798,
26,0.91345,0.95352,0.34962,
27,0.90507,0.95381,0.36464,
28,0.90183,0.95085,0.37252,
29,0.89549,0.94945,0.38348,
30,0.88811,0.94571,0.39647,
31,0.88273,0.94034,0.41391,
32,0.86942,0.92648,0.44474,0.8022
