layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0082,0.0082,0.0893,0.1128,0.153,0.1569,0.0959,0.1457,0.089,0.998,0.998,1.024,1.013,1.051,1.021,1.001,1.021,1.005,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0316,0.0316,0.1548,0.284,1.3283,0.463,0.1405,0.2144,0.2895,0.97,0.97,1.018,1.034,1.556,1.118,0.996,1.039,1.055,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0316,0.0316,0.1868,0.2558,0.9834,0.3438,0.1552,0.2024,0.2841,0.97,0.97,1.009,0.998,1.295,0.985,0.975,0.996,1.009,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0316,0.0316,0.1928,0.2708,0.7334,0.3342,0.1746,0.2147,0.2778,0.97,0.97,1.01,0.988,0.895,0.968,0.978,0.991,0.983,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0316,0.0316,0.2001,0.2818,0.6541,0.3235,0.1988,0.2213,0.267,0.97,0.97,0.998,1.0,0.837,0.962,0.99,0.996,0.975,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0316,0.0316,0.2136,0.2906,0.624,0.3206,0.2182,0.2318,0.2662,0.97,0.97,0.998,0.976,0.908,0.972,0.99,1.011,0.982,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.0316,0.0316,0.2173,0.296,0.5919,0.3044,0.223,0.2286,0.2688,0.97,0.97,0.994,0.994,0.945,0.969,1.0,1.014,0.975,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.0316,0.0316,0.2127,0.2912,0.5368,0.2865,0.2263,0.2355,0.2765,0.97,0.97,0.991,0.989,0.92,0.959,1.006,1.022,0.979,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0316,0.0316,0.2144,0.2986,0.5197,0.2779,0.2276,0.2343,0.2852,0.97,0.97,0.978,0.989,0.945,0.974,0.994,1.017,0.987,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.0316,0.0316,0.2193,0.2862,0.494,0.2866,0.2284,0.2292,0.2871,0.97,0.97,0.98,0.999,0.964,0.994,1.005,1.008,0.981,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.0314,0.0314,0.2242,0.3052,0.4801,0.2961,0.234,0.2286,0.2941,0.97,0.97,0.982,0.981,0.956,1.002,0.993,1.013,0.985,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.0314,0.0314,0.2268,0.3058,0.4671,0.2957,0.2372,0.2274,0.3055,0.97,0.97,0.988,0.981,0.969,1.011,1.001,1.027,0.988,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.0314,0.0314,0.2229,0.294,0.438,0.2832,0.2176,0.2116,0.2924,0.97,0.97,0.985,0.984,0.973,1.02,0.995,1.026,0.988,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.0314,0.0314,0.2213,0.2839,0.4321,0.2887,0.2032,0.1887,0.2954,0.97,0.97,0.985,0.984,0.988,1.028,0.996,1.023,0.99,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.0314,0.0314,0.2197,0.269,0.4202,0.2923,0.1949,0.1703,0.2941,0.97,0.97,0.982,1.012,0.998,1.036,0.982,1.016,0.99,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.0314,0.0314,0.2151,0.2603,0.4059,0.3021,0.204,0.1607,0.2926,0.97,0.97,0.98,1.004,1.009,1.026,1.008,1.02,0.993,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.0314,0.0314,0.2098,0.2633,0.3792,0.3064,0.2027,0.1564,0.2855,0.97,0.97,0.989,1.018,1.032,1.023,1.003,1.024,0.99,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
18,0.0315,0.0315,0.2082,0.2551,0.3603,0.3338,0.2108,0.1455,0.2869,0.97,0.97,0.986,1.032,1.041,1.022,1.03,1.023,0.99,534.4,534.4,13.9,10.0,12.1,10.3,10.3,11.9,11.6
19,0.0315,0.0315,0.1953,0.2539,0.3245,0.356,0.2185,0.1488,0.2856,0.97,0.97,0.983,1.035,1.092,1.015,1.046,1.024,0.992,534.3,534.3,16.3,11.2,15.4,11.3,11.4,13.1,12.7
20,0.0315,0.0315,0.1966,0.2692,0.3252,0.3572,0.2275,0.1562,0.2951,0.97,0.97,0.985,1.035,1.106,1.026,1.069,1.033,0.995,534.3,534.3,17.5,12.0,16.3,12.7,12.8,14.6,13.7
21,0.0315,0.0315,0.2057,0.2867,0.3278,0.379,0.2252,0.1564,0.3052,0.97,0.97,0.967,1.044,1.101,1.025,1.072,1.034,0.994,534.3,534.3,19.0,13.2,17.4,13.8,14.4,16.3,14.8
22,0.0315,0.0315,0.203,0.3087,0.3108,0.393,0.237,0.1595,0.3159,0.97,0.97,0.981,1.045,1.106,1.027,1.072,1.036,0.991,534.3,534.3,21.2,14.5,19.5,15.2,16.5,18.7,16.4
23,0.0315,0.0315,0.2054,0.3299,0.3092,0.4222,0.2461,0.1588,0.3275,0.97,0.97,0.985,1.051,1.121,1.046,1.074,1.033,0.992,534.3,534.3,22.6,15.4,20.9,16.2,18.4,20.8,17.8
24,0.0315,0.0315,0.201,0.3523,0.2983,0.4332,0.2606,0.163,0.3376,0.97,0.97,0.98,1.045,1.121,1.044,1.077,1.029,0.99,534.3,534.3,24.9,16.8,23.0,18.0,19.7,22.5,19.5
25,0.0315,0.0315,0.2058,0.3742,0.3053,0.4526,0.2704,0.1699,0.3519,0.97,0.97,0.985,1.036,1.136,1.043,1.071,1.03,0.991,534.3,534.3,27.0,18.2,24.6,19.8,21.5,24.2,21.2
26,0.0315,0.0315,0.209,0.3938,0.3005,0.4725,0.2762,0.1714,0.3643,0.97,0.97,0.986,1.036,1.138,1.04,1.066,1.027,0.992,534.4,534.4,29.1,19.9,26.5,21.4,23.2,26.3,23.0
27,0.0315,0.0315,0.2152,0.4235,0.312,0.4916,0.2875,0.1777,0.38,0.97,0.97,0.986,1.033,1.149,1.044,1.067,1.028,0.991,534.5,534.5,31.4,21.7,27.5,22.9,25.0,28.3,25.2
28,0.0315,0.0315,0.2172,0.4492,0.3051,0.5076,0.2985,0.1785,0.3881,0.97,0.97,0.988,1.034,1.137,1.051,1.066,1.024,0.991,534.6,534.6,34.3,23.7,30.3,25.3,27.1,31.3,27.7
29,0.0315,0.0315,0.2254,0.4788,0.305,0.5099,0.3074,0.1843,0.3996,0.97,0.97,0.983,1.033,1.125,1.045,1.055,1.021,0.989,534.7,534.7,36.5,26.0,31.8,27.4,29.8,34.3,30.5
30,0.0316,0.0316,0.2432,0.5124,0.321,0.514,0.3023,0.1833,0.4133,0.97,0.97,0.986,1.027,1.109,1.044,1.051,1.01,0.99,535.1,535.1,37.9,28.6,33.1,30.3,33.7,38.5,33.9
31,0.032,0.032,0.2792,0.5653,0.3644,0.5273,0.3174,0.1939,0.4302,0.97,0.97,1.005,1.014,1.095,1.015,1.039,1.011,0.994,532.9,532.9,40.0,32.5,34.8,35.0,36.8,41.4,37.9
32,0.1122,0.1122,0.3418,0.6553,0.4217,0.4668,0.337,0.2158,0.4594,0.997,0.997,0.997,1.001,1.004,1.011,0.998,0.996,1.004,142.9,142.9,149.0,148.0,148.3,130.6,140.1,140.8,143.0
