layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.98558,0.9823,0.17046,
2,0.78649,0.8849,0.74225,
3,0.62322,0.56629,0.95813,
4,0.54733,0.4489,1.06583,
5,0.55263,0.45027,0.96041,
6,0.55061,0.47414,0.89777,
7,0.55411,0.47873,0.87065,
8,0.55114,0.4803,0.87571,
9,0.55958,0.49164,0.85653,
10,0.57455,0.48276,0.84702,
11,0.56,0.4823,0.85292,
12,0.55371,0.46716,0.85692,
13,0.59618,0.55604,0.82279,
14,0.61161,0.54393,0.81107,
15,0.63319,0.54597,0.78714,
16,0.65503,0.55709,0.76868,
17,0.6801,0.58722,0.74802,
18,0.68974,0.58035,0.74411,
19,0.70571,0.59696,0.72349,
20,0.70562,0.5582,0.7247,
21,0.70275,0.52689,0.72772,
22,0.70211,0.51405,0.73182,
23,0.69896,0.51182,0.74331,
24,0.70021,0.51025,0.73624,
25,0.69787,0.5195,0.74286,
26,0.69446,0.5256,0.74761,
27,0.68813,0.53339,0.76088,
28,0.68831,0.53869,0.76687,
29,0.68678,0.55072,0.77424,
30,0.67672,0.55589,0.79162,
31,0.65516,0.53753,0.83512,
32,0.59972,0.43901,0.84636,0.4854
