layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.044,0.044,0.1992,0.1899,0.2671,0.2387,0.1679,0.2689,0.1697,0.992,0.992,0.894,0.968,0.856,0.899,0.968,0.982,0.965,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0312,0.0312,0.6287,0.6883,0.7441,0.7829,0.3244,1.1932,0.7656,1.001,1.001,1.051,1.125,1.062,1.089,0.991,1.465,1.226,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0269,0.0269,0.7111,0.7249,0.7491,0.7399,0.3756,0.9317,1.0098,1.001,1.001,0.974,1.072,1.07,0.957,0.893,1.039,1.211,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0234,0.0234,0.6702,0.703,0.6234,0.6894,0.3929,0.8557,1.1362,1.0,1.0,0.942,0.977,0.875,0.848,0.885,0.863,1.222,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0203,0.0203,0.667,0.6633,0.587,0.6396,0.4147,0.8284,1.0201,1.0,1.0,0.843,0.934,0.825,0.787,0.93,0.813,1.005,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0196,0.0196,0.6715,0.6433,0.5885,0.6295,0.4581,0.8305,0.9491,1.0,1.0,0.796,0.919,0.838,0.834,0.97,0.872,0.881,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.018,0.018,0.687,0.6519,0.5892,0.604,0.469,0.7892,0.9188,1.0,1.0,0.814,0.96,0.841,0.828,0.987,0.869,0.844,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.018,0.018,0.7062,0.6629,0.5768,0.5871,0.4862,0.7921,0.924,1.0,1.0,0.893,0.949,0.875,0.832,1.023,0.923,0.873,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0172,0.0172,0.7111,0.6869,0.5777,0.5707,0.4867,0.7577,0.9027,1.0,1.0,0.889,0.999,0.906,0.822,1.009,0.917,0.854,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.017,0.017,0.7255,0.6916,0.5864,0.5805,0.5213,0.7699,0.8907,1.0,1.0,0.891,1.016,0.939,0.882,1.096,1.008,0.876,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.017,0.017,0.7353,0.7125,0.5983,0.5841,0.4929,0.767,0.8971,1.0,1.0,0.867,0.984,0.935,0.884,1.054,0.999,0.857,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
