layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.99193,0.99368,0.10866,
2,0.9288,0.91108,0.35914,
3,0.93887,0.93153,0.32688,
4,0.93841,0.92941,0.32689,
5,0.94059,0.92391,0.32176,
6,0.93962,0.93838,0.32524,
7,0.93765,0.93528,0.33126,
8,0.93476,0.93994,0.33612,
9,0.92948,0.93341,0.3449,
10,0.92685,0.91967,0.34921,
11,0.92198,0.91737,0.3588,
12,0.91566,0.90631,0.37245,
13,0.92331,0.91651,0.35388,
14,0.92227,0.90196,0.3558,
15,0.92189,0.89772,0.35471,
16,0.92217,0.88589,0.35152,
17,0.9265,0.88974,0.33906,
18,0.92665,0.88606,0.3386,
19,0.92848,0.8872,0.33583,
20,0.92599,0.87879,0.34254,
21,0.92191,0.86738,0.3525,
22,0.9195,0.86556,0.35875,
23,0.91617,0.86474,0.3682,
24,0.91379,0.86457,0.37515,
25,0.90887,0.86702,0.38722,
26,0.90364,0.86236,0.39905,
27,0.89634,0.86411,0.41297,
28,0.89311,0.85792,0.42106,
29,0.88631,0.85172,0.43442,
30,0.87765,0.84242,0.4486,
31,0.86727,0.82904,0.47019,
32,0.8502,0.80132,0.5078,0.7267
