layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0293,0.0293,0.0533,0.0583,0.0739,0.0762,0.0456,0.0746,0.115,0.972,0.972,0.994,0.989,1.036,0.989,1.0,0.986,0.998,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0925,0.0925,0.2937,0.2137,1.3639,0.5394,0.1318,0.2269,0.3577,0.91,0.91,1.045,1.011,1.622,1.148,1.0,1.017,1.044,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0925,0.0925,0.2364,0.1917,1.0212,0.3764,0.165,0.2135,0.3301,0.91,0.91,1.005,0.986,1.368,0.977,0.988,0.964,0.994,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0925,0.0925,0.2203,0.2115,0.7254,0.3381,0.1689,0.2069,0.3351,0.91,0.91,0.976,1.0,0.946,0.969,0.981,0.98,0.987,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0925,0.0925,0.2183,0.21,0.6166,0.3009,0.1708,0.1968,0.3317,0.91,0.91,0.948,0.999,0.864,0.983,0.99,0.986,0.978,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0925,0.0925,0.2136,0.1966,0.5693,0.2825,0.1786,0.1956,0.3367,0.91,0.91,0.946,0.995,0.908,0.977,1.006,0.975,0.981,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.0925,0.0925,0.2013,0.1959,0.5267,0.2545,0.1848,0.19,0.3446,0.91,0.91,0.964,1.006,0.952,0.987,1.017,0.995,0.991,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.0925,0.0925,0.1872,0.1928,0.472,0.2328,0.1842,0.1887,0.3515,0.91,0.91,0.975,1.002,0.923,0.975,1.013,1.001,0.991,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0925,0.0925,0.1843,0.1918,0.4572,0.2208,0.1852,0.1811,0.3619,0.91,0.91,0.966,0.999,0.938,0.986,1.005,1.003,0.985,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.0925,0.0925,0.1842,0.182,0.4323,0.2254,0.1874,0.1736,0.3673,0.91,0.91,0.964,1.002,0.947,1.007,1.0,1.002,0.983,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.0919,0.0919,0.1877,0.189,0.4259,0.2226,0.1951,0.1703,0.378,0.911,0.911,0.959,1.0,0.945,1.006,1.011,0.994,0.982,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.0919,0.0919,0.1863,0.1926,0.4146,0.219,0.1988,0.1702,0.3934,0.911,0.911,0.961,0.993,0.951,1.005,1.009,0.996,0.985,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.0919,0.0919,0.1798,0.1864,0.3775,0.2084,0.1877,0.158,0.3739,0.911,0.911,0.966,0.986,0.955,1.009,1.009,1.001,0.982,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.0919,0.0919,0.1766,0.1839,0.3632,0.2107,0.1772,0.1458,0.3766,0.911,0.911,0.977,0.987,0.96,1.014,1.003,1.002,0.988,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.0919,0.0919,0.1687,0.1765,0.3517,0.2081,0.1674,0.1358,0.3761,0.911,0.911,0.984,0.992,0.978,1.011,0.995,0.988,0.989,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.0919,0.0919,0.1656,0.1666,0.3354,0.2101,0.1755,0.1318,0.373,0.911,0.911,0.985,1.004,0.988,0.994,1.01,0.995,0.99,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.0919,0.0919,0.1531,0.1702,0.3035,0.2136,0.1749,0.1228,0.3597,0.911,0.911,0.985,1.007,0.998,0.999,1.015,1.006,0.988,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
18,0.0919,0.0919,0.1486,0.1656,0.2832,0.2352,0.1798,0.114,0.3595,0.911,0.911,0.992,1.007,1.003,1.006,1.029,1.02,0.994,534.4,534.4,13.9,10.0,12.1,10.3,10.3,11.9,11.6
19,0.092,0.092,0.1345,0.1649,0.2326,0.2486,0.1892,0.1161,0.357,0.911,0.911,1.002,1.006,1.008,1.007,1.034,1.025,0.995,534.3,534.3,16.3,11.2,15.4,11.3,11.4,13.1,12.7
20,0.092,0.092,0.1351,0.1748,0.2262,0.2496,0.1962,0.1173,0.3644,0.911,0.911,1.004,1.008,1.017,1.018,1.058,1.031,1.002,534.3,534.3,17.5,12.0,16.3,12.7,12.8,14.6,13.7
21,0.092,0.092,0.1352,0.1853,0.2233,0.255,0.2027,0.1186,0.3753,0.911,0.911,1.004,1.007,1.02,1.009,1.071,1.036,1.004,534.3,534.3,19.0,13.2,17.4,13.8,14.4,16.3,14.8
22,0.092,0.092,0.1302,0.1954,0.2076,0.2638,0.2154,0.1138,0.3823,0.911,0.911,1.007,1.001,1.016,0.999,1.079,1.028,1.002,534.3,534.3,21.2,14.5,19.5,15.2,16.5,18.7,16.4
23,0.092,0.092,0.1295,0.2079,0.2022,0.2845,0.2198,0.1151,0.3925,0.911,0.911,1.011,1.0,1.022,1.003,1.078,1.032,1.004,534.3,534.3,22.6,15.4,20.9,16.2,18.4,20.8,17.8
