layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97526,0.96066,0.21829,
2,0.87396,0.91808,0.51798,
3,0.87786,0.89372,0.50027,
4,0.86292,0.85661,0.50365,
5,0.86272,0.8265,0.4878,
6,0.85942,0.85335,0.4938,
7,0.85255,0.84863,0.50614,
8,0.84721,0.84453,0.51466,
9,0.83772,0.83825,0.52966,
10,0.83028,0.81481,0.54189,
11,0.81983,0.81353,0.55924,
12,0.80894,0.79741,0.57624,
13,0.82317,0.82403,0.55136,
14,0.82425,0.81515,0.55191,
15,0.82437,0.81593,0.55074,
16,0.82667,0.81803,0.55085,
17,0.83414,0.82663,0.53442,
18,0.83614,0.83334,0.53195,
19,0.83952,0.83918,0.52724,
20,0.83174,0.83015,0.53826,
21,0.82656,0.82358,0.54821,
22,0.81732,0.82301,0.56181,
23,0.80675,0.81845,0.57636,
24,0.80126,0.82132,0.58409,
25,0.79163,0.82311,0.59916,
26,0.78247,0.81776,0.61228,
27,0.77144,0.82006,0.62736,
28,0.7678,0.81103,0.63284,
29,0.76127,0.80449,0.64531,
30,0.75194,0.79476,0.66093,
31,0.73895,0.76946,0.68671,
32,0.70915,0.72867,0.71409,0.5947
