layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.1459,0.1459,0.2581,0.2617,0.2884,0.3519,0.2268,0.3232,0.2145,0.858,0.858,0.876,0.975,1.02,0.987,1.002,0.98,0.994,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.1156,0.1156,0.3891,0.4749,3.1987,0.6091,0.3119,0.4073,0.4964,0.885,0.885,0.882,1.025,3.188,1.058,0.98,1.004,1.091,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.1156,0.1156,0.3822,0.4607,2.4209,0.5505,0.3379,0.4151,0.4888,0.885,0.885,0.889,0.948,2.594,0.912,0.956,0.94,1.032,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.1156,0.1156,0.4082,0.5265,1.5834,0.5626,0.4053,0.4568,0.502,0.885,0.885,0.904,0.967,1.627,0.895,0.957,0.971,1.006,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.1156,0.1156,0.4434,0.5773,1.2487,0.539,0.4355,0.4722,0.4875,0.885,0.885,0.983,1.014,1.233,0.932,0.973,0.994,0.968,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.1156,0.1156,0.4776,0.6116,1.1405,0.5468,0.4676,0.4838,0.494,0.885,0.885,1.003,1.048,1.067,0.942,1.005,0.982,0.967,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.1156,0.1156,0.4911,0.6485,1.0345,0.5163,0.4928,0.5008,0.5085,0.885,0.885,0.995,1.049,0.945,0.95,0.989,1.001,0.968,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.1156,0.1156,0.473,0.6392,0.9505,0.4987,0.4975,0.4973,0.52,0.885,0.885,0.975,1.048,0.876,0.921,1.021,0.99,0.965,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.1156,0.1156,0.4737,0.6444,0.916,0.5002,0.5069,0.5026,0.537,0.885,0.885,0.993,1.029,0.89,0.886,1.03,0.985,0.961,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.1156,0.1156,0.4792,0.63,0.8852,0.5261,0.4856,0.4784,0.5517,0.885,0.885,0.981,1.024,0.905,0.938,1.037,0.973,0.967,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.1149,0.1149,0.4894,0.655,0.8812,0.5431,0.4805,0.484,0.5705,0.886,0.886,0.971,1.027,0.925,0.952,0.984,0.959,0.972,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.1149,0.1149,0.5065,0.6753,0.8519,0.5484,0.4831,0.4743,0.5895,0.886,0.886,0.969,1.022,0.93,0.926,0.979,0.969,0.974,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.1149,0.1149,0.4869,0.6606,0.7879,0.5425,0.4568,0.4435,0.5639,0.886,0.886,0.939,1.01,0.886,0.929,0.985,0.979,0.97,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.1149,0.1149,0.4871,0.6513,0.7688,0.5635,0.4288,0.4029,0.5657,0.886,0.886,0.922,1.036,0.892,0.956,1.008,0.945,0.98,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.1149,0.1149,0.4788,0.646,0.7648,0.5727,0.3927,0.3822,0.5654,0.886,0.886,0.915,1.033,0.928,0.949,0.978,0.955,0.978,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.1149,0.1149,0.4816,0.6278,0.7608,0.5907,0.4121,0.3657,0.5655,0.886,0.886,0.937,1.033,0.969,0.944,1.042,0.991,0.996,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.1149,0.1149,0.4754,0.6533,0.7245,0.6087,0.4052,0.3522,0.5474,0.886,0.886,0.906,1.065,1.004,0.941,1.042,0.989,0.983,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
18,0.115,0.115,0.4743,0.6272,0.6927,0.658,0.3992,0.3395,0.5451,0.886,0.886,0.876,1.058,0.998,0.961,1.056,0.992,0.988,534.4,534.4,13.9,10.0,12.1,10.3,10.3,11.9,11.6
19,0.115,0.115,0.4377,0.6323,0.5806,0.6885,0.4006,0.3441,0.5415,0.886,0.886,0.87,1.049,0.983,0.993,1.048,0.979,0.984,534.3,534.3,16.3,11.2,15.4,11.3,11.4,13.1,12.7
20,0.115,0.115,0.4414,0.6542,0.5793,0.6984,0.4041,0.3505,0.5533,0.886,0.886,0.865,1.054,0.971,0.954,1.046,0.969,0.994,534.3,534.3,17.5,12.0,16.3,12.7,12.8,14.6,13.7
21,0.115,0.115,0.453,0.6791,0.571,0.7324,0.4104,0.3566,0.5633,0.886,0.886,0.873,1.062,0.99,0.96,1.041,0.954,1.008,534.3,534.3,19.0,13.2,17.4,13.8,14.4,16.3,14.8
22,0.115,0.115,0.4456,0.7252,0.5492,0.7549,0.4227,0.36,0.5779,0.886,0.886,0.863,1.068,0.948,0.931,1.038,0.945,1.008,534.3,534.3,21.2,14.5,19.5,15.2,16.5,18.7,16.4
23,0.115,0.115,0.4535,0.7622,0.5428,0.7839,0.4379,0.3559,0.5931,0.886,0.886,0.854,1.088,0.932,0.915,1.041,0.944,1.01,534.3,534.3,22.6,15.4,20.9,16.2,18.4,20.8,17.8
24,0.1151,0.1151,0.4512,0.7885,0.5229,0.8071,0.4833,0.3589,0.6007,0.886,0.886,0.846,1.087,0.916,0.916,1.063,0.952,1.011,534.3,534.3,24.9,16.8,23.0,18.0,19.7,22.5,19.5
25,0.1151,0.1151,0.4601,0.8291,0.5177,0.8378,0.5102,0.3715,0.616,0.886,0.886,0.832,1.099,0.915,0.908,1.067,0.951,1.016,534.3,534.3,27.0,18.2,24.6,19.8,21.5,24.2,21.2
26,0.1151,0.1151,0.4719,0.8518,0.5134,0.8717,0.5407,0.3758,0.6293,0.886,0.886,0.837,1.091,0.919,0.914,1.084,0.958,1.02,534.4,534.4,29.1,19.9,26.5,21.4,23.2,26.3,23.0
27,0.1151,0.1151,0.4907,0.8713,0.5461,0.893,0.5639,0.3876,0.6444,0.886,0.886,0.834,1.088,0.926,0.948,1.089,0.973,1.023,534.5,534.5,31.4,21.7,27.5,22.9,25.0,28.3,25.2
28,0.1151,0.1151,0.4939,0.9108,0.5404,0.9023,0.5852,0.3892,0.6495,0.886,0.886,0.853,1.098,0.937,0.955,1.102,0.968,1.02,534.6,534.6,34.3,23.7,30.3,25.3,27.1,31.3,27.7
29,0.1152,0.1152,0.5098,0.9301,0.5502,0.9011,0.5835,0.3993,0.6627,0.886,0.886,0.864,1.097,0.941,0.976,1.081,0.957,1.023,534.7,534.7,36.5,26.0,31.8,27.4,29.8,34.3,30.5
30,0.1152,0.1152,0.5507,0.9476,0.6162,0.9026,0.5708,0.4052,0.6785,0.886,0.886,0.891,1.121,0.966,0.988,1.084,0.948,1.028,535.1,535.1,37.9,28.6,33.1,30.3,33.7,38.5,33.9
31,0.116,0.116,0.6226,0.991,0.7154,0.9141,0.5825,0.4401,0.7031,0.886,0.886,0.922,1.107,1.01,1.01,1.069,0.953,1.032,532.9,532.9,40.0,32.5,34.8,35.0,36.8,41.4,37.9
32,0.3678,0.3678,0.7734,1.0523,0.9557,0.7863,0.5893,0.4991,0.7199,0.871,0.871,0.998,0.961,0.956,1.011,0.979,1.012,0.992,142.9,142.9,149.0,148.0,148.3,130.6,140.1,140.8,143.0
