layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97283,0.95448,0.22923,
2,0.86792,0.90229,0.51519,
3,0.85661,0.83317,0.54296,
4,0.84333,0.80503,0.53932,
5,0.84251,0.78445,0.52462,
6,0.84104,0.82944,0.52795,
7,0.83656,0.83373,0.53315,
8,0.8336,0.84594,0.53751,
9,0.82728,0.84385,0.55212,
10,0.81981,0.82493,0.56433,
11,0.80946,0.82413,0.57699,
12,0.79651,0.80011,0.59724,
13,0.81454,0.82192,0.56802,
14,0.81689,0.81028,0.56673,
15,0.8189,0.81176,0.56435,
16,0.81917,0.79744,0.55824,
17,0.82545,0.81244,0.54431,
18,0.82695,0.81247,0.54234,
19,0.82737,0.8178,0.54086,
20,0.82113,0.80624,0.55117,
21,0.81242,0.79565,0.56621,
22,0.80202,0.78985,0.57957,
23,0.79033,0.77946,0.59489,
24,0.78476,0.78076,0.60203,
25,0.77251,0.78455,0.61929,
26,0.76198,0.77671,0.63398,
27,0.74741,0.77841,0.65202,
28,0.7404,0.76963,0.6611,
29,0.73021,0.76488,0.67438,
30,0.71355,0.75107,0.69303,
31,0.70163,0.73362,0.7171,
32,0.66917,0.69017,0.77304,0.6155
