layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97027,0.96195,0.24409,
2,0.92035,0.92903,0.3773,
3,0.88067,0.89547,0.48564,
4,0.8381,0.84736,0.57574,
5,0.8246,0.84862,0.58932,
6,0.81844,0.84554,0.57546,
7,0.81282,0.84613,0.57145,
8,0.80868,0.8464,0.57321,
9,0.80159,0.82626,0.58418,
10,0.79465,0.81046,0.59385,
11,0.78437,0.80969,0.6091,
12,0.77172,0.79892,0.62933,
13,0.78565,0.81134,0.60552,
14,0.78855,0.81396,0.60576,
15,0.7887,0.8113,0.60343,
16,0.79408,0.8078,0.59367,
17,0.80515,0.82447,0.57512,
18,0.80708,0.8282,0.57442,
19,0.81207,0.83457,0.56822,
20,0.80619,0.8282,0.57896,
21,0.80195,0.82168,0.59114,
22,0.79206,0.81792,0.60209,
23,0.78179,0.81264,0.61548,
24,0.772,0.81015,0.62221,
25,0.76332,0.81275,0.63503,
26,0.75295,0.80412,0.64634,
27,0.74081,0.80225,0.6598,
28,0.73926,0.7942,0.66262,
29,0.73381,0.78769,0.67322,
30,0.72551,0.77297,0.68532,
31,0.71448,0.74781,0.7107,
32,0.68862,0.70946,0.74426,0.6388
