layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.1552,0.1552,0.252,0.2877,0.3334,0.3347,0.2311,0.3632,0.2417,0.852,1.009
2,0.1538,0.1538,0.3236,0.3753,1.3743,0.3906,0.3071,0.4184,0.3703,0.849,0.997
3,0.1538,0.1538,0.341,0.4337,1.8636,0.533,0.364,0.4567,0.4795,0.849,1.0
4,0.1538,0.1538,0.3549,0.4826,1.242,0.6536,0.4148,0.4882,0.5862,0.849,1.045
5,0.1538,0.1538,0.3807,0.5079,0.9785,0.5844,0.4321,0.4894,0.6054,0.849,1.007
6,0.1538,0.1538,0.4116,0.5319,0.8884,0.5506,0.4597,0.503,0.5902,0.849,0.963
7,0.1538,0.1538,0.4203,0.562,0.8293,0.5047,0.4821,0.5072,0.5862,0.849,0.944
8,0.1538,0.1538,0.4154,0.5632,0.7815,0.4753,0.4786,0.5191,0.5893,0.849,0.93
9,0.1538,0.1538,0.4214,0.6011,0.7704,0.481,0.5012,0.5094,0.6008,0.849,0.936
10,0.1538,0.1538,0.4339,0.6088,0.743,0.5033,0.5036,0.5123,0.6114,0.849,0.936
11,0.1551,0.1551,0.449,0.6422,0.7456,0.5163,0.5129,0.5271,0.6271,0.848,0.94
12,0.1551,0.1551,0.4538,0.6515,0.7189,0.5148,0.5187,0.5254,0.65,0.848,0.951
13,0.1551,0.1551,0.4471,0.6105,0.6692,0.5125,0.4877,0.4981,0.6257,0.848,0.938
14,0.1551,0.1551,0.4562,0.5944,0.6651,0.5266,0.4532,0.4753,0.6268,0.848,0.957
15,0.1551,0.1551,0.4504,0.5743,0.652,0.528,0.4092,0.4402,0.6259,0.848,0.952
16,0.1551,0.1551,0.4394,0.5427,0.6298,0.5324,0.3957,0.4257,0.6164,0.848,0.953
17,0.1552,0.1552,0.4239,0.5525,0.5931,0.5488,0.3903,0.4055,0.5964,0.848,0.951
18,0.1552,0.1552,0.4173,0.5533,0.5718,0.5702,0.3994,0.3753,0.596,0.848,0.965
19,0.1553,0.1553,0.3936,0.5457,0.5324,0.6045,0.4107,0.3819,0.5894,0.848,0.974
20,0.1553,0.1553,0.4,0.5749,0.5311,0.6252,0.4217,0.374,0.6007,0.848,0.991
21,0.1553,0.1553,0.4193,0.6153,0.5284,0.6629,0.4359,0.3766,0.6127,0.848,1.013
22,0.1553,0.1553,0.4229,0.6494,0.5352,0.6906,0.4434,0.3737,0.6239,0.848,1.003
23,0.1553,0.1553,0.4269,0.6897,0.5306,0.7348,0.4493,0.3678,0.6378,0.848,1.01
24,0.1553,0.1553,0.4131,0.7352,0.5147,0.7599,0.4756,0.3701,0.6444,0.848,0.998
25,0.1553,0.1553,0.4189,0.781,0.5071,0.78,0.497,0.3809,0.6574,0.848,1.003
26,0.1553,0.1553,0.4221,0.7863,0.5099,0.8171,0.5248,0.3859,0.6689,0.848,0.997
27,0.1553,0.1553,0.4429,0.8155,0.5375,0.8533,0.539,0.3895,0.6821,0.848,0.992
28,0.1553,0.1553,0.4473,0.8459,0.5369,0.868,0.5606,0.3884,0.6842,0.849,0.992
29,0.1553,0.1553,0.465,0.8743,0.5628,0.8767,0.569,0.3913,0.6948,0.849,0.998
30,0.1554,0.1554,0.4992,0.8964,0.6007,0.878,0.5776,0.3828,0.7069,0.849,0.996
31,0.1568,0.1568,0.5672,0.9327,0.68,0.9213,0.6341,0.414,0.7304,0.85,1.002
32,0.3442,0.3442,0.6774,0.9781,0.8509,0.8988,0.8168,0.5006,0.7533,0.918,0.99
