layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.98468,0.97708,0.164,
2,0.87358,0.91881,0.49388,
3,0.82396,0.85981,0.60663,
4,0.67457,0.7885,0.97243,
5,0.5413,0.68515,1.24539,
6,0.5232,0.65554,1.11092,
7,0.52199,0.62287,0.98856,
8,0.51881,0.5847,0.94534,
9,0.50813,0.56786,0.92913,
10,0.50608,0.53586,0.92342,
11,0.48697,0.51569,0.93503,
12,0.47479,0.49736,0.94655,
13,0.51597,0.53124,0.90282,
14,0.531,0.50838,0.88688,
15,0.55285,0.50745,0.8719,
16,0.56822,0.51056,0.86189,
17,0.58242,0.51067,0.84674,
18,0.59318,0.48372,0.84646,
19,0.61533,0.48998,0.83153,
20,0.60945,0.44784,0.84509,
21,0.60758,0.40592,0.85338,
22,0.60691,0.38813,0.85906,
23,0.60266,0.37029,0.86543,
24,0.5988,0.37182,0.85972,
25,0.59699,0.39456,0.86179,
26,0.59452,0.40403,0.86459,
27,0.58898,0.41143,0.87321,
28,0.59274,0.42701,0.86922,
29,0.59478,0.44276,0.87321,
30,0.58471,0.44592,0.88305,
31,0.57604,0.42902,0.90831,
32,0.54263,0.34688,0.92702,0.3587
