layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0357,0.0357,0.1509,0.1952,0.2983,0.2694,0.1734,0.2745,0.1623,0.965,0.965,0.958,0.976,0.962,0.99,0.971,1.014,0.986,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0813,0.0813,0.4143,0.5401,2.4337,1.1045,0.2659,0.369,0.4745,0.92,0.92,1.039,1.087,2.404,1.482,0.986,1.011,1.096,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0813,0.0813,0.3872,0.47,2.0816,0.8297,0.4646,0.5928,0.6053,0.92,0.92,0.985,0.941,2.257,1.057,1.006,0.941,1.058,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0813,0.0813,0.3931,0.494,1.386,0.8879,1.0658,1.5692,1.0023,0.92,0.92,0.959,0.97,1.452,1.08,1.372,1.754,1.306,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0813,0.0813,0.3954,0.5109,1.0835,0.7796,1.5232,2.3528,1.2961,0.92,0.92,0.947,1.016,1.135,1.001,1.69,2.387,1.436,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0813,0.0813,0.4038,0.4937,0.9851,0.733,1.2579,1.8734,1.1584,0.92,0.92,0.928,1.011,1.019,0.944,1.396,1.852,1.211,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.0813,0.0813,0.3993,0.4926,0.8898,0.6549,1.0543,1.5293,1.0315,0.921,0.921,0.919,0.994,0.914,0.855,1.147,1.431,1.028,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.0813,0.0813,0.3937,0.4744,0.8092,0.6039,0.9168,1.3692,0.9897,0.92,0.92,0.931,0.983,0.856,0.856,1.058,1.279,0.962,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0813,0.0813,0.4126,0.4758,0.7821,0.5813,0.8548,1.2662,0.9743,0.921,0.921,0.912,0.998,0.871,0.888,1.024,1.138,0.909,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.0813,0.0813,0.4117,0.463,0.7493,0.5876,0.7877,1.1744,0.9709,0.92,0.92,0.921,0.984,0.865,0.919,1.003,1.05,0.903,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.0808,0.0808,0.4319,0.4716,0.7442,0.5882,0.7693,1.1551,0.9842,0.921,0.921,0.926,0.982,0.864,0.94,0.987,1.04,0.886,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.0808,0.0808,0.42,0.4756,0.7281,0.5765,0.739,1.1081,0.9988,0.921,0.921,0.926,0.97,0.884,0.908,0.981,1.019,0.889,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.0808,0.0808,0.4138,0.4537,0.6641,0.541,0.6517,0.9855,0.9548,0.921,0.921,0.919,0.988,0.846,0.911,0.946,0.934,0.876,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.0808,0.0808,0.4024,0.4296,0.6627,0.5469,0.5727,0.8937,0.94,0.921,0.921,0.916,0.977,0.85,0.928,0.93,0.84,0.875,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
