layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.95033,0.91506,0.30546,
2,0.81334,0.85305,0.70663,
3,0.31121,-0.05042,2.02634,
4,0.23595,0.0478,2.55462,
5,0.23758,0.06759,2.16412,
6,0.22493,0.07891,1.86827,
7,0.2244,0.07069,1.61451,
8,0.21289,0.04824,1.41,
9,0.21639,0.04549,1.30754,
10,0.22423,0.05773,1.23682,
11,0.22258,0.08003,1.20327,
12,0.21594,0.07443,1.19343,
13,0.23933,0.10371,1.16566,
14,0.23759,0.0713,1.15726,
15,0.23732,0.08123,1.15205,
16,0.22539,0.05522,1.17043,
17,0.19802,0.02875,1.17915,
18,0.19627,0.00372,1.16115,
19,0.19084,0.00705,1.15453,
20,0.18843,0.01893,1.16492,
21,0.1838,0.0201,1.17559,
22,0.19785,0.04656,1.16776,
23,0.21157,0.08457,1.16362,
24,0.20503,0.09792,1.16209,
25,0.21304,0.12027,1.16734,
26,0.2213,0.11761,1.17321,
27,0.21966,0.11572,1.18111,
28,0.22737,0.12378,1.18185,
29,0.23394,0.13532,1.18506,
30,0.22698,0.13159,1.20137,
31,0.20723,0.10808,1.26513,
32,0.10511,0.00195,1.33822,0.0485
