layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0647,0.0647,0.3142,0.3662,0.4871,0.5034,0.3257,0.4955,0.303,0.937,0.937,0.843,1.034,1.034,1.013,1.005,1.016,1.018,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.1054,0.1054,0.5227,0.5429,2.9475,0.6621,0.4595,0.6127,0.7037,0.897,0.897,0.948,1.074,2.9,1.059,1.042,1.045,1.22,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.1054,0.1054,0.5492,0.6356,2.5182,1.4346,1.1913,1.4497,2.1501,0.897,0.897,0.893,1.037,2.676,1.513,1.439,1.511,2.179,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.1054,0.1054,0.5781,0.7364,1.6841,2.0123,2.3064,2.2476,2.717,0.897,0.897,0.879,1.008,1.703,2.113,2.405,2.275,2.722,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.1054,0.1054,0.6317,0.7993,1.3519,1.6711,2.1704,1.8936,2.2932,0.897,0.897,0.86,0.967,1.334,1.694,2.225,1.861,2.261,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.1054,0.1054,0.6731,0.8439,1.245,1.3955,1.8342,1.5485,1.976,0.897,0.897,0.876,0.932,1.171,1.357,1.856,1.464,1.884,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.1054,0.1054,0.6976,0.9122,1.1176,1.1843,1.5591,1.3299,1.7023,0.897,0.897,0.887,1.026,0.99,1.064,1.524,1.169,1.553,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.1054,0.1054,0.7068,0.8832,1.0578,1.0881,1.3474,1.2254,1.4809,0.897,0.897,0.929,1.013,0.904,0.906,1.255,1.024,1.254,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.1054,0.1054,0.7242,0.9155,1.0158,1.1,1.3067,1.1653,1.3676,0.897,0.897,0.916,1.057,0.899,0.886,1.203,0.961,1.106,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
