layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.96866,0.95039,0.24905,
2,0.85647,0.88013,0.67755,
3,0.52292,0.31231,1.45315,
4,0.3347,0.23325,2.17139,
5,0.31296,0.1967,1.73296,
6,0.27197,0.18443,1.45887,
7,0.24075,0.11559,1.2796,
8,0.24773,0.11716,1.15521,
9,0.27389,0.17065,1.07092,
10,0.29395,0.20377,1.04786,
11,0.28139,0.21828,1.05853,
12,0.2824,0.21158,1.07333,
13,0.30559,0.21278,1.06144,
14,0.3287,0.21201,1.05197,
15,0.36222,0.19154,1.02773,
16,0.36354,0.1829,1.02683,
17,0.37254,0.16403,1.01118,
18,0.38245,0.17614,1.01442,
19,0.42,0.24826,0.9938,
20,0.42039,0.21891,1.00157,
21,0.41994,0.21984,1.00731,
22,0.43883,0.25867,1.00288,
23,0.44936,0.29268,1.00328,
24,0.45972,0.34075,0.99183,
25,0.46581,0.38506,0.98661,
26,0.46796,0.3917,0.98778,
27,0.47072,0.41148,0.99257,
28,0.47799,0.41618,0.98645,
29,0.48105,0.41537,0.99511,
30,0.47259,0.4106,1.00949,
31,0.44359,0.35513,1.05877,
32,0.35981,0.20212,1.09323,0.2425
