layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0893,0.0893,0.384,0.2937,0.3418,0.3895,0.2648,0.3761,0.2455,0.915,0.915,0.687,0.998,0.965,1.012,1.014,0.976,1.007,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0334,0.0334,0.6044,0.419,6.7607,0.5239,0.3758,0.4839,0.6206,0.967,0.967,0.835,1.017,6.725,0.979,1.022,1.036,1.242,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0334,0.0334,0.5986,0.4618,4.4827,0.8436,0.729,0.9119,1.5071,0.967,0.967,0.77,1.063,4.666,1.174,1.208,1.24,1.714,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0334,0.0334,0.5935,0.5136,2.8557,1.1012,1.6577,1.8719,2.3041,0.967,0.967,0.829,1.042,2.961,1.312,1.843,1.974,2.385,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.0335,0.0335,0.615,0.5521,2.2201,0.9142,1.8132,1.8958,1.8201,0.967,0.967,0.903,1.035,2.252,1.064,1.9,1.875,1.809,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.0335,0.0335,0.6541,0.5822,1.927,0.841,1.5355,1.5553,1.5268,0.967,0.967,0.992,1.0,1.895,0.91,1.55,1.444,1.39,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.0335,0.0335,0.6547,0.6044,1.6367,0.7754,1.3306,1.3399,1.3373,0.967,0.967,1.004,1.009,1.529,0.809,1.245,1.117,1.084,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.0335,0.0335,0.6124,0.6222,1.4371,0.7596,1.1883,1.246,1.2052,0.967,0.967,0.964,0.986,1.277,0.777,1.102,1.033,0.887,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.0335,0.0335,0.6013,0.6455,1.3745,0.7628,1.1394,1.1557,1.1137,0.967,0.967,0.959,0.996,1.224,0.799,1.038,0.925,0.761,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.0335,0.0335,0.5887,0.6343,1.3254,0.7531,1.0816,1.0932,1.0911,0.967,0.967,0.932,1.006,1.204,0.818,0.976,0.878,0.748,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.0334,0.0334,0.593,0.6775,1.2787,0.7539,1.0917,1.0889,1.103,0.968,0.968,0.914,1.027,1.153,0.817,0.985,0.895,0.757,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.0335,0.0335,0.5861,0.6954,1.2163,0.7716,1.0786,1.0736,1.1207,0.968,0.968,0.893,1.052,1.087,0.812,0.981,0.91,0.794,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.0334,0.0334,0.5755,0.6848,1.1125,0.7422,0.9548,0.9504,1.1134,0.968,0.968,0.877,1.029,0.98,0.827,0.886,0.836,0.81,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.0335,0.0335,0.5664,0.6755,1.0824,0.7613,0.8718,0.8845,1.1056,0.968,0.968,0.894,1.044,0.945,0.905,0.865,0.796,0.829,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.0335,0.0335,0.5441,0.6769,1.0651,0.7445,0.799,0.8429,1.081,0.968,0.968,0.887,1.05,0.945,0.936,0.853,0.767,0.835,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.0335,0.0335,0.5434,0.6311,1.0488,0.7369,0.7596,0.829,1.0821,0.968,0.968,0.886,1.069,0.921,0.996,0.886,0.783,0.833,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.0335,0.0335,0.5137,0.6385,1.0131,0.7567,0.7179,0.7754,1.0666,0.968,0.968,0.913,1.082,0.939,1.0,0.914,0.78,0.814,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
18,0.0335,0.0335,0.5102,0.6122,0.9888,0.7855,0.6759,0.7433,1.0718,0.968,0.968,0.909,1.074,0.951,1.036,0.918,0.765,0.84,534.4,534.4,13.9,10.0,12.1,10.3,10.3,11.9,11.6
19,0.0336,0.0336,0.4737,0.6133,0.8409,0.7891,0.6665,0.7243,1.0519,0.968,0.968,0.896,1.071,0.833,1.02,0.945,0.786,0.863,534.3,534.3,16.3,11.2,15.4,11.3,11.4,13.1,12.7
20,0.0336,0.0336,0.4765,0.6251,0.8327,0.7922,0.6478,0.712,1.0611,0.968,0.968,0.915,1.072,0.843,0.979,0.96,0.783,0.88,534.3,534.3,17.5,12.0,16.3,12.7,12.8,14.6,13.7
21,0.0336,0.0336,0.4889,0.6411,0.8431,0.814,0.6415,0.7183,1.0666,0.968,0.968,0.916,1.072,0.835,0.974,0.954,0.781,0.893,534.3,534.3,19.0,13.2,17.4,13.8,14.4,16.3,14.8
22,0.0336,0.0336,0.475,0.6619,0.8095,0.8348,0.6409,0.699,1.0621,0.968,0.968,0.903,1.049,0.837,0.973,0.962,0.801,0.916,534.3,534.3,21.2,14.5,19.5,15.2,16.5,18.7,16.4
23,0.0336,0.0336,0.4684,0.7115,0.7914,0.8654,0.6425,0.6837,1.0621,0.968,0.968,0.908,1.069,0.886,0.987,0.972,0.798,0.935,534.3,534.3,22.6,15.4,20.9,16.2,18.4,20.8,17.8
24,0.0337,0.0337,0.4531,0.7524,0.7475,0.8753,0.6732,0.6814,1.049,0.968,0.968,0.906,1.07,0.87,0.971,0.987,0.8,0.931,534.3,534.3,24.9,16.8,23.0,18.0,19.7,22.5,19.5
25,0.0337,0.0337,0.4592,0.7825,0.7401,0.892,0.6826,0.6865,1.0422,0.968,0.968,0.888,1.063,0.869,0.957,0.985,0.805,0.933,534.3,534.3,27.0,18.2,24.6,19.8,21.5,24.2,21.2
26,0.0337,0.0337,0.4662,0.8025,0.7378,0.9183,0.7078,0.6851,1.0425,0.968,0.968,0.877,1.07,0.888,0.966,1.004,0.818,0.939,534.4,534.4,29.1,19.9,26.5,21.4,23.2,26.3,23.0
27,0.0338,0.0338,0.4834,0.8257,0.7603,0.9496,0.719,0.6875,1.0463,0.968,0.968,0.877,1.074,0.924,0.978,1.007,0.821,0.953,534.5,534.5,31.4,21.7,27.5,22.9,25.0,28.3,25.2
28,0.0339,0.0339,0.4939,0.8566,0.7525,0.9583,0.7169,0.6792,1.0389,0.968,0.968,0.873,1.087,0.935,0.987,1.0,0.809,0.955,534.6,534.6,34.3,23.7,30.3,25.3,27.1,31.3,27.7
29,0.034,0.034,0.5081,0.9027,0.7851,0.9686,0.7234,0.6786,1.0471,0.968,0.968,0.878,1.111,0.98,1.033,0.992,0.833,0.979,534.7,534.7,36.5,26.0,31.8,27.4,29.8,34.3,30.5
30,0.035,0.035,0.5448,0.9353,0.909,0.9654,0.7014,0.6621,1.0609,0.968,0.968,0.892,1.158,1.087,1.071,0.996,0.857,0.989,535.1,535.1,37.9,28.6,33.1,30.3,33.7,38.5,33.9
31,0.0471,0.0471,0.6182,0.9757,1.1056,0.9824,0.7168,0.698,1.1099,0.967,0.967,0.918,1.162,1.194,1.098,0.985,0.863,1.034,532.9,532.9,40.0,32.5,34.8,35.0,36.8,41.4,37.9
32,0.46,0.46,0.8196,1.0287,1.2302,0.7454,0.7565,0.8224,1.1309,0.801,0.801,1.0,0.953,0.875,0.958,0.976,0.991,0.963,142.9,142.9,149.0,148.0,148.3,130.6,140.1,140.8,143.0
