layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97845,0.96685,0.19909,
2,0.83733,0.91425,0.6711,
3,0.52661,0.46215,1.37387,
4,0.22825,0.18766,3.09891,
5,0.22113,0.16764,2.56635,
6,0.21806,0.17014,2.14223,
7,0.20034,0.1137,1.84949,
8,0.17592,0.07061,1.62811,
9,0.17127,0.09187,1.46185,
10,0.16631,0.10387,1.40133,
11,0.17637,0.12617,1.34665,
12,0.18604,0.12712,1.29049,
13,0.21488,0.17823,1.20372,
14,0.24667,0.19486,1.15065,
15,0.24374,0.13453,1.12027,
16,0.2411,0.15865,1.11872,
17,0.26146,0.17494,1.08961,
18,0.25482,0.18415,1.08175,
19,0.2667,0.19436,1.07273,
20,0.23127,0.139,1.1027,
21,0.21221,0.11694,1.11797,
22,0.2277,0.12359,1.1122,
23,0.23667,0.11987,1.11403,
24,0.24231,0.1277,1.10097,
25,0.24714,0.14448,1.09795,
26,0.25693,0.14435,1.09766,
27,0.25559,0.15868,1.10669,
28,0.25111,0.13164,1.12553,
29,0.26813,0.15651,1.13848,
30,0.23626,0.11241,1.1672,
31,0.25148,0.1217,1.20725,
32,0.17048,0.11208,1.28997,0.0376
