layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
1,0.0584,0.0584,0.1928,0.2407,0.326,0.3138,0.2094,0.3194,0.1973,0.943,0.998
2,0.0813,0.0813,0.3117,0.6303,3.8482,1.292,0.3304,0.4593,0.6475,0.921,1.219
3,0.0813,0.0813,0.3415,0.5405,2.9488,1.1444,1.1981,1.4598,1.4237,0.921,1.628
4,0.0813,0.0813,0.3647,0.5513,1.9447,3.0825,4.8334,5.4726,3.2287,0.921,3.256
5,0.0813,0.0813,0.4081,0.5737,1.5014,3.2918,4.3047,4.511,2.6559,0.921,2.639
6,0.0813,0.0813,0.4353,0.5681,1.3257,2.7221,3.7804,3.7688,2.2098,0.921,2.145
7,0.0813,0.0813,0.4449,0.5806,1.1442,2.1241,3.2384,3.2122,1.9095,0.921,1.778
8,0.0813,0.0813,0.4418,0.5821,1.0257,1.7877,2.6813,2.8033,1.6828,0.921,1.473
9,0.0813,0.0813,0.4385,0.5866,0.9776,1.6382,2.4757,2.5035,1.5071,0.921,1.239
10,0.0813,0.0813,0.451,0.5621,0.9446,1.6115,2.387,2.4343,1.4429,0.921,1.143
11,0.0808,0.0808,0.4713,0.5672,0.9169,1.557,2.2334,2.3258,1.3863,0.921,1.075
12,0.0808,0.0808,0.4779,0.5738,0.8695,1.4947,2.0585,2.2016,1.3292,0.921,1.006
13,0.0808,0.0808,0.459,0.5396,0.8114,1.3671,1.8175,1.9649,1.2426,0.921,0.904
14,0.0808,0.0808,0.4544,0.5259,0.8093,1.2934,1.6283,1.7689,1.1903,0.921,0.861
15,0.0808,0.0808,0.4394,0.5013,0.7974,1.2239,1.3964,1.548,1.165,0.921,0.811
16,0.0808,0.0808,0.4316,0.474,0.7638,1.1529,1.3122,1.4538,1.1683,0.921,0.81
17,0.0809,0.0809,0.4153,0.4793,0.7197,1.1056,1.2635,1.3545,1.1395,0.921,0.782
18,0.0809,0.0809,0.4135,0.4692,0.6936,1.091,1.1717,1.2501,1.1345,0.921,0.762
19,0.0809,0.0809,0.3891,0.48,0.5938,1.0748,1.1211,1.1687,1.1284,0.921,0.767
20,0.0809,0.0809,0.3918,0.5018,0.5897,1.0743,1.1004,1.1346,1.1626,0.921,0.784
21,0.0809,0.0809,0.4118,0.5421,0.5946,1.0855,1.0742,1.1071,1.1794,0.921,0.79
22,0.0809,0.0809,0.4122,0.5659,0.582,1.1015,1.0608,1.08,1.1731,0.921,0.799
23,0.0809,0.0809,0.4078,0.6127,0.5711,1.1388,1.0774,1.0625,1.1742,0.921,0.813
24,0.081,0.081,0.3997,0.6543,0.5512,1.1484,1.0808,1.0291,1.1597,0.921,0.795
25,0.081,0.081,0.4029,0.6949,0.5464,1.1487,1.0803,1.0155,1.1559,0.921,0.795
26,0.081,0.081,0.412,0.7219,0.5435,1.1571,1.0887,0.9856,1.1553,0.921,0.805
27,0.0809,0.0809,0.4317,0.76,0.5642,1.1769,1.087,0.9717,1.1643,0.921,0.819
28,0.081,0.081,0.433,0.7963,0.5687,1.1841,1.0939,0.9673,1.1847,0.921,0.851
29,0.081,0.081,0.4535,0.8333,0.5909,1.1904,1.1061,0.963,1.198,0.921,0.897
30,0.081,0.081,0.4996,0.8604,0.6515,1.2285,1.1153,0.9618,1.2274,0.922,0.904
31,0.082,0.082,0.5669,0.9127,0.776,1.2739,1.2294,1.0522,1.2647,0.921,0.995
32,0.2992,0.2992,0.6789,0.9949,1.0244,1.5353,1.3596,1.3494,1.3332,0.909,1.025
