layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97712,0.98168,0.21369,
2,0.86236,0.86581,0.55512,
3,0.83671,0.87105,0.60939,
4,0.71066,0.7996,0.85206,
5,0.62338,0.75256,0.99681,
6,0.60935,0.71191,0.90734,
7,0.60656,0.70749,0.84265,
8,0.60246,0.68135,0.82751,
9,0.59191,0.65203,0.82621,
10,0.58615,0.62739,0.82974,
11,0.57099,0.63324,0.85256,
12,0.55568,0.59442,0.8693,
13,0.58645,0.59808,0.83308,
14,0.60107,0.59379,0.82372,
15,0.61704,0.60624,0.81407,
16,0.63326,0.60606,0.80009,
17,0.6536,0.62086,0.77955,
18,0.66531,0.63093,0.77581,
19,0.67732,0.64394,0.76734,
20,0.67177,0.6168,0.77523,
21,0.67163,0.59527,0.77822,
22,0.67001,0.59184,0.78302,
23,0.66699,0.58823,0.7899,
24,0.66574,0.59968,0.78621,
25,0.66123,0.60871,0.79384,
26,0.65829,0.61101,0.79964,
27,0.65195,0.61752,0.80874,
28,0.65305,0.6095,0.81016,
29,0.65248,0.61115,0.81572,
30,0.64268,0.60356,0.82681,
31,0.62755,0.5758,0.87037,
32,0.59258,0.51749,0.85372,0.5776
