layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.1636,0.1636,0.2417,0.2549,0.3272,0.2502,0.2064,0.3106,0.2106,0.84,0.84,0.88,0.97,1.123,0.952,0.964,1.005,0.996,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0939,0.0939,0.332,0.7204,3.2122,0.6889,0.2894,0.5188,0.5331,0.907,0.907,0.89,1.172,3.181,1.15,0.989,1.109,1.108,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.094,0.094,0.3378,0.6117,2.5697,0.6235,0.4028,0.5598,0.6038,0.907,0.907,0.907,0.956,2.758,0.979,0.993,1.005,1.091,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.094,0.094,0.3599,0.6007,1.6644,1.0043,0.5846,0.8223,0.8779,0.907,0.907,0.928,0.941,1.72,1.273,1.073,1.185,1.204,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.094,0.094,0.405,0.6047,1.2909,1.2749,0.5753,0.9289,1.04,0.907,0.907,0.98,1.007,1.309,1.436,1.037,1.171,1.231,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.094,0.094,0.4393,0.6226,1.1609,1.0492,0.5656,0.7753,0.9463,0.907,0.907,1.018,1.023,1.138,1.164,0.982,0.969,1.058,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.094,0.094,0.4461,0.6335,1.0318,0.9009,0.5769,0.7189,0.8779,0.907,0.907,1.028,1.04,0.983,0.935,1.0,0.922,0.945,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.094,0.094,0.4305,0.6183,0.9369,0.8219,0.584,0.701,0.8641,0.907,0.907,0.984,0.982,0.875,0.873,0.982,0.962,0.915,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.094,0.094,0.4254,0.6331,0.8934,0.7963,0.6192,0.6651,0.8634,0.907,0.907,0.965,0.985,0.873,0.875,0.995,0.974,0.889,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.094,0.094,0.431,0.6156,0.8631,0.8075,0.6085,0.6294,0.8686,0.907,0.907,0.97,0.992,0.879,0.896,0.988,0.99,0.887,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.0934,0.0934,0.4544,0.6371,0.8638,0.8407,0.6231,0.6125,0.8931,0.908,0.908,0.972,0.987,0.913,0.958,0.964,0.943,0.897,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.0934,0.0934,0.4561,0.6437,0.8316,0.818,0.6369,0.605,0.9125,0.908,0.908,0.971,0.986,0.91,0.93,0.945,0.971,0.901,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.0934,0.0934,0.4375,0.6087,0.765,0.7818,0.5923,0.5459,0.8758,0.908,0.908,0.98,0.986,0.886,0.929,0.951,0.969,0.89,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.0934,0.0934,0.4441,0.5854,0.7457,0.7855,0.5404,0.4795,0.8676,0.908,0.908,0.984,1.007,0.904,0.982,0.965,0.949,0.912,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.0934,0.0934,0.4384,0.5643,0.723,0.7772,0.4961,0.4613,0.8587,0.908,0.908,0.989,0.999,0.923,0.972,0.972,0.951,0.939,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.0934,0.0934,0.4323,0.5177,0.7095,0.7665,0.4864,0.4444,0.8446,0.908,0.908,0.988,0.995,0.954,0.969,1.004,0.979,0.958,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.0934,0.0934,0.4134,0.5262,0.6787,0.7437,0.4658,0.4371,0.823,0.908,0.908,0.969,1.015,0.996,0.951,0.995,1.003,0.967,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
