layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.96197,0.95036,0.27685,
2,0.92328,0.88589,0.39629,
3,0.88048,0.82812,0.47977,
4,0.85394,0.78437,0.52242,
5,0.83396,0.76261,0.54985,
6,0.81947,0.8002,0.56893,
7,0.80842,0.80435,0.58662,
8,0.79787,0.81469,0.60161,
9,0.78605,0.8087,0.61584,
10,0.77686,0.78726,0.62448,
11,0.76501,0.79747,0.64133,
12,0.74605,0.78407,0.66914,
13,0.76059,0.8002,0.64909,
14,0.76184,0.78771,0.64928,
15,0.76482,0.7903,0.64503,
16,0.77016,0.79115,0.63551,
17,0.7801,0.80715,0.62029,
18,0.77896,0.80283,0.6219,
19,0.78319,0.81032,0.61828,
20,0.77924,0.80836,0.62547,
21,0.77074,0.80091,0.63773,
22,0.75963,0.79383,0.64951,
23,0.75122,0.79567,0.65928,
24,0.73883,0.79582,0.67032,
25,0.72421,0.7956,0.68749,
26,0.70842,0.78668,0.70521,
27,0.69044,0.78052,0.72549,
28,0.68012,0.76905,0.73626,
29,0.67014,0.7642,0.75032,
30,0.65851,0.75059,0.76438,
31,0.63918,0.72556,0.79527,
32,0.58477,0.66431,0.8884,0.5002
