layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.96197,0.95036,0.27685,
2,0.92328,0.88589,0.39629,
3,0.88827,0.84218,0.46151,
4,0.87095,0.82202,0.49411,
5,0.86438,0.80401,0.50145,
6,0.85798,0.83852,0.51027,
7,0.85014,0.84728,0.52473,
8,0.84617,0.86114,0.53101,
9,0.83953,0.85958,0.54083,
10,0.83448,0.85827,0.54638,
11,0.82399,0.87116,0.56179,
12,0.81033,0.85402,0.5808,
13,0.82215,0.87354,0.55724,
14,0.82303,0.86544,0.55925,
15,0.82274,0.85816,0.55756,
16,0.8241,0.85265,0.55214,
17,0.83129,0.86075,0.53515,
18,0.83038,0.8627,0.53618,
19,0.83255,0.86786,0.53486,
20,0.82337,0.86077,0.54972,
21,0.81411,0.85122,0.56404,
22,0.80177,0.84823,0.57978,
23,0.78944,0.8406,0.59578,
24,0.78117,0.84114,0.60451,
25,0.76857,0.84164,0.62238,
26,0.75484,0.83384,0.64029,
27,0.74096,0.83307,0.65896,
28,0.73262,0.82372,0.66986,
29,0.72752,0.81763,0.67939,
30,0.71488,0.80758,0.69472,
31,0.69967,0.78484,0.7241,
32,0.66189,0.73836,0.78348,0.5452
