layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.1548,0.1548,0.3517,0.265,0.3009,0.3324,0.2552,0.3692,0.2773,0.903,0.903,0.727,0.976,0.939,0.951,0.978,0.982,0.991,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.2696,0.2696,0.3645,0.4206,0.5023,0.4401,0.3226,0.4576,0.3981,0.733,0.733,0.811,0.967,0.906,0.953,0.993,1.014,1.014,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.2696,0.2696,0.4059,0.5447,0.5432,0.5212,0.3867,0.4887,0.4655,0.733,0.733,0.868,0.899,0.852,0.882,0.966,0.926,0.933,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.2696,0.2696,0.4532,0.6028,0.5375,0.5539,0.4225,0.5347,0.4988,0.733,0.733,0.849,0.894,0.818,0.838,0.915,0.873,0.939,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.2696,0.2696,0.483,0.6174,0.5555,0.5411,0.4738,0.5321,0.5056,0.733,0.733,0.86,0.916,0.812,0.889,0.939,0.899,0.92,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.2696,0.2696,0.492,0.597,0.5731,0.5483,0.5006,0.5412,0.5147,0.733,0.733,0.875,0.927,0.903,0.901,0.939,0.896,0.915,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.2696,0.2696,0.4883,0.6096,0.5745,0.5222,0.5312,0.5614,0.5304,0.733,0.733,0.888,0.937,0.902,0.911,0.994,0.941,0.935,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.2696,0.2696,0.475,0.6284,0.5464,0.4984,0.5469,0.5874,0.5375,0.733,0.733,0.886,0.947,0.901,0.897,1.021,0.938,0.948,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.2696,0.2696,0.4751,0.6169,0.5667,0.495,0.5815,0.6125,0.5476,0.733,0.733,0.904,0.976,0.94,0.892,1.048,0.971,0.955,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
