layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.96197,0.95036,0.27685,
2,0.92328,0.88589,0.39629,
3,0.88048,0.82812,0.47977,
4,0.85348,0.7847,0.52331,
5,0.83483,0.75974,0.5487,
6,0.82951,0.79983,0.55542,
7,0.82303,0.8073,0.56828,
8,0.81871,0.82634,0.57535,
9,0.81028,0.82428,0.58778,
10,0.80369,0.81133,0.5943,
11,0.7926,0.813,0.61221,
12,0.77853,0.79928,0.63323,
13,0.79319,0.83234,0.60814,
14,0.7942,0.82272,0.60784,
15,0.79598,0.82041,0.60524,
16,0.80055,0.81237,0.59491,
17,0.81044,0.82278,0.57726,
18,0.81101,0.81657,0.57772,
19,0.81268,0.82328,0.57403,
20,0.80467,0.81696,0.58557,
21,0.79829,0.81477,0.59623,
22,0.78526,0.81369,0.61244,
23,0.77278,0.81135,0.62883,
24,0.76375,0.81118,0.63792,
25,0.75072,0.81515,0.65495,
26,0.73403,0.8051,0.67487,
27,0.71641,0.80037,0.69656,
28,0.70825,0.78915,0.7058,
29,0.69949,0.78255,0.71914,
30,0.68797,0.7708,0.73398,
31,0.67133,0.74519,0.76179,
32,0.62756,0.69377,0.83469,0.5388
