layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.1548,0.1548,0.3517,0.265,0.3009,0.3324,0.2552,0.3692,0.2773,0.903,0.903,0.727,0.976,0.939,0.951,0.978,0.982,0.991,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.2696,0.2696,0.3645,0.4206,0.5023,0.4401,0.3226,0.4576,0.3981,0.733,0.733,0.811,0.967,0.906,0.953,0.993,1.014,1.014,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.2696,0.2696,0.3836,0.5506,0.5531,0.5381,0.3905,0.495,0.4856,0.733,0.733,0.856,0.886,0.871,0.906,0.942,0.916,0.951,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.2696,0.2696,0.4341,0.6163,0.5424,0.5551,0.4541,0.5456,0.5309,0.733,0.733,0.84,0.881,0.813,0.837,0.885,0.873,0.914,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.2696,0.2696,0.4764,0.6643,0.5554,0.5635,0.5173,0.5609,0.5565,0.733,0.733,0.848,0.91,0.771,0.795,0.886,0.861,0.877,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.2696,0.2696,0.5002,0.648,0.5667,0.5792,0.5464,0.5873,0.5626,0.733,0.733,0.845,0.907,0.837,0.807,0.875,0.846,0.881,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.2696,0.2696,0.4984,0.6645,0.5763,0.5669,0.5841,0.6063,0.576,0.733,0.733,0.868,0.95,0.876,0.794,0.941,0.911,0.914,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.2696,0.2696,0.509,0.6626,0.5651,0.555,0.617,0.6324,0.5832,0.733,0.733,0.881,0.966,0.875,0.801,0.985,0.914,0.928,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.2696,0.2696,0.5184,0.6752,0.5864,0.5519,0.673,0.631,0.5957,0.733,0.733,0.883,0.96,0.923,0.814,1.016,0.916,0.932,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
