layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.97894,0.96686,0.19718,
2,0.93105,0.9393,0.32698,
3,0.28632,0.12508,2.48457,
4,0.13531,0.05902,4.53852,
5,0.14565,0.05975,3.52808,
6,0.16289,0.09373,3.05844,
7,0.15177,0.07092,2.75402,
8,0.13163,0.03133,2.44237,
9,0.1115,-0.0101,2.23951,
10,0.09261,-0.0336,2.14873,
11,0.08474,-0.06851,2.05786,
12,0.10106,-0.06157,1.93868,
13,0.09778,-0.05907,1.72091,
14,0.14865,0.0399,1.54867,
15,0.15909,0.04175,1.42121,
16,0.18866,0.10039,1.34266,
17,0.23571,0.15421,1.24352,
18,0.23282,0.155,1.21281,
19,0.29638,0.25165,1.14682,
20,0.3057,0.25428,1.13441,
21,0.30046,0.24533,1.12786,
22,0.33078,0.28438,1.11455,
23,0.34012,0.30266,1.11009,
24,0.35815,0.33971,1.08607,
25,0.35858,0.35864,1.07674,
26,0.36818,0.36335,1.07601,
27,0.36805,0.37324,1.08231,
28,0.36626,0.34471,1.08441,
29,0.37368,0.36258,1.11068,
30,0.34653,0.31494,1.12249,
31,0.31788,0.25894,1.18845,
32,0.17688,0.04417,1.28436,0.0257
