layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0585,0.0585,0.1924,0.2405,0.3092,0.31,0.2092,0.3193,0.1955,0.943,0.943,0.946,0.979,0.977,0.95,0.994,1.036,0.997,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.0179,0.0179,0.2824,0.3312,1.777,0.3909,0.2753,0.3792,0.3142,0.983,0.983,0.926,0.988,1.693,0.964,0.977,1.028,0.981,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.0179,0.0179,0.325,0.4154,2.4838,2.7655,2.5401,2.7553,2.6154,0.983,0.983,0.914,0.959,2.688,2.788,2.645,2.773,2.665,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.0179,0.0179,0.3555,0.4928,1.6492,6.4897,6.4362,6.3321,4.7625,0.983,0.983,0.931,0.949,1.713,6.491,6.455,6.342,4.738,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.018,0.018,0.3883,0.5464,1.28,5.0338,5.3673,5.0963,3.6889,0.983,0.983,0.929,0.957,1.336,5.03,5.393,5.077,3.643,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.018,0.018,0.4199,0.5626,1.1036,4.3238,4.8069,4.3156,3.1947,0.983,0.983,0.925,0.919,1.142,4.338,4.826,4.288,3.146,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.018,0.018,0.4396,0.5938,0.9594,3.4463,4.2244,3.7095,2.8856,0.983,0.983,0.948,0.998,0.944,3.417,4.203,3.638,2.805,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.018,0.018,0.422,0.6103,0.8915,2.8853,3.535,3.2759,2.5629,0.983,0.983,0.945,1.032,0.832,2.845,3.501,3.195,2.434,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.018,0.018,0.4258,0.6329,0.8561,2.6494,3.3062,2.9476,2.3475,0.983,0.983,0.922,1.079,0.848,2.595,3.265,2.84,2.173,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
