layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.98046,0.97077,0.18995,
2,0.95973,0.94306,0.27729,
3,0.92944,0.91028,0.36544,
4,0.89909,0.86621,0.43472,
5,0.88444,0.84765,0.46269,
6,0.87373,0.86752,0.48046,
7,0.86284,0.86069,0.50063,
8,0.85295,0.85901,0.51537,
9,0.84394,0.86146,0.53076,
10,0.83714,0.85959,0.53857,
11,0.82601,0.86172,0.55457,
12,0.81541,0.84688,0.57116,
13,0.82777,0.86781,0.54925,
14,0.82715,0.85575,0.55259,
15,0.82679,0.8468,0.55593,
16,0.83048,0.84701,0.54592,
17,0.83636,0.8565,0.53024,
18,0.83607,0.85681,0.52892,
19,0.83598,0.85742,0.52819,
20,0.82835,0.857,0.53936,
21,0.81652,0.84959,0.55683,
22,0.8058,0.84861,0.57212,
23,0.79173,0.84054,0.59131,
24,0.78346,0.84054,0.59908,
25,0.7705,0.84288,0.61626,
26,0.75917,0.84065,0.6303,
27,0.7463,0.84037,0.64739,
28,0.73394,0.82468,0.66236,
29,0.72675,0.81988,0.67647,
30,0.71886,0.81514,0.69055,
31,0.70672,0.79662,0.71927,
32,0.67369,0.75812,0.76039,0.6387
