layer,rel_err_pos0,rel_err_pos1,rel_err_pos2,rel_err_pos3,rel_err_pos4,rel_err_pos5,rel_err_pos6,rel_err_pos7,rel_err_rest,norm_ratio_pos0,norm_ratio_pos1,norm_ratio_pos2,norm_ratio_pos3,norm_ratio_pos4,norm_ratio_pos5,norm_ratio_pos6,norm_ratio_pos7,norm_ratio_rest,fp16_norm_pos0,fp16_norm_pos1,fp16_norm_pos2,fp16_norm_pos3,fp16_norm_pos4,fp16_norm_pos5,fp16_norm_pos6,fp16_norm_pos7,fp16_norm_rest
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.0,0.6,0.0,0.4,0.6,0.5,0.5
1,0.0978,0.0978,0.1813,0.2359,0.2682,0.2992,0.2068,0.3256,0.1871,0.924,0.924,0.944,0.984,0.997,0.98,1.012,1.018,0.992,11.8,11.8,2.3,1.3,1.2,1.0,1.5,1.1,1.1
2,0.1748,0.1748,0.2853,0.3479,0.4454,0.3954,0.2791,0.4079,0.273,0.838,0.838,0.96,1.02,1.005,0.995,1.012,1.04,1.003,531.0,531.0,2.9,1.6,1.3,1.5,1.8,1.5,1.4
3,0.1749,0.1749,0.326,0.4291,0.4478,0.4495,0.3304,0.4425,0.3679,0.838,0.838,0.919,0.95,0.923,0.885,0.973,0.965,0.945,531.0,531.0,3.8,2.3,2.2,2.4,2.5,2.5,2.2
4,0.1749,0.1749,0.3598,0.5034,0.4913,0.4853,0.3878,0.4751,0.4413,0.838,0.838,0.896,0.936,0.827,0.856,0.936,0.937,0.94,531.0,531.0,4.4,3.1,3.4,3.3,3.4,3.3,3.0
5,0.175,0.175,0.4085,0.5674,0.5142,0.4993,0.4232,0.4832,0.4697,0.838,0.838,0.875,0.933,0.83,0.846,0.929,0.903,0.936,531.0,531.0,5.0,3.9,4.4,4.3,4.0,4.0,3.9
6,0.175,0.175,0.4401,0.589,0.5506,0.508,0.4493,0.4989,0.4875,0.838,0.838,0.861,0.927,0.875,0.857,0.927,0.9,0.931,531.0,531.0,5.8,4.9,5.0,4.9,4.4,4.7,4.6
7,0.175,0.175,0.4567,0.6209,0.5629,0.4968,0.4716,0.4994,0.509,0.838,0.838,0.861,0.992,0.899,0.873,0.959,0.915,0.937,531.0,531.0,6.7,5.4,5.9,6.2,5.0,5.5,5.2
8,0.1749,0.1749,0.4519,0.6077,0.5597,0.4864,0.4729,0.4942,0.5262,0.838,0.838,0.878,0.951,0.893,0.875,0.974,0.931,0.935,531.1,531.1,8.2,6.3,6.9,7.1,5.7,6.0,5.9
9,0.1749,0.1749,0.4609,0.604,0.5705,0.4934,0.4696,0.4763,0.5434,0.838,0.838,0.862,0.968,0.944,0.864,0.978,0.972,0.943,531.1,531.1,9.0,6.6,7.1,7.5,5.9,6.5,6.4
10,0.175,0.175,0.4662,0.6017,0.5718,0.5102,0.4642,0.4571,0.5522,0.838,0.838,0.87,0.97,0.916,0.911,0.979,0.96,0.944,531.2,531.2,9.2,7.2,7.3,7.5,6.3,6.9,6.8
11,0.1759,0.1759,0.4768,0.6337,0.5911,0.5238,0.4598,0.4581,0.569,0.837,0.837,0.875,0.944,0.92,0.926,0.959,0.964,0.941,534.6,534.6,9.4,7.3,7.5,7.6,6.5,7.0,7.2
12,0.1758,0.1758,0.4875,0.6374,0.6056,0.5369,0.4658,0.4483,0.5871,0.838,0.838,0.887,0.905,0.963,0.907,0.934,0.97,0.948,534.6,534.6,9.6,7.3,7.6,7.8,6.7,7.0,7.3
13,0.1758,0.1758,0.4835,0.6178,0.5689,0.531,0.4414,0.4209,0.5643,0.838,0.838,0.87,0.926,0.924,0.863,0.92,0.947,0.95,534.6,534.6,10.1,7.6,8.4,7.9,7.1,7.5,7.9
14,0.1757,0.1757,0.4845,0.6145,0.578,0.545,0.4109,0.3818,0.5688,0.838,0.838,0.865,0.964,0.947,0.892,0.946,0.941,0.956,534.6,534.6,10.3,7.9,8.6,7.9,7.7,8.2,8.3
15,0.1756,0.1756,0.49,0.6347,0.5819,0.5501,0.3742,0.3724,0.5727,0.838,0.838,0.849,1.019,0.944,0.889,0.948,0.911,0.965,534.6,534.6,10.8,8.1,9.0,8.1,8.4,8.8,8.7
16,0.1756,0.1756,0.4868,0.6023,0.5936,0.5623,0.3711,0.3702,0.5617,0.838,0.838,0.899,0.997,0.973,0.887,0.955,0.911,0.959,534.5,534.5,11.2,8.7,9.5,8.8,8.6,9.2,9.3
17,0.1755,0.1755,0.4772,0.6086,0.5777,0.579,0.3697,0.3736,0.5442,0.838,0.838,0.93,1.012,1.006,0.903,0.945,0.899,0.94,534.4,534.4,12.7,9.1,10.7,9.7,9.0,10.2,10.5
18,0.1754,0.1754,0.4594,0.6004,0.55,0.6204,0.3721,0.3731,0.5429,0.838,0.838,0.93,1.032,0.995,0.917,0.94,0.876,0.941,534.4,534.4,13.9,10.0,12.1,10.3,10.3,11.9,11.6
19,0.1753,0.1753,0.4173,0.5972,0.4831,0.6544,0.384,0.3851,0.5429,0.838,0.838,0.932,1.019,0.918,0.908,0.93,0.866,0.933,534.3,534.3,16.3,11.2,15.4,11.3,11.4,13.1,12.7
20,0.1753,0.1753,0.4163,0.6361,0.4915,0.6772,0.3933,0.3895,0.5543,0.838,0.838,0.924,1.048,0.895,0.907,0.926,0.865,0.948,534.3,534.3,17.5,12.0,16.3,12.7,12.8,14.6,13.7
21,0.1752,0.1752,0.4231,0.6519,0.5087,0.7158,0.4048,0.4048,0.5723,0.838,0.838,0.91,1.041,0.924,0.937,0.921,0.85,0.952,534.3,534.3,19.0,13.2,17.4,13.8,14.4,16.3,14.8
22,0.1753,0.1753,0.4177,0.6938,0.498,0.7471,0.4241,0.4235,0.5882,0.838,0.838,0.898,1.042,0.902,0.931,0.916,0.845,0.954,534.3,534.3,21.2,14.5,19.5,15.2,16.5,18.7,16.4
23,0.1752,0.1752,0.4197,0.7224,0.5085,0.7935,0.4471,0.4245,0.6081,0.838,0.838,0.887,1.058,0.882,0.934,0.916,0.844,0.955,534.3,534.3,22.6,15.4,20.9,16.2,18.4,20.8,17.8
24,0.1752,0.1752,0.4106,0.7773,0.4862,0.8156,0.4717,0.4304,0.6158,0.838,0.838,0.879,1.066,0.871,0.935,0.929,0.844,0.952,534.3,534.3,24.9,16.8,23.0,18.0,19.7,22.5,19.5
25,0.1752,0.1752,0.4241,0.7927,0.4847,0.8443,0.492,0.4418,0.6338,0.838,0.838,0.858,1.06,0.861,0.928,0.927,0.853,0.955,534.3,534.3,27.0,18.2,24.6,19.8,21.5,24.2,21.2
26,0.1753,0.1753,0.4261,0.8115,0.4751,0.8859,0.5185,0.4411,0.6485,0.838,0.838,0.866,1.06,0.872,0.931,0.94,0.871,0.963,534.4,534.4,29.1,19.9,26.5,21.4,23.2,26.3,23.0
27,0.1753,0.1753,0.45,0.8411,0.496,0.9289,0.5492,0.4507,0.6653,0.838,0.838,0.853,1.077,0.873,0.954,0.947,0.872,0.969,534.5,534.5,31.4,21.7,27.5,22.9,25.0,28.3,25.2
28,0.1755,0.1755,0.4579,0.8646,0.5012,0.9507,0.5805,0.4505,0.6808,0.838,0.838,0.854,1.051,0.878,0.945,0.951,0.869,0.96,534.6,534.6,34.3,23.7,30.3,25.3,27.1,31.3,27.7
29,0.1755,0.1755,0.4729,0.9066,0.5068,0.9567,0.6174,0.4495,0.6951,0.838,0.838,0.868,1.077,0.898,0.946,0.957,0.885,0.979,534.7,534.7,36.5,26.0,31.8,27.4,29.8,34.3,30.5
30,0.1783,0.1783,0.516,0.9664,0.5483,0.9676,0.6439,0.4409,0.7082,0.839,0.839,0.886,1.163,0.937,0.96,0.944,0.906,0.993,535.1,535.1,37.9,28.6,33.1,30.3,33.7,38.5,33.9
31,0.2035,0.2035,0.5846,1.0043,0.6307,0.9677,0.6981,0.4651,0.7356,0.859,0.859,0.894,1.169,0.992,0.961,0.976,0.928,1.016,532.9,532.9,40.0,32.5,34.8,35.0,36.8,41.4,37.9
32,0.4637,0.4637,0.7692,1.0025,0.7935,0.9576,0.8434,0.542,0.7651,0.956,0.956,0.996,0.935,0.997,1.073,1.06,1.003,0.996,142.9,142.9,149.0,148.0,148.3,130.6,140.1,140.8,143.0
