layer,cos_mean,cos_last,rel_err,top1_agree_prompt
0,1.0,1.0,0.0,
1,0.7144,0.92102,0.97736,
2,0.0803,0.75681,116.89495,
3,0.15181,0.70066,77.53754,
4,0.14262,0.64503,56.65517,
5,0.14076,0.53847,43.21601,
6,0.1136,0.50611,34.25019,
7,0.10901,0.44826,27.44049,
8,0.11063,0.42279,23.09027,
9,0.15732,0.39161,20.14996,
10,0.11192,0.40148,17.73315,
11,0.10294,0.40332,15.66895,
12,0.11353,0.38791,13.95654,
13,0.09714,0.35692,12.9026,
14,0.14336,0.34548,11.50662,
15,0.20416,0.33295,9.42794,
16,0.18202,0.2957,8.32478,
17,0.15472,0.26949,7.32747,
18,0.19564,0.26521,6.38155,
19,0.15535,0.24735,5.5766,
20,0.16775,0.21201,5.28654,
21,0.19153,0.22251,4.69146,
22,0.20574,0.23798,4.27519,
23,0.2199,0.23005,3.9417,
24,0.22074,0.23076,3.63837,
25,0.22333,0.23469,3.39391,
26,0.22379,0.23837,3.17533,
27,0.19189,0.22387,3.01512,
28,0.1731,0.23824,2.78718,
29,0.12665,0.21987,2.54683,
30,0.11063,0.22641,2.2509,
31,0.13109,0.18239,1.96672,
32,0.10668,0.20342,1.03775,0.0019
